PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
JOEY DORSEY;BAR       ;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;6;8;4;6;10;10
ZORAN DRAGIC;KHI       ;24;16;1;4;7;26;5;9;0;5;9;18;0;1;3;4;2;5;3;6;1;2;11;14;16;31;13;18
DONTAYE DRAPER;TIV       ;30;16;6;12;17;47;3;11;2;6;5;20;1;4;6;16;2;9;5;8;6;19;3;4;9;11;1;4
BRYANT DUNSTON;IST       ;24;16;0;0;0;0;0;0;0;0;0;0;0;0;2;5;1;5;0;5;1;2;28;40;15;25;20;29
ROMAIN DUPORT;STR       ;5;16;0;0;1;1;0;0;0;0;0;0;0;0;0;1;4;7;4;8;1;1;2;2;0;2;0;0
AHMET DUVERIOGLU;IST       ;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;1;4;5;6
SEMIH ERDEN;DAR       ;24;16;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;2;0;6;1;5;27;39;23;35;32;51
MARCUS ERIKSSON;BAR       ;2;16;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
CHRISTIAN EYENGA;SAS       ;10;16;0;1;2;6;1;2;1;1;1;6;0;3;3;4;1;4;3;10;2;8;6;9;13;16;10;16
JORDAN FARMAR;TEL       ;7;16;3;4;4;13;2;7;1;4;4;7;0;1;1;2;2;4;1;2;0;2;4;7;5;8;0;1
VITOR FAVERANI;TEL       ;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;2;2;0;2
JAMES FELDEINE;PAN       ;26;16;2;8;8;35;6;17;4;14;17;39;0;4;4;10;3;10;2;7;5;10;12;21;7;16;5;11
RUDY FERNANDEZ;MAD       ;14;16;1;2;7;26;4;7;1;5;3;13;1;2;1;5;3;6;2;4;0;4;7;9;2;5;3;5
KYRYLO FESENKO;TIV       ;10;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;0;1;5;6;13;20;6;6
BANGALY FOFANA;STR       ;8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;10;3;4;3;3
MATTEO FORMENTI;SAS       ;5;16;1;2;0;0;0;0;0;0;0;2;0;1;1;2;0;0;0;0;0;1;0;0;0;0;1;1
ANTONIS FOTSIS;PAN       ;25;16;3;7;7;14;2;7;2;10;11;26;2;3;0;1;1;3;0;0;0;2;5;10;8;10;4;6
JOEL FREELAND;CSK       ;11;16;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;4;1;3;3;6;13;22;7;8;8;13
VITALY FRIDZON;CSK       ;26;16;2;10;7;12;1;3;3;8;7;22;10;15;2;5;5;8;0;3;4;5;6;14;4;8;5;5
GERMAN GABRIEL;MAL       ;2;16;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;1;1;1
KENNY GABRIEL;KSK       ;10;16;0;2;3;9;1;6;3;8;6;15;1;3;2;5;1;5;0;0;1;4;5;6;10;13;4;4
MATT GATENS;LMG       ;8;16;0;1;1;4;2;4;0;0;4;7;1;3;1;3;0;2;0;1;0;1;3;3;1;1;0;0
ANTON GAVEL;MUN       ;10;16;0;1;1;2;1;2;0;1;2;5;0;0;0;5;1;2;0;2;0;1;1;2;1;3;2;5
ALESSANDRO GENTILE;MIL       ;6;16;0;0;2;5;0;2;2;4;0;8;3;5;3;11;3;6;4;8;6;13;8;11;3;10;10;14
JAMES GIST;PAN       ;26;16;2;3;5;16;1;6;7;15;2;12;3;6;1;5;1;7;0;9;0;6;29;43;33;44;28;37
VLADIMIR GOLUBOVIC;STR       ;10;16;0;0;0;0;0;0;0;0;0;0;0;0;3;8;6;11;6;11;4;8;13;21;8;17;6;11
KEREM GONLUM;KSK       ;10;16;0;0;4;6;0;0;0;1;0;2;0;0;1;2;1;1;0;3;1;3;4;4;5;8;4;4
NEMANJA GORDIC;CED       ;21;16;2;2;1;9;1;5;0;9;4;8;1;3;1;6;4;13;4;13;1;7;7;11;3;6;6;12
JAMON GORDON;DAR       ;24;16;2;3;4;10;3;7;3;5;5;13;0;3;2;8;12;28;6;23;2;12;6;14;9;19;24;35
JAYSON GRANGER;IST       ;23;16;0;2;5;21;10;19;7;21;6;22;0;3;6;15;3;16;6;15;5;19;24;37;3;9;13;22
KAROL GRUSZECKI;GSS       ;8;16;0;1;1;4;0;3;0;2;0;5;0;1;0;2;0;1;0;1;0;0;2;2;0;0;1;2
MARKO GUDURIC;RED       ;24;16;1;4;8;22;3;9;5;10;6;12;0;4;2;5;2;8;1;4;4;6;6;9;6;13;6;12
EGEMEN GUVEN;KSK       ;2;16;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;1;1;1;0;0;0;0;0;1
DANIEL HACKETT;OLY       ;24;16;1;2;9;25;3;8;5;9;5;9;0;3;0;4;6;14;2;9;3;6;14;21;9;15;3;9
ADAM HANGA;BAS       ;27;16;2;4;6;17;0;6;2;4;6;23;1;5;2;6;0;7;2;8;0;4;26;33;11;27;18;21
OLIVIER HANLAN;ZAL       ;24;16;1;3;7;18;5;9;2;5;7;25;2;4;5;13;3;12;2;13;4;15;18;28;5;15;7;20
LUKE HARANGODY;DAR       ;23;16;6;12;8;16;5;9;3;6;8;15;2;6;6;12;2;9;1;5;3;8;23;29;10;11;13;23
ELIAS HARRIS;BAM       ;19;16;0;1;0;1;1;1;1;1;0;0;0;0;2;3;3;5;1;6;1;4;12;19;6;10;9;12
MARQUEZ HAYNES;SAS       ;20;16;2;4;11;25;7;13;6;18;4;15;3;5;6;12;2;7;1;6;3;5;12;20;2;6;1;4
PATRICK HECKMANN;BAM       ;20;16;3;5;3;11;0;0;1;1;2;5;2;2;1;4;0;1;0;1;2;3;7;12;7;8;4;5
RICHARD HENDRIX;MAL       ;16;16;0;0;1;1;0;1;0;2;0;0;0;0;5;12;2;7;3;5;2;11;22;31;12;20;16;22
WILLY HERNANGOMEZ;MAD       ;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;1;1;9;10;4;11;11;16
BARIS HERSEK;ULK       ;9;16;0;0;0;1;0;0;0;3;1;2;0;1;0;1;0;0;0;1;2;4;1;1;0;1;1;2
THOMAS HEURTEL;IST       ;24;16;0;1;8;21;5;11;11;22;9;20;2;7;12;26;8;15;7;18;7;14;21;27;7;14;9;17
RICKY HICKMAN;ULK       ;17;16;2;5;1;8;2;6;2;6;1;3;1;1;0;3;3;4;0;2;0;3;11;19;5;7;2;4
CORY HIGGINS;CSK       ;29;16;1;4;11;22;5;8;4;5;6;14;6;8;1;7;3;14;3;6;6;12;14;25;6;17;18;25
KYLE HINES;CSK       ;29;16;0;0;0;0;0;0;0;0;0;0;0;0;3;11;2;5;1;7;1;3;61;78;24;38;30;39
TYLER HONEYCUTT;KHI       ;23;16;1;4;4;13;0;2;1;3;7;12;1;4;0;4;2;4;1;2;1;4;7;9;13;22;13;14
MATT HOWARD;STR       ;4;16;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;2;0;0;0;0;4;6;0;5;2;4
ADAM HRYCANIUK;GSS       ;10;16;0;0;0;0;0;0;0;0;0;0;0;0;2;5;2;8;1;3;0;3;3;5;7;14;0;1
ROBBIE HUMMEL;MIL       ;9;16;3;5;3;7;1;2;2;4;1;6;0;3;6;15;1;3;3;7;1;7;4;7;0;1;1;1
OTHELLO HUNTER;OLY       ;22;16;0;0;0;0;0;0;0;0;0;0;0;0;3;7;2;7;1;10;1;6;27;37;30;48;21;35
VINCE HUNTER;PAN       ;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;2;3;2;4
YASSIN IDBIHI;BAM       ;8;16;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;3;0;0;2;3;1;5;2;2
STANISLAV ILNITSKIY;KHI       ;5;16;0;0;0;1;0;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
COLTON IVERSON;KSK       ;9;16;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;6;0;1;0;1;10;16;19;29;2;5
AARON JACKSON;CSK       ;24;16;0;3;4;11;5;8;0;5;1;5;1;6;2;5;1;3;0;4;1;2;12;18;5;7;9;13
EDWIN JACKSON;MAL       ;24;16;4;12;18;48;4;14;4;14;8;23;2;8;6;7;3;10;3;8;1;5;8;10;6;8;3;8
MIKE JAMES;BAS       ;29;16;1;5;8;24;13;23;5;21;7;20;0;1;5;21;4;14;11;25;5;19;15;20;18;38;15;23
SHAWN JAMES;OLY       ;5;16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;2;3;2;2;3;6
VLADIMIR JANKOVIC;PAN       ;21;16;3;4;9;16;1;4;1;3;3;12;0;2;2;6;3;6;1;2;3;5;5;7;13;17;3;5
PAULIUS JANKUNAS;ZAL       ;24;16;0;3;3;5;1;7;5;14;4;10;0;2;8;19;11;22;6;14;14;34;9;14;13;22;34;51
MATT JANNING;TIV       ;14;16;1;3;12;33;2;5;1;3;7;15;1;2;2;4;4;8;1;1;2;4;3;5;3;8;4;6
ROBERTAS JAVTOKAS;ZAL       ;8;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;4;0;1;1;1;5;10;6;9;6;6
CHARLES JENKINS;MIL       ;10;16;3;5;0;2;2;2;3;4;3;7;3;4;1;4;1;6;1;2;2;5;4;7;1;3;1;2
ELIJAH JOHNSON;IST       ;4;16;2;4;0;2;0;0;0;1;1;2;1;4;0;0;0;0;0;0;0;0;3;4;3;3;1;1
DARIUS JOHNSON-ODOM;OLY       ;12;16;1;1;3;6;2;3;2;4;0;4;0;1;0;0;1;6;0;5;0;1;1;5;2;5;2;7
STEFAN JOVIC;RED       ;27;16;1;1;6;15;3;10;3;9;5;16;3;5;1;7;5;21;6;26;3;10;19;30;9;13;7;9
NIKOLA KALINIC;ULK       ;29;16;1;9;1;4;2;8;0;3;1;6;3;3;0;6;1;4;3;6;2;10;20;25;2;10;13;19
MANTAS KALNIETIS;ZAL       ;14;16;0;0;3;7;1;8;2;10;7;19;1;5;1;9;1;5;2;13;3;6;4;7;6;8;5;6
KRISTJAN KANGUR;BAS       ;5;16;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;1;0;1;0;0;1;3;1;1
KENAN KARAHODZIC;MAL       ;4;16;0;0;1;1;1;1;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
TONI KATIC;CED       ;6;16;0;1;1;1;0;0;0;1;0;0;0;0;1;2;1;3;0;0;0;1;2;2;1;1;0;0
VICTOR KHRYAPA;CSK       ;9;16;0;2;0;4;1;2;0;0;4;7;1;3;3;3;2;2;4;4;1;4;5;5;2;4;2;3
TARENCE KINSEY;RED       ;16;16;1;5;0;5;2;3;0;2;1;12;0;3;10;21;18;35;8;14;5;13;6;11;3;7;3;6
INANC KOC;KSK       ;2;16;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MAXIM KOLYUSHKIN;TIV       ;5;16;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0
PETTERI KOPONEN;KHI       ;23;16;3;4;9;25;3;15;7;16;8;19;2;5;5;9;12;23;4;16;1;7;5;8;12;19;1;3
FURKAN KORKMAZ;IST       ;16;16;1;4;4;6;0;1;2;3;3;8;1;3;1;2;1;2;0;3;0;1;3;5;1;3;1;4
PAVEL KOROBKOV;CSK       ;13;16;0;1;0;0;0;0;0;1;0;3;0;1;0;0;0;1;0;0;0;0;11;13;5;8;2;3
EMIRCAN KOSUT;IST       ;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LUKASZ KOSZAREK;GSS       ;10;16;1;1;2;5;0;2;3;6;4;10;0;0;1;4;3;7;3;14;3;7;2;4;3;4;2;5
VIACHESLAV KRAVTSOV;CSK       ;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;5;5
DMITRY KULAGIN;CSK       ;11;16;0;0;0;4;0;4;0;0;3;3;0;0;0;2;2;2;2;2;3;5;1;1;0;2;2;3
MIKHAIL KULAGIN;CSK       ;1;16;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NIKITA KURBANOV;CSK       ;28;16;2;3;2;9;1;3;1;1;10;20;3;9;5;10;1;7;2;2;3;9;14;24;9;14;14;21
OGNJEN KUZMIC;PAN       ;25;16;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;10;0;6;0;4;11;19;19;31;18;25
MINDAUGAS KUZMINSKAS;MAL       ;23;16;2;5;9;23;4;12;1;4;6;25;7;7;5;9;2;4;2;8;3;8;22;37;22;34;17;33
PAUL LACOMBE;STR       ;10;16;1;1;0;2;0;1;0;0;1;3;0;0;1;5;0;4;2;2;2;5;5;8;2;5;1;3
OLIVER LAFAYETTE;MIL       ;10;16;1;2;6;14;0;7;1;7;3;16;2;5;3;6;1;3;1;1;0;3;2;5;2;4;2;2
SYLVEN LANDESBERG;TEL       ;10;16;1;4;7;21;0;2;0;0;4;9;5;7;1;6;1;9;2;8;5;10;4;5;2;7;3;8
GANI LAWAL;MIL       ;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;3;4;0;1;1;2
SHANE LAWAL;BAR       ;16;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;18;23;4;5;13;21
IVAN LAZAREV;CSK       ;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3;3;4;0;2
BRANKO LAZIC;RED       ;25;16;3;4;6;13;0;3;1;2;2;9;4;7;1;7;3;5;0;2;3;10;9;14;4;6;1;3
LUKAS LEKAVICIUS;ZAL       ;19;16;3;3;4;9;2;4;1;1;3;9;3;5;1;5;3;13;4;9;0;3;2;3;2;8;5;7
JEREMY LELOUP;STR       ;10;16;0;2;3;13;0;2;0;2;3;10;1;1;3;4;0;3;0;2;4;7;2;3;5;5;3;6
AUGUSTO CESAR LIMA;MAD       ;6;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;3;5;6;5;5
VYTENIS LIPKEVICIUS;ZAL       ;1;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
SERGIO LLULL;MAD       ;24;16;0;5;19;48;5;20;20;41;8;33;2;3;2;9;6;15;8;15;1;4;11;21;9;19;1;7
DAVID LOGAN;SAS       ;8;16;2;3;5;14;2;7;2;9;4;18;1;2;2;5;1;3;0;4;2;4;3;7;3;6;5;8
MATT LOJESKI;OLY       ;11;16;2;3;7;14;2;6;2;5;4;9;1;4;3;11;2;2;4;5;0;2;4;8;5;6;4;4
MICHALIS LOUNTZIS;PAN       ;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
JONAS MACIULIS;MAD       ;25;16;1;6;5;14;1;6;2;6;7;21;0;8;2;3;0;7;2;6;0;2;5;10;7;9;7;12
MILAN MACVAN;MIL       ;6;16;0;0;1;2;2;3;0;2;1;4;0;0;1;4;0;1;0;2;0;1;4;8;4;7;6;7
MELIH MAHMUTOGLU;ULK       ;16;16;1;5;2;11;2;4;3;4;11;22;2;6;0;1;1;2;0;1;0;1;1;1;0;0;2;3
VANGELIS MANTZARIS;OLY       ;23;16;0;0;13;29;6;12;7;15;5;15;3;5;1;1;0;1;0;1;0;4;5;17;3;9;6;12
