PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
ALEX ABRINES;BAR       ;25;16;5;7;12;25;1;9;6;14;13;32;3;6;3;8;7;14;4;7;2;5;6;7;8;13;6;12
DARIUS ADAMS;BAS       ;29;16;3;4;22;68;8;30;17;50;19;51;0;2;2;8;1;4;1;10;2;6;30;48;14;28;15;32
DIMITRIOS AGRAVANIS;OLY       ;15;16;1;2;3;5;1;4;1;4;0;7;0;2;1;1;0;2;0;2;0;0;5;10;4;13;6;7
FURKAN ALDEMIR;DAR       ;10;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;9;11;8;9;2;4
JOE ALEXANDER;SAS       ;9;16;3;3;1;4;0;1;0;2;1;7;2;5;4;7;5;11;2;4;3;15;3;8;3;10;6;16
CAN ALTINTIG;KSK       ;10;16;0;0;1;2;1;3;1;1;2;9;0;0;0;0;0;1;0;0;0;1;4;7;3;9;3;4
PERO ANTIC;ULK       ;23;16;3;13;10;17;2;7;5;11;5;20;6;14;1;6;0;3;1;3;6;11;5;9;4;8;4;11
MARKO ARAPOVIC;CED       ;23;16;0;3;4;11;2;3;1;4;7;26;1;6;1;9;4;8;0;1;4;9;17;26;11;19;22;31
EGEHAN ARNA;ULK       ;4;16;0;0;1;1;0;0;0;1;0;0;1;3;0;1;0;0;0;0;0;2;0;0;1;3;0;2
CARLOS ARROYO;BAR       ;20;16;2;2;14;26;3;11;2;9;3;12;2;2;1;10;3;11;4;8;2;9;6;11;2;5;0;1
ENDER ARSLAN;DAR       ;19;16;0;0;4;9;7;15;4;8;1;14;1;9;1;3;0;0;0;3;2;5;5;6;2;3;5;7
IOANNIS ATHINAIOU;OLY       ;12;16;3;5;3;8;0;0;1;4;5;15;1;1;0;1;0;2;1;1;1;3;0;2;0;1;1;2
JAMES AUGUSTINE;KHI       ;23;16;0;0;1;2;1;1;1;1;0;3;0;0;1;2;5;8;9;14;5;8;20;31;44;65;26;33
GUSTAVO AYON;MAD       ;27;16;0;0;0;0;0;0;0;0;0;0;0;0;5;6;5;21;5;14;3;10;49;66;29;43;34;49
LUKA BABIC;CED       ;22;16;3;9;11;30;0;5;1;9;7;19;0;1;2;7;2;6;0;4;3;9;9;13;7;12;24;39
NIKITA BALASHOV;TIV       ;1;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DOGUS BALBAY;IST       ;6;16;0;1;0;2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;3;1;3;1;4
STANKO BARAC;MIL       ;10;16;0;0;0;0;0;0;0;0;0;0;0;0;2;6;1;3;3;7;3;7;5;5;6;10;8;9
BIRKAN BATUK;IST       ;19;16;10;15;6;18;0;2;1;3;4;11;3;8;0;0;1;4;0;0;1;3;1;2;1;1;0;1
MUHAMMED BAYGUL;KSK       ;8;16;0;0;1;6;0;1;1;1;1;2;0;0;0;0;0;1;1;1;1;1;2;3;3;5;1;1
OGULCAN BAYKAN;IST       ;1;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
ERCAN BAYRAK;ULK       ;2;16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
RODRIGUE BEAUBOIS;STR       ;10;16;0;2;1;7;3;5;2;7;7;18;4;6;2;9;3;7;5;8;2;7;4;8;7;16;4;7
DRAGAN BENDER;TEL       ;6;16;0;0;0;4;0;0;0;1;2;3;0;0;0;1;0;2;0;0;0;0;3;4;0;0;1;3
DAVIS BERTANS;BAS       ;15;16;2;4;10;22;1;2;3;8;8;16;3;4;0;0;0;1;1;1;1;2;4;4;2;3;1;2
MIRO BILAN;CED       ;24;16;0;0;0;1;0;0;2;3;0;3;1;2;4;12;3;11;3;11;6;12;51;84;34;57;27;44
MILKO BJELICA;DAR       ;24;16;0;6;4;11;4;6;1;3;4;13;4;9;1;4;3;5;2;4;4;17;14;19;6;22;16;26
JAKA BLAZIC;BAS       ;29;16;3;7;6;15;2;9;4;12;6;22;4;6;2;8;1;6;1;10;2;4;19;26;14;27;13;26
ELEFTHERIOS BOCHORIDIS;PAN       ;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BOGDAN BOGDANOVIC;ULK       ;28;16;5;8;14;32;4;23;9;26;11;31;7;11;2;16;9;21;6;19;5;13;14;24;10;14;14;27
JASON BOONE;KHI       ;1;16;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;2;0;0;0;1
JOSH BOONE;KHI       ;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;0;0;4;7;4;6;1;1
DEJAN BOROVNJAK;GSS       ;9;16;0;0;0;0;0;0;0;0;0;0;0;0;6;11;2;9;3;6;3;5;4;8;14;22;0;0
DEE BOST;GSS       ;9;16;0;0;2;8;0;6;1;6;2;14;0;0;0;1;1;5;4;8;2;2;6;8;10;17;0;1
DEMARQUIS BOST;GSS       ;1;16;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;2;0;0
NOBEL BOUNGOU-COLO;LMG       ;10;16;4;4;3;8;2;5;1;1;2;12;2;5;1;5;0;3;0;1;1;7;11;17;3;6;0;2
IOANNIS BOUROUSIS;BAS       ;29;16;0;1;10;18;7;16;4;20;10;24;0;1;3;8;3;13;4;11;6;14;26;40;35;61;29;45
RYAN BROEKHOFF;TIV       ;31;16;18;34;13;36;2;7;3;4;20;35;2;7;2;8;1;4;3;6;1;4;12;14;6;8;3;9
DERRICK BROWN;IST       ;24;16;2;3;1;8;1;10;0;3;5;12;2;4;8;26;7;21;2;14;4;13;20;32;16;24;24;34
JOHN BRYANT;MUN       ;10;16;0;1;1;1;1;1;3;3;1;2;0;0;6;11;2;8;1;2;5;7;10;14;3;7;4;7
SERGEY BYKOV;TIV       ;23;16;2;5;5;13;1;2;0;2;1;10;0;1;6;10;3;6;0;3;1;4;4;8;5;8;4;10
NICK CALATHES;PAN       ;27;16;3;7;5;13;4;11;1;8;12;34;1;6;2;7;10;26;5;19;5;11;15;32;18;29;15;27
OUSMANE CAMARA;LMG       ;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;3;7;3;4;3;3
LOUIS CAMPBELL;STR       ;10;16;1;2;5;8;1;7;2;6;5;13;1;2;1;3;3;5;4;7;2;4;1;2;1;9;3;6
JAYCEE CARROLL;MAD       ;27;16;2;8;9;30;5;12;4;18;19;37;1;3;7;11;8;20;9;20;4;5;9;13;4;11;1;2
JOSH CARTER;KSK       ;10;16;0;2;2;16;2;12;0;2;7;16;0;0;0;1;0;6;0;0;0;0;0;5;3;7;0;0
JUSTIN CARTER;KSK       ;8;16;0;0;3;9;4;7;2;5;4;8;0;5;0;1;2;6;0;2;1;2;4;8;9;16;3;4
FABIEN CAUSEUR;BAS       ;21;16;2;6;8;32;3;5;7;15;10;21;2;3;3;7;0;1;1;5;2;13;10;13;9;18;18;30
BRUNO CERELLA;MIL       ;8;16;0;2;0;5;0;0;1;1;0;1;0;1;1;3;0;1;0;2;0;0;1;2;2;2;2;2
SERHAT CETIN;DAR       ;5;16;0;0;2;3;0;1;0;2;1;2;1;1;1;2;0;1;1;2;0;0;1;2;0;0;0;1
VASILIS CHARALAMPOPOULOS;PAN       ;5;16;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;1;2;2
ANDREA CINCIARINI;MIL       ;8;16;1;3;1;3;1;1;0;1;1;1;1;1;0;1;0;3;0;7;2;6;4;7;3;4;2;4
VICTOR CLAVER;TIV       ;31;16;4;10;13;36;4;4;2;5;4;15;7;14;8;23;2;5;3;9;0;7;21;32;26;34;15;23
MARDY COLLINS;STR       ;10;16;0;0;2;5;1;2;0;2;1;3;0;1;4;4;2;9;1;5;0;1;10;15;8;12;3;6
JACK COOLEY;MAL       ;12;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;2;0;0;16;22;4;6;9;15
ALBERTO CORBACHO;BAS       ;20;16;4;9;3;18;2;4;0;3;5;14;3;6;0;0;1;1;1;1;2;2;1;1;1;2;3;4
RANDY CULPEPPER;LMG       ;4;16;0;0;1;3;1;3;0;1;1;2;1;1;1;3;1;4;2;4;0;3;3;3;1;2;1;2
LORENZO D'ERCOLE;SAS       ;6;16;0;0;1;3;0;1;0;3;0;2;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0
NEMANJA DANGUBIC;RED       ;18;16;4;4;3;12;0;2;2;2;3;6;2;5;1;6;2;6;1;2;1;2;6;7;7;7;6;8
WILL DANIELS;LMG       ;10;16;0;0;1;5;0;2;1;3;2;3;3;5;2;6;0;3;1;3;0;0;10;15;0;4;8;9
LUIGI DATOME;ULK       ;29;16;7;12;11;26;5;12;3;14;11;19;5;8;15;38;13;21;12;18;17;34;12;19;3;7;13;18
PAUL DAVIS;KHI       ;13;16;0;0;0;0;0;0;0;0;1;1;0;0;8;17;2;11;0;9;2;9;11;13;21;29;5;9
NANDO DE COLO;CSK       ;27;16;5;9;11;24;7;16;10;20;7;19;7;13;7;17;17;32;6;22;15;27;42;59;9;20;27;45
MALCOLM DELANEY;TIV       ;31;16;4;10;25;66;17;32;9;28;13;34;2;5;18;38;7;16;11;24;3;9;18;35;10;20;6;18
GIACOMO DEVECCHI;SAS       ;8;16;1;1;2;4;2;2;2;3;2;3;0;0;0;2;1;2;0;0;0;0;1;2;0;1;0;0
MOUSSA DIAGNE;BAR       ;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
DIMITRIS DIAMANTIDIS;PAN       ;25;16;4;5;5;19;6;20;6;19;10;18;1;2;1;2;4;7;0;2;0;1;6;8;3;5;10;12
YAKHOUBA DIAWARA;LMG       ;6;16;1;2;3;6;0;2;1;1;0;3;2;2;0;4;0;1;1;2;3;8;5;10;4;5;0;3
ALBERTO DIAZ;MAL       ;18;16;0;1;3;13;1;3;0;2;3;9;2;5;1;4;1;7;2;2;1;2;2;5;1;1;1;1
JON DIEBLER;IST       ;21;16;13;21;11;23;2;5;3;5;14;38;9;12;3;9;0;3;3;4;5;6;3;4;1;2;3;4
DANIEL DIEZ;MAL       ;24;16;1;2;5;13;1;2;1;4;7;18;4;10;2;4;1;2;0;2;0;3;7;9;4;7;11;13
ILIMANE DIOP;BAS       ;23;16;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;1;4;0;3;7;10;7;14;4;10
MAMADOU DIOP;BAS       ;4;16;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
ALI MUHAMMED;ULK       ;28;16;5;8;16;52;10;22;9;21;16;42;3;12;7;15;12;29;4;9;2;7;13;24;2;5;3;8
NIHAD DEDOVIC;MUN       ;10;16;0;0;7;17;3;13;2;4;2;7;0;0;2;8;5;11;0;1;0;2;16;22;7;9;2;3
NEMANJA DJURISIC;GSS       ;9;16;0;0;2;3;0;0;1;2;0;3;0;0;0;4;0;3;0;0;1;3;4;8;10;15;1;4
JUSTIN DOELLMAN;BAR       ;28;16;0;3;10;18;2;6;4;11;11;23;0;1;15;26;5;16;6;17;12;30;18;28;6;12;11;15
LUKA DONCIC;MAD       ;10;16;0;0;2;3;1;3;1;4;0;3;0;1;0;1;1;1;0;0;0;1;0;2;3;3;2;3
