PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
MERT AKAY;DAR       ;4;19;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;4
ROBIN AMAIZE;MUN       ;5;19;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;0
JAMES ANDERSON;IST       ;25;19;3;6;8;17;3;7;0;1;6;15;3;7;1;3;1;5;0;5;3;7;4;7;3;7;8;12
THANASIS ANTETOKOUNMPO;PAN       ;21;19;0;2;2;7;2;2;1;2;2;6;0;2;0;0;0;3;1;2;2;3;14;17;18;22;7;9
SEMEN ANTONOV;CSK       ;12;19;0;0;1;6;0;3;0;0;0;5;0;0;0;0;0;0;2;2;1;3;3;5;3;6;0;2
EGEHAN ARNA;ULK       ;1;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
DENI AVDIJA;TEL       ;4;19;1;1;1;1;0;0;0;1;1;1;0;1;0;3;0;0;0;0;0;0;0;0;1;1;0;0
GUSTAVO AYON;MAD       ;21;19;0;0;0;0;0;0;0;0;0;0;0;0;5;7;2;8;3;5;4;11;29;36;10;12;24;31
EULIS BAEZ;CAN       ;21;19;0;0;5;18;3;4;2;4;5;20;0;1;1;3;1;2;1;3;1;2;12;21;9;23;10;16
DOGUS BALBAY;IST       ;18;19;2;2;4;7;1;2;0;0;3;5;2;2;0;0;0;1;0;2;2;3;6;10;4;6;2;7
ALEKSANDER BALCEROWSKI;CAN       ;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
ONDREJ BALVIN;CAN       ;24;19;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;7;3;10;1;2;30;35;26;35;11;17
FILIP BAROVIC;BUD       ;22;19;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;3;7;0;2;8;10;16;41;3;6
DANILO BARTHEL;MUN       ;25;19;0;0;3;11;6;10;5;11;2;3;1;2;5;13;2;9;5;11;1;4;22;33;18;32;9;14
MUHAMMED BAYGUL;DAR       ;18;19;1;1;2;3;1;6;0;1;2;7;1;4;2;7;0;7;0;2;0;2;9;14;3;5;2;7
RODRIGUE BEAUBOIS;IST       ;23;19;6;8;15;31;3;8;4;14;11;29;4;10;3;12;8;15;3;10;2;10;20;34;5;10;9;14
JAMES BELL;BUD       ;10;19;1;4;3;5;0;2;3;9;1;9;0;1;0;3;0;1;0;0;2;2;1;2;3;7;0;1
DAIRIS BERTANS;MIL       ;20;19;2;6;10;20;2;5;5;9;12;19;6;9;1;4;0;5;1;1;1;6;3;6;2;4;0;0
TARIK BIBEROVIC;ULK       ;4;19;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;2;3
METECAN BIRSEN;IST       ;4;19;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2;2;1;1;1;2
LAURYNAS BIRUTIS;ZAL       ;13;19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;0;0;4;5;11;18;1;1
GOGA BITADZE;BUD       ;9;19;0;0;0;1;2;5;0;2;0;1;0;0;1;3;3;5;1;3;1;1;5;9;23;32;1;4
TARIK BLACK;TEL       ;21;19;0;0;0;0;0;0;0;1;0;0;0;0;0;1;5;10;4;10;1;2;33;47;32;42;12;15
JAKA BLAZIC;BAR       ;14;19;0;1;4;9;0;2;1;1;4;7;1;2;0;5;3;6;1;2;0;5;4;6;5;7;3;6
GEORGIOS BOGRIS;OLY       ;14;19;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;3;1;4;3;5;3;4;5;5;1;3
JOEL BOLOMBOY;CSK       ;13;19;0;2;2;3;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;1;9;14;7;12;0;1
DEVIN BOOKER;MUN       ;11;19;0;0;0;0;0;4;2;6;0;0;1;1;0;2;4;11;3;8;1;7;7;8;14;19;10;15
DEE BOST;KHI       ;23;19;4;12;14;34;4;11;1;6;9;29;4;12;1;4;2;11;1;6;3;4;12;16;5;8;6;10
JEFF BROOKS;MIL       ;24;19;1;6;11;22;1;4;0;1;2;7;2;2;7;12;5;13;3;5;2;4;10;18;14;20;2;5
MARKEL BROWN;DAR       ;18;19;3;7;3;14;1;6;1;7;6;16;0;2;0;1;2;3;1;6;0;2;6;9;7;11;3;10
CHRISTIAN BURNS;MIL       ;8;19;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;2;2;0;1;1;1
NICK CALATHES;PAN       ;25;19;1;3;7;26;9;24;4;21;6;25;0;1;5;9;8;34;11;26;0;7;34;50;20;40;15;25
ANGELO CALOIARO;TEL       ;24;19;2;8;13;32;0;2;1;2;4;16;2;6;1;2;4;9;5;10;1;3;8;11;11;16;11;15
FACUNDO CAMPAZZO;MAD       ;25;19;2;4;9;25;5;11;4;12;7;17;4;8;3;11;4;7;1;13;3;11;11;19;5;7;8;22
JAYCEE CARROLL;MAD       ;21;19;1;2;11;31;3;8;2;11;9;25;3;4;11;23;6;14;6;10;6;9;6;9;9;13;4;4
FABIEN CAUSEUR;MAD       ;23;19;3;4;5;10;1;3;0;4;3;11;2;2;2;4;1;4;0;2;0;7;8;13;2;11;22;36
ANDREA CINCIARINI;MIL       ;13;19;0;2;3;4;0;0;0;2;1;4;0;0;0;2;1;2;1;2;2;3;6;8;1;1;4;6
EARL CLARK;BUD       ;25;19;1;3;12;34;7;17;8;19;6;15;0;1;13;39;9;25;7;23;10;30;9;20;26;44;3;5
COTY CLARKE;BUD       ;25;19;1;3;6;12;2;3;2;5;3;8;1;2;5;20;4;10;6;10;5;10;7;15;18;36;6;10
VICTOR CLAVER;BAR       ;25;19;0;4;4;12;2;4;0;2;5;16;1;6;1;2;0;3;1;3;1;2;11;15;13;16;5;10
WILL CLYBURN;CSK       ;24;19;5;10;5;13;1;13;0;6;6;18;1;5;4;17;7;14;5;12;2;6;33;48;34;52;16;30
JAKE COHEN;TEL       ;18;19;1;1;1;9;2;3;2;2;0;1;0;0;0;5;1;4;0;0;0;1;8;9;4;6;6;9
NORRIS COLE;BUD       ;11;19;0;0;3;12;4;11;3;5;4;7;0;0;6;17;11;21;13;21;1;6;7;12;25;37;4;8
AARON CRAFT;BUD       ;4;19;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;2;0;1
TONY CROCKER;KHI       ;25;19;4;9;13;43;7;16;1;11;10;27;7;15;3;11;6;16;5;13;4;5;12;18;6;16;5;8
NEMANJA DANGUBIC;MUN       ;22;19;1;2;10;14;1;4;2;5;1;5;1;3;3;7;2;7;0;3;2;6;5;8;5;12;3;5
LUIGI DATOME;ULK       ;25;19;7;15;9;19;7;13;3;9;3;12;4;7;12;24;5;10;11;21;5;11;5;6;5;5;3;5
BRANDON DAVIES;ZAL       ;25;19;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;24;13;22;3;8;37;54;47;74;20;40
NANDO DE COLO;CSK       ;24;19;2;6;10;24;6;16;10;18;12;28;3;6;3;14;4;13;7;14;5;12;30;45;9;16;19;24
GABRIEL DECK;MAD       ;22;19;1;6;1;3;0;0;0;1;2;2;0;1;2;5;2;2;0;1;1;6;16;20;6;8;11;15
NIHAD DEDOVIC;MUN       ;25;19;0;6;9;22;2;10;3;10;7;22;2;5;5;12;1;7;1;8;1;5;24;34;11;21;22;30
AMEDEO DELLA VALLE;MIL       ;11;19;0;0;0;2;0;1;0;0;3;8;2;2;0;0;0;1;0;1;1;2;0;0;1;2;1;1
BERK DEMIR;DAR       ;17;19;1;5;2;6;1;4;0;1;1;7;0;1;0;0;0;0;0;0;0;0;8;12;2;8;2;8
JOHN DIBARTOLOMEO;TEL       ;22;19;2;2;7;20;5;12;4;14;6;23;0;0;1;2;1;5;0;2;1;3;4;6;1;1;1;1
JON DIEBLER;DAR       ;22;19;4;9;12;24;1;6;2;6;1;13;6;8;5;9;0;3;1;1;0;3;3;7;0;0;0;3
ILIMANE DIOP;BAS       ;22;19;0;0;1;4;1;3;1;2;0;1;0;0;2;5;3;7;0;2;2;3;14;16;10;18;4;11
TONEY DOUGLAS;DAR       ;15;19;0;3;5;17;2;11;13;24;8;27;1;3;2;9;8;18;2;12;6;13;17;31;9;14;9;14
BRYANT DUNSTON;IST       ;25;19;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;10;4;5;1;1;28;37;33;43;12;23
AHMET DUVERIOGLU;ULK       ;19;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;18;11;20;8;8
TYLER ENNIS;ULK       ;3;19;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;3;4;1;1;1;1
MICHAEL ERIC;DAR       ;24;19;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;9;2;12;2;8;38;69;36;63;24;37
MARCUS ERIKSSON;CAN       ;23;19;3;4;13;39;6;14;7;16;16;39;3;5;4;13;8;15;8;13;8;15;2;4;3;4;1;2
CHRISTOPHER EVANS;CAN       ;12;19;0;0;4;9;1;3;1;4;7;15;1;1;1;1;0;2;1;3;1;3;17;25;6;16;5;14
JEREMY EVANS;DAR       ;22;19;4;9;2;8;1;6;3;4;5;13;2;6;3;6;2;3;3;10;0;7;22;29;23;27;9;19
RUDY FERNANDEZ;MAD       ;22;19;0;1;16;35;6;15;5;18;16;33;3;4;1;7;1;2;3;7;1;6;5;8;1;2;3;4
LUKE FISCHER;CAN       ;10;19;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;4;0;0;7;10;4;7;5;6
SIMONE FONTECCHIO;MIL       ;1;19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PATRICIO GARINO;BAS       ;9;19;1;2;0;5;1;2;1;1;2;7;0;0;0;0;0;0;1;1;0;1;7;9;1;3;3;4
ANTHONY GILL;KHI       ;13;19;2;9;2;5;0;4;3;6;0;6;1;6;1;2;4;7;1;3;2;4;13;16;21;26;9;14
JAMES GIST;PAN       ;25;19;0;2;0;4;3;4;0;2;3;5;0;0;2;5;2;11;3;14;0;2;19;34;27;35;14;22
MIGUEL GONZALEZ;BAS       ;1;19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
