PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
ALEX ABRINES;BAR       ;23;15;1;7;9;26;4;10;7;15;8;24;0;2;2;3;4;7;3;4;1;7;11;13;2;4;7;8
DARIUS ADAMS;BAS       ;13;15;1;1;8;14;3;13;4;16;9;18;3;4;1;7;5;11;3;8;2;6;9;13;2;5;8;12
DIMITRIOS AGRAVANIS;OLY       ;18;15;0;5;2;7;0;0;1;7;4;11;1;3;0;3;2;4;2;4;2;3;7;12;6;9;7;12
PABLO AGUILAR;PAM       ;8;15;0;0;0;3;0;2;1;2;4;10;0;2;0;0;0;0;1;1;0;0;6;7;0;1;3;3
ISMET AKPINAR;BER       ;2;15;0;0;0;1;1;1;1;1;0;0;0;1;0;0;1;2;0;1;0;0;0;0;0;0;0;0
FURKAN ALDEMIR;GAL       ;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;7;9;4;6;6;7
JOE ALEXANDER;TEL       ;14;15;0;0;1;5;1;2;0;0;4;6;1;3;4;7;1;6;4;7;3;9;3;3;2;2;1;2
CAN ALTINTIG;ULK       ;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2
PAPE-PHILIPPE AMAGOU;LMG       ;4;15;0;0;2;2;1;2;0;2;2;3;0;0;0;0;0;0;0;1;0;0;1;3;1;1;0;2
JAMES ANDERSON;ZAL       ;24;15;5;7;12;44;9;24;8;27;11;28;0;3;4;15;7;16;12;30;4;18;26;47;9;16;19;37
PAVEL ANTIPOV;UNK       ;3;15;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0
SEMEN ANTONOV;NOV       ;21;15;5;7;5;22;2;7;3;11;11;22;2;7;1;4;2;6;2;6;3;13;11;20;2;8;8;13
PIETRO ARADORI;GAL       ;8;15;0;1;1;1;0;1;0;2;2;5;3;5;0;3;0;3;1;1;6;8;2;2;1;1;1;3
MARKO ARAPOVIC;CED       ;10;15;1;2;0;2;0;0;0;1;0;0;0;1;0;2;1;4;0;1;1;1;2;2;2;4;5;6
EGE ARAR;GAL       ;8;15;1;1;1;3;0;1;0;1;0;3;0;1;0;1;0;1;0;1;0;1;2;3;1;3;2;2
CARLOS ARROYO;GAL       ;15;15;1;1;4;20;1;6;4;15;14;33;4;5;12;27;7;22;6;13;4;15;6;7;2;4;1;3
ENDER ARSLAN;GAL       ;19;15;1;5;6;8;3;7;8;19;10;25;5;7;2;5;1;3;2;7;1;6;4;6;3;10;7;10
ANTON ASTAPKOVICH;CSK       ;2;15;1;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0
GUSTAVO AYON;MAD       ;29;15;0;0;0;0;0;0;0;0;0;0;0;0;6;14;9;16;6;15;2;6;41;55;20;31;20;30
LUKA BABIC;CED       ;8;15;1;2;2;12;2;6;1;6;3;9;2;5;1;3;1;4;0;3;1;2;1;2;2;2;5;7
EVGENY BABURIN;NOV       ;20;15;2;2;8;19;4;10;1;7;6;17;1;5;3;6;0;4;0;3;2;3;3;6;0;1;1;7
DOGUS BALBAY;IST       ;16;15;0;0;0;1;0;2;0;1;0;1;0;2;0;1;1;2;0;0;1;1;6;10;1;7;5;8
MARKO BANIC;BER       ;23;15;0;0;0;0;0;0;0;0;0;0;0;0;3;8;7;13;3;7;9;16;31;42;13;18;17;26
ESTEBAN BATISTA;PAN       ;26;15;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;5;0;3;1;8;25;39;17;30;64;105
J.P. BATISTA;LMG       ;10;15;0;0;0;0;0;0;0;0;0;0;0;0;1;3;5;11;4;12;2;5;5;11;7;14;6;10
BIRKAN BATUK;IST       ;7;15;2;4;2;3;0;0;0;0;2;5;2;4;1;3;1;1;0;1;1;1;0;0;0;0;2;5
MIRZA BEGIC;BAS       ;17;15;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;3;1;7;3;5;12;16;6;13;11;19
KEITH BENSON;KLA       ;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;4;0;0;3;5;3;3;4;5
ROBIN BENZING;MUN       ;8;15;0;0;4;9;2;5;1;2;1;4;0;1;3;8;0;4;0;1;2;3;4;5;2;4;3;5
DAVIS BERTANS;BAS       ;20;15;3;7;13;37;4;17;4;17;21;47;0;4;2;9;2;5;4;6;1;6;9;13;6;17;6;14
MIRO BILAN;CED       ;10;15;0;0;0;0;0;0;0;0;0;0;0;1;4;7;2;4;2;9;4;5;16;27;13;21;9;17
MILKO BJELICA;IST       ;28;15;3;5;5;7;4;7;0;9;8;19;2;5;2;10;4;8;3;5;0;8;13;27;11;22;23;37
NEMANJA BJELICA;ULK       ;29;15;1;2;6;20;6;12;4;14;7;21;2;6;5;10;3;4;4;13;1;9;33;47;23;43;28;46
