PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
AWUDU ABASS;MIL       ;20;17;2;5;5;11;0;2;1;3;6;12;2;3;3;8;1;2;0;2;4;8;3;6;3;9;1;4
DIMITRIOS AGRAVANIS;OLY       ;23;17;1;3;6;16;0;1;0;2;3;21;1;5;0;3;1;5;0;3;0;1;10;12;5;10;3;6
JOSH AKOGNON;BAS       ;4;17;1;2;1;3;0;1;0;3;1;3;0;2;0;0;0;0;0;0;0;1;4;4;1;2;0;0
FURKAN ALDEMIR;DAR       ;22;17;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;12;18;3;17;3;7
JOE ALEXANDER;TEL       ;14;17;0;0;3;6;1;1;0;1;3;3;0;0;1;4;2;3;1;3;0;3;4;9;4;9;6;7
JAMES ANDERSON;DAR       ;34;17;6;11;14;40;6;15;5;14;13;40;4;15;4;6;4;15;6;17;4;21;16;27;14;20;20;42
DANILO ANDUSIC;UNK       ;8;17;0;2;2;7;0;1;2;3;1;3;1;3;1;1;2;2;0;2;1;2;2;3;1;5;0;2
PERO ANTIC;ULK       ;29;17;3;6;11;28;2;5;4;8;6;27;1;6;2;4;1;5;0;1;1;5;1;6;3;6;2;4
PAVEL ANTIPOV;UNK       ;27;17;8;12;13;27;4;5;3;8;7;17;3;5;1;5;0;1;1;3;6;14;6;7;2;4;2;3
SEMEN ANTONOV;CSK       ;23;17;0;1;7;11;1;3;2;5;4;6;0;0;0;0;2;4;0;1;3;5;1;2;0;1;2;8
EGE ARAR;GAL       ;8;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;1;2;2;4;4;6;2;3;0;2
ENDER ARSLAN;DAR       ;3;17;0;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
IOANNIS ATHINAIOU;OLY       ;6;17;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1
JAMES AUGUSTINE;CSK       ;34;17;0;0;0;1;0;0;1;1;0;0;0;1;0;0;4;8;4;7;2;6;14;21;15;31;49;58
GUSTAVO AYON;MAD       ;36;17;0;0;0;0;0;0;0;0;0;0;0;0;7;18;8;18;11;17;1;6;60;75;34;45;39;50
JEFF AYRES;CSK       ;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;3;3;4
DOGUS BALBAY;IST       ;22;17;1;4;1;7;0;2;1;1;2;5;2;4;2;3;1;2;0;1;0;0;6;10;3;5;4;13
MARKO BANIC;UNK       ;21;17;0;0;0;0;0;0;0;0;0;0;0;0;7;14;4;6;0;0;7;14;18;24;10;13;5;12
ANDREA BARGNANI;BAS       ;14;17;0;0;1;3;2;7;1;5;3;8;0;0;4;9;4;14;12;27;7;12;4;7;8;10;3;5
BIRKAN BATUK;DAR       ;29;17;5;9;4;14;0;3;0;3;4;19;4;8;2;2;0;1;1;4;0;2;4;8;2;3;4;4
RODRIGUE BEAUBOIS;BAS       ;30;17;1;5;11;31;8;20;18;34;13;41;3;9;4;12;8;15;7;15;2;12;22;31;14;25;18;30
ANTHONY BENNETT;ULK       ;8;17;1;3;0;0;0;1;0;0;0;2;1;5;1;3;0;1;0;0;0;1;1;1;0;0;1;2
DAIRIS BERTANS;DAR       ;31;17;6;10;9;23;6;10;5;9;4;7;2;6;1;10;2;7;2;5;3;6;17;29;2;8;4;6
KHEM BIRCH;OLY       ;37;17;0;0;0;0;0;0;0;0;0;0;0;0;3;9;2;8;2;7;0;4;24;37;49;69;23;31
MILKO BJELICA;RED       ;30;17;1;3;0;5;1;11;3;16;6;19;0;2;2;7;2;5;1;5;2;10;21;33;17;35;19;43
JAKA BLAZIC;BAS       ;27;17;0;3;4;9;4;11;2;5;13;31;1;2;2;7;1;4;2;7;0;6;14;25;10;19;5;16
ELEFTHERIOS BOCHORIDIS;PAN       ;5;17;0;0;0;1;0;0;2;2;1;1;0;0;0;0;0;0;0;2;0;1;1;1;0;0;0;1
BOGDAN BOGDANOVIC;ULK       ;21;17;1;5;19;31;9;15;5;23;11;30;1;2;8;13;8;18;8;11;5;10;15;21;6;11;12;25
IOANNIS BOUROUSIS;PAN       ;31;17;0;0;1;5;7;16;3;15;4;16;0;0;0;6;5;19;9;22;1;7;6;13;30;51;8;17
DERRICK BROWN;IST       ;35;17;3;9;3;14;2;7;5;8;4;17;0;2;18;42;11;28;7;29;22;46;39;49;24;43;29;45
CHASE BUDINGER;BAS       ;27;17;0;2;9;18;1;6;2;4;2;16;5;11;2;9;2;4;1;4;0;5;19;28;11;20;24;32
NICK CALATHES;PAN       ;32;17;1;7;7;25;5;16;5;22;6;34;2;7;6;19;11;34;10;32;5;13;15;28;30;42;22;38
JAYCEE CARROLL;MAD       ;36;17;6;10;14;42;5;12;6;11;24;53;5;9;2;10;9;21;13;20;6;10;5;12;13;18;6;7
FABIEN CAUSEUR;BAM       ;29;17;5;10;10;19;5;13;2;9;5;29;6;12;1;2;1;4;2;10;2;7;17;19;19;26;33;52
BRUNO CERELLA;MIL       ;4;17;0;0;0;0;0;1;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
VASILIS CHARALAMPOPOULOS;PAN       ;4;17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;1
