PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
ANDREA CINCIARINI;MIL       ;19;17;1;4;1;6;1;5;1;3;2;3;0;0;3;4;7;11;1;10;2;8;11;12;10;18;2;4
COTY CLARKE;UNK       ;13;17;0;2;3;7;0;1;2;3;3;7;0;1;4;9;0;7;0;3;1;5;9;14;5;11;3;7
VICTOR CLAVER;BAR       ;26;17;3;13;10;25;3;5;0;0;5;14;2;2;2;6;0;3;1;2;0;4;14;21;8;10;8;15
WILL CLYBURN;DAR       ;34;17;2;7;6;21;5;15;3;10;4;22;5;8;4;23;9;20;10;23;4;22;48;91;30;59;37;67
QUINO COLOM;UNK       ;25;17;0;2;16;40;4;13;8;23;5;18;0;3;6;29;8;19;5;12;8;12;13;27;7;11;11;20
TREVOR COONEY;BAS       ;1;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRYCE COTTON;IST       ;10;17;2;2;1;6;1;4;2;7;2;6;4;7;2;7;0;2;3;6;2;3;6;8;1;5;3;5
NEMANJA DANGUBIC;RED       ;23;17;4;9;4;16;1;3;0;3;1;14;6;8;2;6;5;13;4;10;2;7;10;16;1;5;6;11
LUIGI DATOME;ULK       ;33;17;10;22;17;32;4;8;5;13;10;21;2;6;8;22;9;25;5;15;5;19;12;21;4;6;11;20
AUSTIN DAYE;GAL       ;23;17;1;7;11;19;5;12;5;13;9;16;2;5;7;25;3;5;7;12;11;29;6;10;3;5;4;8
NANDO DE COLO;CSK       ;28;17;3;7;14;28;8;22;5;11;8;25;5;7;12;19;13;27;5;22;10;24;58;87;4;12;31;49
JUSTIN DENTMON;GAL       ;8;17;1;4;9;19;3;11;5;8;0;2;0;1;4;7;3;6;1;5;3;4;0;3;3;4;1;2
MOUSSA DIAGNE;BAR       ;7;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;4;0;3;2;3
JON DIEBLER;GAL       ;26;17;9;14;14;28;2;5;1;3;13;25;9;14;4;8;3;7;3;4;1;3;1;4;0;3;1;2
ILIMANE DIOP;BAS       ;30;17;0;0;0;0;0;0;0;0;0;0;0;0;1;6;2;8;10;21;1;2;18;20;8;18;11;14
ALI MUHAMMED;ULK       ;34;17;5;9;18;50;13;33;12;32;23;58;7;16;10;28;7;22;4;11;3;6;19;31;5;11;4;5
OGNJEN DOBRIC;RED       ;8;17;1;3;0;4;0;1;0;0;0;2;1;2;1;1;1;1;0;0;0;0;2;3;0;1;3;4
JUSTIN DOELLMAN;BAR       ;15;17;0;0;6;10;2;4;4;7;3;7;0;0;4;7;1;12;2;7;6;12;6;14;3;8;5;6
LUKA DONCIC;MAD       ;35;17;0;3;3;23;9;22;8;18;16;29;3;7;4;12;2;9;1;5;1;5;11;22;5;8;22;31
JOEY DORSEY;BAR       ;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;20;29;6;12;8;18
ZORAN DRAGIC;MIL       ;22;17;1;3;7;17;1;3;2;5;3;18;1;4;0;3;2;6;1;2;0;3;12;20;12;19;15;28
DONTAYE DRAPER;MAD       ;25;17;3;6;3;14;1;4;1;7;2;9;2;2;2;5;1;3;3;7;1;3;2;3;3;3;3;4
BRYANT DUNSTON;IST       ;35;17;0;0;0;0;0;0;0;1;0;0;0;0;3;7;4;18;7;21;2;10;59;77;34;69;31;51
AHMET DUVERIOGLU;ULK       ;6;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;4;6;3;3
SEMIH ERDEN;DAR       ;10;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;10;5;9;5;11
MARCUS ERIKSSON;BAR       ;18;17;2;5;1;9;2;2;1;3;4;11;2;4;0;2;1;4;1;3;0;3;1;3;0;0;1;1
VITOR FAVERANI;BAR       ;9;17;0;0;0;0;0;1;1;4;0;2;0;0;0;0;2;4;3;4;0;0;6;9;8;13;5;8
JAMES FELDEINE;PAN       ;32;17;1;5;14;33;4;11;6;14;14;40;1;3;2;8;1;14;6;16;5;7;8;16;12;22;5;6
RUDY FERNANDEZ;MAD       ;31;17;3;4;16;47;4;17;3;12;16;49;1;3;1;9;11;21;6;20;1;7;5;8;2;7;3;5
BRUNO FITIPALDO;GAL       ;16;17;2;5;2;6;3;4;1;6;4;6;4;9;1;1;0;5;2;2;2;5;3;4;2;4;3;6
SIMONE FONTECCHIO;MIL       ;6;17;1;3;1;1;0;0;0;1;4;7;1;4;1;2;0;0;1;1;1;3;1;3;2;4;0;0
ANTONIS FOTSIS;PAN       ;19;17;1;3;2;9;0;2;0;2;4;9;2;3;0;0;0;0;0;0;0;0;1;2;5;7;1;5
JOEL FREELAND;CSK       ;9;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;5;3;5;3;4
VITALY FRIDZON;CSK       ;31;17;4;12;4;13;3;5;2;4;8;18;4;7;5;11;4;10;1;6;6;7;14;24;7;8;8;11
KENNY GABRIEL;PAN       ;21;17;4;6;4;10;3;8;3;7;3;10;3;4;0;3;0;1;0;0;1;4;8;11;11;20;3;4
ALESSANDRO GENTILE;MIL       ;18;17;0;1;1;3;1;2;1;4;1;7;0;2;8;15;6;18;2;13;6;14;11;14;10;17;4;11
JAMES GIST;PAN       ;15;17;0;0;0;4;1;3;0;1;2;8;0;0;0;0;0;2;0;2;1;4;18;21;14;27;17;25
ANDREW GOUDELOCK;TEL       ;20;17;0;1;23;43;6;24;14;28;5;10;1;1;10;18;22;36;16;37;5;10;11;18;10;19;4;5
JAYSON GRANGER;IST       ;35;17;3;6;9;33;7;24;5;15;10;26;2;5;12;20;12;26;11;28;9;32;20;37;8;22;16;25
ERICK GREEN;OLY       ;36;17;7;11;20;41;4;19;5;16;10;26;2;5;2;12;13;29;18;50;15;30;11;18;11;18;11;17
MARKO GUDURIC;RED       ;29;17;4;7;13;36;3;10;4;11;3;23;1;4;2;7;2;6;4;8;3;8;8;14;7;15;14;24
SINAN GULER;GAL       ;30;17;3;7;12;34;3;21;5;20;12;29;9;16;1;10;4;13;6;22;4;19;24;41;8;16;31;50
ORHAN HACIYEVA;GAL       ;2;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
DANIEL HACKETT;OLY       ;11;17;1;1;1;4;0;4;0;0;1;4;1;1;1;4;1;4;3;7;1;6;3;4;3;5;1;3
ADAM HANGA;BAS       ;33;17;2;5;7;31;3;8;4;13;19;50;4;7;3;12;4;14;3;9;1;8;29;41;17;29;30;51
LUKE HARANGODY;DAR       ;26;17;2;6;4;9;0;4;1;3;9;13;1;2;2;4;4;4;1;5;3;6;12;16;2;3;2;5
ELIAS HARRIS;BAM       ;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;1;1;0;0
ISAIAH HARTENSTEIN;ZAL       ;3;17;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0
PATRICK HECKMANN;BAM       ;22;17;4;9;4;9;3;4;0;1;2;3;3;4;1;2;0;0;0;3;1;4;5;10;2;7;4;8
BARIS HERSEK;ULK       ;1;17;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0;0;0
THOMAS HEURTEL;IST       ;35;17;3;8;8;26;9;27;8;20;7;21;1;3;12;38;18;35;17;42;15;39;40;58;14;23;16;28
RICKY HICKMAN;MIL       ;28;17;2;5;13;32;7;17;3;18;8;24;1;6;2;7;3;17;5;9;1;8;20;38;9;24;11;20
CORY HIGGINS;CSK       ;32;17;5;8;7;22;1;4;2;4;7;15;3;8;4;12;10;21;8;20;5;13;24;50;6;13;18;23
KYLE HINES;CSK       ;35;17;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;8;1;4;0;4;56;75;21;32;26;35
JONATHAN HOLMES;BAR       ;7;17;1;3;1;3;0;2;0;0;1;3;1;1;1;2;0;0;0;0;0;1;4;6;0;0;2;2
TYLER HONEYCUTT;IST       ;35;17;4;11;6;44;2;7;2;8;13;27;7;11;5;20;6;14;3;17;11;28;21;29;11;22;19;34
OTHELLO HUNTER;MAD       ;35;17;0;0;0;1;0;0;0;1;0;0;0;0;3;11;4;9;4;12;3;15;42;52;20;27;36;45
COLTON IVERSON;TEL       ;30;17;0;0;0;0;0;0;0;0;0;0;0;0;3;8;6;13;7;16;0;4;25;32;38;60;19;27
AARON JACKSON;CSK       ;34;17;4;7;9;23;5;11;7;13;6;9;0;2;2;5;3;13;4;12;0;2;28;44;8;15;20;29
MIKE JAMES;PAN       ;24;17;0;2;9;32;5;13;8;19;9;22;0;2;1;11;21;33;11;20;2;7;21;29;21;33;9;17
PAULIUS JANKUNAS;ZAL       ;29;17;2;7;1;3;4;11;7;16;4;9;1;1;10;28;8;16;8;27;15;31;12;19;20;28;36;53
ROBERTAS JAVTOKAS;ZAL       ;11;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;6;9;1;2;5;8
CHARLES JENKINS;RED       ;30;17;1;2;6;16;4;12;10;21;7;13;3;8;7;17;12;34;15;35;6;16;12;27;11;21;12;16
ORLANDO JOHNSON;UNK       ;15;17;1;3;4;13;1;1;2;7;4;8;4;8;2;7;2;5;0;2;2;5;7;11;4;9;7;14
STEFAN JOVIC;RED       ;23;17;0;0;3;14;3;9;3;9;7;18;0;3;0;3;7;20;6;18;2;3;13;22;14;18;11;23
KOSTAS KAIMAKOGLOU;UNK       ;19;17;0;3;3;12;0;5;4;11;3;10;2;2;0;3;2;6;1;6;1;6;7;9;4;6;6;6
NIKOLA KALINIC;ULK       ;32;17;7;14;11;22;1;7;2;4;4;19;1;7;9;21;5;15;1;6;6;16;22;30;6;13;19;21
MANTAS KALNIETIS;MIL       ;25;17;0;2;3;6;7;19;3;7;11;30;3;8;1;3;2;6;4;9;0;2;19;29;6;11;8;14
ALEKSANDR KARPUKHIN;UNK       ;1;17;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ANTANAS KAVALIAUSKAS;ZAL       ;27;17;0;0;0;0;0;1;0;0;0;0;0;0;0;2;2;4;2;4;3;6;15;22;19;28;22;31
VICTOR KHRYAPA;CSK       ;31;17;1;1;2;7;1;3;1;7;2;19;0;1;4;15;1;5;2;4;5;16;11;14;4;10;11;16
ALEX KIRK;IST       ;15;17;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;5;1;5;7;12;5;7;6;9
ARTEM KLIMENKO;UNK       ;7;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;4;0;1;0;3
GOKSENIN KOKSAL;GAL       ;26;17;4;8;6;13;1;2;2;3;1;2;1;9;2;5;1;6;0;3;2;8;9;17;2;7;5;11
PETTERI KOPONEN;BAR       ;27;17;4;8;13;28;7;20;8;18;18;37;5;6;5;15;7;18;2;15;8;11;8;14;2;10;1;3
CAN KORKMAZ;GAL       ;9;17;0;1;4;5;1;2;0;1;1;6;0;0;0;0;0;2;0;0;1;2;2;3;1;2;1;1
FURKAN KORKMAZ;IST       ;1;17;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0
DMITRY KULAGIN;CSK       ;15;17;1;2;2;8;1;9;0;2;3;6;2;2;2;7;2;3;0;4;3;11;5;6;3;4;1;2
MIKHAIL KULAGIN;CSK       ;5;17;0;0;2;3;1;1;0;0;0;5;2;3;0;0;0;0;1;2;1;2;0;1;1;1;0;0
NIKITA KURBANOV;CSK       ;35;17;2;7;0;8;0;0;1;3;6;18;7;11;1;8;1;1;4;7;1;14;15;21;5;12;17;28
RODIONS KURUCS;BAR       ;1;17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
OGNJEN KUZMIC;RED       ;30;17;0;0;0;0;0;0;0;0;0;0;0;0;3;9;1;6;3;9;3;8;27;45;35;66;41;62
SYLVEN LANDESBERG;TEL       ;20;17;1;3;11;23;2;5;2;7;7;17;2;2;2;3;0;9;5;16;3;5;8;15;9;16;4;5
KEITH LANGFORD;UNK       ;28;17;0;0;23;50;12;27;11;44;11;36;0;0;13;42;25;51;19;61;20;52;4;14;17;34;37;58
NICOLAS LAPROVITTOLA;BAS       ;12;17;0;1;3;9;1;7;1;6;2;7;0;0;0;0;0;3;1;3;0;0;0;5;4;6;1;1
SHANE LARKIN;BAS       ;33;17;2;2;14;37;9;25;14;47;7;26;2;3;7;16;10;25;7;30;7;14;26;48;16;28;19;42
BRANKO LAZIC;RED       ;29;17;4;13;4;13;0;2;0;0;5;12;9;17;2;6;1;3;0;1;1;3;13;20;2;5;8;10
LUKAS LEKAVICIUS;ZAL       ;29;17;0;3;6;16;5;15;6;17;4;10;1;2;6;10;7;14;17;40;9;16;7;12;6;15;17;28
NIMROD LEVI;TEL       ;3;17;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
AUGUSTO LIMA;ZAL       ;26;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;3;16;30;15;27;22;32
SERGIO LLULL;MAD       ;33;17;1;4;23;67;15;51;7;35;23;53;1;2;14;40;23;47;8;22;2;9;32;42;12;24;13;21
MAODO LO;BAM       ;24;17;2;4;4;8;3;11;7;10;3;10;2;4;6;8;4;11;4;11;1;2;9;17;4;9;6;10
MATT LOJESKI;OLY       ;26;17;3;5;8;25;5;9;5;11;13;31;3;7;7;10;4;15;3;12;7;10;15;19;11;18;5;8
RAFA LUZ;BAS       ;23;17;0;1;3;3;2;5;1;3;2;3;1;2;2;3;0;3;4;7;0;0;4;6;3;8;7;9
JONAS MACIULIS;MAD       ;28;17;6;8;10;20;3;4;2;9;10;18;3;9;2;5;0;4;3;7;4;4;7;11;8;13;5;8
MILAN MACVAN;MIL       ;26;17;1;1;3;10;5;10;9;16;3;14;0;1;3;13;4;9;0;3;4;10;22;32;15;30;17;23
MELIH MAHMUTOGLU;ULK       ;15;17;1;5;4;11;0;0;2;4;12;22;2;5;0;1;0;1;0;3;2;3;1;2;1;2;1;1
VANGELIS MANTZARIS;OLY       ;37;17;2;5;20;50;6;16;5;15;19;57;3;6;0;8;3;9;2;7;1;2;3;11;5;12;3;7
JAMEL MCLEAN;MIL       ;28;17;0;0;2;2;0;1;0;2;0;3;0;0;4;13;5;9;4;12;1;7;21;31;29;48;15;19
GAL MEKEL;TEL       ;22;17;0;1;1;7;1;2;2;4;4;8;1;2;3;5;13;22;0;10;1;5;6;12;6;16;1;4
NICOLO MELLI;BAM       ;30;17;4;6;12;27;4;9;5;11;7;19;4;9;7;15;2;13;10;23;16;37;26;35;9;18;22;31
VLADIMIR MICOV;GAL       ;29;17;10;16;19;30;6;15;6;24;8;24;5;12;9;26;5;22;10;26;8;22;17;27;7;15;6;14
ARTURAS MILAKNIS;ZAL       ;29;17;3;12;20;47;3;9;1;14;16;39;11;17;2;8;1;3;0;2;2;5;2;5;3;6;6;8
DARIUS MILLER;BAM       ;30;17;3;6;2;27;11;19;15;39;25;48;6;10;6;12;12;24;17;35;5;11;14;23;5;13;7;9
QUINCY MILLER;TEL       ;4;17;0;0;1;3;1;3;1;2;1;3;0;0;0;0;1;3;1;2;0;4;1;3;2;5;1;2
NIKOLA MILUTINOV;OLY       ;34;17;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;11;1;11;1;4;16;22;27;41;11;15
YORDAN MINCHEV;ULK       ;2;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
LUKA MITROVIC;RED       ;28;17;0;1;1;5;0;1;1;3;1;6;0;1;2;5;0;3;1;8;2;6;15;25;15;24;11;20
ADRIEN MOERMAN;DAR       ;33;17;5;9;11;36;4;15;7;19;9;32;4;7;7;32;6;12;7;19;2;7;14;26;17;28;10;16
BROCK MOTUM;ZAL       ;29;17;3;11;10;17;6;13;4;9;6;14;6;12;1;6;7;11;5;8;0;10;21;33;21;39;30;40
XAVIER MUNFORD;BAR       ;4;17;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;2;0;2
MAXIM MUTAF;IST       ;8;17;1;3;3;8;0;1;0;0;2;3;1;2;0;1;0;1;0;1;0;0;0;0;0;0;0;1
JEREL McNEAL;BAM       ;13;17;1;2;0;2;1;4;2;5;2;6;2;5;1;3;0;0;1;4;1;1;4;6;3;4;4;8
JUAN CARLOS NAVARRO;BAR       ;16;17;0;0;5;13;0;3;3;7;7;29;1;3;3;4;2;9;1;4;1;7;5;9;1;4;1;1
DEMETRIS NICHOLS;PAN       ;28;17;2;5;7;15;2;2;2;8;4;17;0;0;4;13;1;3;1;5;5;11;5;12;10;15;3;5
ALEKSEJ NIKOLIC;BAM       ;7;17;2;3;2;4;0;1;0;0;0;4;0;1;1;3;0;1;0;1;0;0;3;6;1;1;0;0
ANDRES NOCIONI;MAD       ;13;17;1;7;3;10;0;1;0;1;3;5;0;2;1;4;0;1;1;2;0;2;2;3;1;2;1;2
JAMES NUNNALLY;ULK       ;20;17;4;8;7;12;1;3;1;4;3;13;5;9;0;5;1;8;2;5;0;6;6;11;3;5;6;10
JAMES WILLIAM NUNNALLY;ULK       ;12;17;1;1;4;7;1;2;0;0;5;10;0;2;1;5;2;2;4;10;1;2;3;5;3;6;6;8
YOGEV OHAYON;TEL       ;26;17;0;4;8;16;2;4;5;10;6;15;1;1;1;6;7;18;4;11;2;8;3;7;9;18;3;8
BRAD OLESON;BAR       ;24;17;9;13;3;11;2;3;0;5;5;20;2;7;3;3;1;3;1;5;4;6;5;7;7;7;8;11
LOUIS OLINDE;BAM       ;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
ALEN OMIC;IST       ;17;17;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;0;1;0;1;7;10;8;13;4;10
CEDI OSMAN;IST       ;35;17;6;17;13;29;2;9;2;10;5;25;8;12;3;12;3;7;3;11;0;8;22;36;6;10;15;25
KEVIN PANGOS;ZAL       ;29;17;0;4;13;35;12;25;12;25;15;28;3;4;4;20;2;19;3;13;2;3;7;12;5;17;5;17
VADIM PANIN;UNK       ;22;17;4;10;5;11;0;1;3;4;3;13;3;9;0;1;0;0;0;0;0;3;1;1;2;3;6;7
KOSTAS PAPANIKOLAOU;OLY       ;37;17;2;9;17;40;4;15;1;14;8;32;5;7;2;6;1;7;10;17;0;5;16;29;23;36;14;27
IOANNIS PAPAPETROU;OLY       ;33;17;4;8;11;30;1;5;2;9;7;21;1;4;1;5;5;13;0;7;1;5;10;17;15;24;3;5
NIKOS PAPPAS;PAN       ;27;17;0;2;4;14;1;4;2;9;5;15;1;4;1;4;4;7;1;7;0;2;15;24;6;15;12;13
ARTSIOM PARAKHOUSKI;UNK       ;29;17;0;0;0;0;0;0;0;0;0;0;0;0;7;19;7;16;5;16;3;9;50;62;37;56;25;38
DAVIDE PASCOLO;MIL       ;21;17;0;1;0;6;0;2;0;2;1;4;0;1;2;3;2;6;1;3;1;5;14;16;23;33;11;19
BRANDON PAUL;IST       ;23;17;5;8;3;22;6;11;3;11;16;33;6;9;2;6;0;4;3;8;1;8;8;17;1;3;3;7
STEFAN PENO;BAR       ;6;17;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;2
STRATOS PERPEROGLOU;BAR       ;22;17;1;5;5;17;4;10;1;3;8;17;0;1;6;16;4;16;2;10;2;8;10;16;7;14;3;6
TIBOR PLEISS;GAL       ;28;17;1;1;0;1;1;1;0;2;0;0;0;0;2;9;2;6;5;17;2;10;23;30;25;38;26;40
GUY PNINI;TEL       ;25;17;0;2;7;17;0;3;1;6;4;17;1;2;0;2;4;8;1;4;0;1;1;2;5;6;3;4
ANTON PONKRASHOV;UNK       ;9;17;1;1;3;5;0;3;2;5;2;7;1;1;1;2;5;12;5;11;1;3;1;3;0;2;4;7
EMIR PRELDZIC;GAL       ;17;17;7;10;3;9;2;5;1;4;1;8;1;3;0;7;1;8;1;3;5;9;5;7;2;4;3;5
PABLO PRIGIONI;BAS       ;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
GEORGIOS PRINTEZIS;OLY       ;32;17;3;6;5;15;3;8;3;10;11;25;2;2;7;30;16;40;11;29;20;50;28;39;22;40;25;38
LEON RADOSEVIC;BAM       ;28;17;0;0;0;0;0;0;0;0;0;0;0;0;5;11;2;14;4;9;0;0;29;44;12;26;20;25
MIROSLAV RADULJICA;MIL       ;26;17;0;0;0;1;0;0;0;1;0;0;0;0;4;8;7;17;5;19;10;18;15;28;26;41;17;27
ANTHONY RANDOLPH;MAD       ;34;17;3;7;10;25;2;5;3;9;6;17;6;17;8;19;5;16;4;12;15;39;19;29;19;27;27;32
NIKOLA REBIC;RED       ;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;2
ALEX RENFROE;BAR       ;16;17;0;0;4;9;2;4;2;7;4;9;0;0;0;0;0;0;0;2;0;2;4;6;3;3;5;14
FELIPE REYES;MAD       ;29;17;0;0;4;6;0;0;0;1;0;4;0;1;3;11;2;8;0;4;3;8;24;40;11;18;5;8
PAU RIBAS;BAR       ;2;17;0;0;0;2;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
TYRESE RICE;BAR       ;30;17;7;11;14;50;7;19;9;32;13;44;5;13;3;15;10;21;6;18;1;11;20;41;17;36;25;50
K.C. RIVERS;PAN       ;32;17;4;9;25;51;4;11;8;18;26;67;2;5;4;8;7;19;5;23;6;13;6;10;17;26;15;24
