PLAYER;TEAM;Games;Season;C3R;C3R_A;E3R;E3R_A;Ce3R;Ce3R_A;Ce3L;Ce3L_A;E3L;E3L_A;C3L;C3L_A;MBR;MBR_A;MER;MER_A;MEL;MEL_A;MBL;MBL_A;PR;PR_A;PC;PC_A;PL;PL_A
CORY HIGGINS;CSK       ;35;18;5;14;13;28;1;7;3;10;12;20;5;6;15;31;13;32;9;19;3;15;36;54;37;55;26;39
KYLE HINES;CSK       ;30;18;0;0;0;0;0;1;0;0;0;0;0;0;2;6;2;6;3;8;1;4;44;62;27;48;19;28
TRYGGVI HLINASON;PAM       ;9;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;8;11;3;5
TYLER HONEYCUTT;KHI       ;17;18;1;5;7;17;3;7;4;5;5;11;5;5;2;7;6;14;0;7;1;5;6;7;15;22;0;3
MARCELINHO HUERTAS;BAS       ;27;18;1;1;7;18;1;3;4;4;4;13;2;3;3;12;5;10;3;14;2;9;13;22;9;20;4;9
OTHELLO HUNTER;CSK       ;29;18;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2;4;2;6;1;4;30;48;35;51;23;33
EDWIN JACKSON;BAR       ;8;18;0;1;1;4;1;1;0;1;0;1;3;3;3;5;1;3;0;2;1;3;5;6;1;4;0;1
PIERRE JACKSON;TEL       ;29;18;1;2;24;60;7;19;10;22;11;41;1;3;5;17;8;22;5;20;0;4;17;29;37;71;7;14
MIKE JAMES;PAN       ;12;18;0;1;5;19;2;9;5;8;3;20;0;5;4;9;9;19;5;13;5;6;11;17;15;17;11;14
STEFAN JANKOVIC;RED       ;27;18;3;4;0;11;0;3;2;6;2;10;0;2;2;2;5;12;5;9;0;6;5;8;9;19;9;15
PAULIUS JANKUNAS;ZAL       ;34;18;1;2;2;2;5;8;1;7;0;5;0;0;20;31;16;32;13;28;26;38;8;15;20;35;36;54
MATT JANNING;BAS       ;34;18;5;6;20;58;10;17;4;15;17;53;5;6;3;8;8;13;2;7;6;14;7;13;10;11;3;7
CORY JEFFERSON;MIL       ;12;18;1;2;1;8;1;2;0;2;1;1;0;1;0;1;0;2;0;1;1;1;4;5;5;12;3;3
CHARLES JENKINS;KHI       ;34;18;8;12;11;22;2;6;2;4;8;18;5;17;3;8;3;11;2;6;4;7;3;8;14;23;0;1
CURTIS JERRELLS;MIL       ;24;18;2;5;7;37;9;16;4;18;13;25;4;4;4;6;4;10;4;9;1;1;8;14;9;15;12;21
KEVIN JONES;BAS       ;11;18;2;6;3;5;0;2;0;1;1;3;1;3;1;1;0;0;2;2;0;1;7;10;3;4;1;3
NIKOLA JOVANOVIC;RED       ;12;18;0;0;1;1;0;0;0;0;0;1;0;1;0;0;2;2;0;1;0;2;11;16;9;18;2;4
NIKOLA KALINIC;ULK       ;19;18;3;12;2;9;0;1;0;1;4;9;1;3;2;4;2;6;4;6;2;5;12;14;2;4;7;9
MANTAS KALNIETIS;MIL       ;19;18;2;4;2;5;1;3;2;4;3;11;2;5;0;3;0;2;1;5;2;3;7;13;5;14;2;6
DEANDRE KANE;TEL       ;30;18;0;1;3;11;3;7;1;4;1;8;3;5;0;2;6;7;0;5;0;6;20;32;48;77;3;6
ANTANAS KAVALIAUSKAS;ZAL       ;35;18;0;0;0;0;0;0;0;0;0;1;0;0;0;2;5;14;3;7;0;3;28;34;22;42;19;23
MARKO KESELJ;RED       ;4;18;0;1;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
VICTOR KHRYAPA;CSK       ;12;18;2;2;0;2;1;2;0;0;0;3;0;0;0;1;0;0;1;1;0;1;4;5;1;2;1;2
PETTERI KOPONEN;BAR       ;28;18;3;5;10;21;2;7;6;14;23;42;6;8;7;9;9;19;10;18;5;14;0;3;1;6;2;5
