PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
LEO WESTERMANN;LMG       ;16;44;232;32;134;18;99;25;214;3;218;34;125
HEIKO SCHAFFARTZIK;LMG       ;16;17;244;51;145;10;103;13;209;8;227;20;124
WILL DANIELS;LMG       ;16;37;168;18;94;19;82;17;143;6;148;14;91
ALI TRAORE;LMG       ;16;68;182;0;86;21;56;31;156;14;155;24;93
JAYSON GRANGER;IST       ;16;128;556;89;327;45;295;59;529;12;521;39;192
MARK PAYNE;LMG       ;16;20;147;9;81;12;62;18;145;6;141;8;72
RANDY CULPEPPER;LMG       ;16;19;81;11;40;11;35;9;77;2;80;10;35
DERRICK BROWN;IST       ;16;157;525;38;317;65;271;86;472;40;489;32;176
ALEX TYUS;IST       ;16;101;294;1;147;56;131;43;263;30;263;23;110
MATT GATENS;LMG       ;16;9;104;19;65;5;40;9;100;4;95;7;46
AHMET DUVERIOGLU;IST       ;16;12;43;0;25;2;10;6;35;6;38;2;14
J.R. REYNOLDS;GSS       ;16;17;113;15;58;8;57;7;92;1;100;11;50
PAULIUS JANKUNAS;ZAL       ;16;173;628;42;260;80;240;116;508;33;537;43;199
IAN VOUGIOUKAS;ZAL       ;16;170;505;0;173;84;204;71;395;41;419;30;164
ADAM HRYCANIUK;GSS       ;16;35;129;0;70;6;45;15;108;11;134;13;56
RENALDAS SEIBUTIS;ZAL       ;16;88;474;47;178;45;209;37;391;7;381;43;172
LUKASZ KOSZAREK;GSS       ;16;43;235;24;113;7;87;20;194;5;220;17;72
EDGARAS ULANOVAS;ZAL       ;16;85;662;38;262;48;262;73;521;35;557;27;204
MATEUSZ PONITKA;GSS       ;16;63;286;20;154;34;112;57;248;22;257;28;101
VLAD MOLDOVEANU;GSS       ;16;23;178;24;97;17;73;22;142;8;166;2;55
MANTAS KALNIETIS;ZAL       ;16;53;343;50;129;7;114;31;298;0;259;33;120
ROBERTAS JAVTOKAS;ZAL       ;16;30;154;1;64;9;54;15;136;18;133;4;56
MARTYNAS POCIUS;ZAL       ;16;37;274;26;110;18;118;31;223;4;258;21;84
PRZEMYSLAW ZAMOJSKI;GSS       ;16;13;141;32;105;7;70;14;133;4;146;7;62
DEMARQUIS BOST;GSS       ;16;5;18;3;9;6;16;0;17;0;21;2;7
DEJAN BOROVNJAK;GSS       ;16;58;164;0;72;26;74;22;131;13;132;9;49
NEMANJA DJURISIC;GSS       ;16;34;130;8;69;6;56;15;114;15;119;9;57
BROCK MOTUM;ZAL       ;16;88;423;37;171;24;184;41;368;26;368;31;157
OLIVIER HANLAN;ZAL       ;16;100;505;62;220;45;227;43;418;13;464;30;172
KAROL GRUSZECKI;GSS       ;16;7;111;17;61;4;32;9;104;2;117;9;39
SZYMON SZEWCZYK;GSS       ;16;19;94;23;83;3;37;16;111;6;115;5;40
LUKAS LEKAVICIUS;ZAL       ;16;44;306;30;121;19;121;21;233;3;259;27;118
VICTOR CLAVER;TIV       ;16;127;672;85;552;50;343;128;664;54;706;32;274
MIROSLAV RADULJICA;PAN       ;16;203;508;0;248;112;275;75;477;45;419;62;203
CHRIS SINGLETON;TIV       ;16;139;503;78;453;63;321;81;552;60;550;38;207
JAMES FELDEINE;PAN       ;16;76;599;118;356;41;315;49;590;8;585;43;236
NICK CALATHES;PAN       ;16;136;734;79;394;44;374;93;708;18;661;63;286
SASHA PAVLOVIC;PAN       ;16;77;414;48;201;38;214;47;370;17;387;22;124
MALCOLM DELANEY;TIV       ;16;150;816;174;677;174;450;96;835;10;847;80;328
RYAN BROEKHOFF;TIV       ;16;51;629;123;505;38;347;66;637;38;640;34;243
OGNJEN KUZMIC;PAN       ;16;99;300;0;199;44;128;54;290;50;326;19;115
JAMES GIST;PAN       ;16;141;633;58;323;69;307;83;602;36;585;43;244
ANDREY ZUBKOV;TIV       ;16;46;253;41;222;21;116;39;251;18;283;20;107
DONTAYE DRAPER;TIV       ;16;66;521;102;436;28;319;45;542;8;547;41;216
DIMITRIS DIAMANTIDIS;PAN       ;16;33;444;85;321;52;304;52;484;9;464;54;183
ANTONIS FOTSIS;PAN       ;16;31;353;67;241;12;234;57;364;23;350;7;134
ALEKSEY ZOZULIN;TIV       ;16;3;22;2;11;0;5;1;17;1;20;5;11
VLADIMIR JANKOVIC;PAN       ;16;46;283;40;185;27;172;42;297;12;259;15;136
KYRYLO FESENKO;TIV       ;16;38;114;0;96;16;46;26;131;17;104;20;70
SERGEY BYKOV;TIV       ;16;45;295;33;254;30;169;27;330;9;343;36;147
COLTON IVERSON;KSK       ;16;59;156;0;79;28;77;27;129;17;153;17;57
ANTE TOMIC;BAR       ;16;185;517;0;324;99;228;106;487;52;472;39;152
ALEX ABRINES;BAR       ;16;62;397;95;278;48;241;39;395;15;368;12;129
KENAN SIPAHI;KSK       ;16;32;184;20;98;16;83;10;148;1;174;12;54
JOSH CARTER;KSK       ;16;18;238;48;170;16;114;11;211;5;252;9;88
PAU RIBAS;BAR       ;16;60;440;59;269;33;236;43;411;7;394;24;142
JUSTIN DOELLMAN;BAR       ;16;136;606;62;373;49;311;92;559;21;572;32;179
JUSTIN CARTER;KSK       ;16;38;215;35;148;53;114;31;204;13;243;20;81
CARLOS ARROYO;BAR       ;16;52;293;63;205;23;172;29;285;8;326;28;102
KENNY GABRIEL;KSK       ;16;37;240;43;159;10;142;37;220;9;260;8;88
BRAD OLESON;BAR       ;16;32;329;63;260;17;208;22;354;9;355;11;115
TOMAS SATORANSKY;BAR       ;16;122;629;70;390;53;347;70;603;12;571;46;189
JOE RAGLAND;KSK       ;16;38;157;28;99;13;77;17;142;4;163;17;54
SHANE LAWAL;BAR       ;16;50;202;0;165;32;157;35;208;34;225;15;72
JUAN PALACIOS;KSK       ;16;64;157;16;125;11;73;25;155;13;182;15;62
MUHAMMED BAYGUL;KSK       ;16;11;68;10;40;7;32;3;63;5;66;6;27
JUAN CARLOS NAVARRO;BAR       ;16;74;442;121;309;50;250;22;451;2;452;35;153
ALEKSANDAR VEZENKOV;BAR       ;16;18;153;27;112;5;95;20;157;6;148;6;59
STRATOS PERPEROGLOU;BAR       ;16;101;564;95;352;51;302;79;529;10;556;24;175
KEREM GONLUM;KSK       ;16;24;129;9;79;11;50;21;119;7;116;6;52
INANC KOC;KSK       ;16;1;16;2;11;0;13;5;20;0;22;1;8
SAMARDO SAMUELS;BAR       ;16;88;304;5;162;76;179;45;292;26;304;28;112
CAN ALTINTIG;KSK       ;16;20;148;15;92;10;73;14;136;4;142;14;59
RICHARD HENDRIX;MAL       ;16;105;318;4;191;30;113;61;260;37;290;22;106
NIKOS ZISIS;BAM       ;16;122;559;67;292;50;248;54;526;10;475;45;202
WILL THOMAS;MAL       ;16;103;472;51;327;54;216;66;390;44;475;19;186
YASSIN IDBIHI;BAM       ;16;13;52;0;26;2;30;3;43;2;42;4;18
MINDAUGAS KUZMINSKAS;MAL       ;16;117;439;77;297;52;179;37;373;41;434;38;156
NICOLO MELLI;BAM       ;16;98;579;53;330;54;296;124;579;27;500;35;203
JAMAR SMITH;MAL       ;16;60;283;56;183;8;121;13;225;7;278;21;109
STEFAN MARKOVIC;MAL       ;16;11;183;24;136;11;91;17;169;4;173;14;71
BRAD WANAMAKER;BAM       ;16;144;614;76;336;71;272;93;600;5;530;57;225
EDWIN JACKSON;MAL       ;16;52;388;123;308;42;180;27;372;8;408;38;158
GABE OLASENI;BAM       ;16;10;55;0;37;2;23;8;60;6;55;6;22
DARIUS MILLER;BAM       ;16;88;531;77;272;33;254;49;497;9;453;32;182
CARLOS SUAREZ;MAL       ;16;31;377;55;280;34;151;60;350;26;390;27;139
FRAN VAZQUEZ;MAL       ;16;105;288;0;212;16;138;42;228;21;316;17;100
JANIS STRELNIEKS;BAM       ;16;77;501;88;317;46;265;41;485;8;459;33;172
PATRICK HECKMANN;BAM       ;16;31;285;24;135;30;144;34;277;11;237;15;91
DANIEL DIEZ;MAL       ;16;37;346;49;273;16;166;60;315;26;373;14;152
NEMANJA NEDOVIC;MAL       ;16;65;299;86;223;32;135;15;264;3;313;30;103
DANIEL THEIS;BAM       ;16;108;382;36;249;55;235;73;396;32;350;25;162
ALBERTO DIAZ;MAL       ;16;19;280;31;203;7;108;14;221;4;279;19;118
ELIAS HARRIS;BAM       ;16;54;174;4;86;22;79;30;149;17;147;9;61
LUCCA STAIGER;BAM       ;16;6;118;44;103;0;71;7;106;5;131;4;45
DAVID LOGAN;SAS       ;16;34;190;54;146;13;63;8;184;2;203;23;74
OGUZ SAVAS;DAR       ;16;4;14;0;6;4;6;3;9;1;10;4;12
JARVIS VARNADO;SAS       ;16;53;155;0;106;22;55;29;150;17;145;14;63
CHRISTIAN EYENGA;SAS       ;16;63;226;19;151;21;83;31;209;9;227;17;81
LUKE HARANGODY;DAR       ;16;90;423;64;251;14;180;76;398;23;393;18;168
JAMON GORDON;DAR       ;16;133;539;42;289;29;248;51;472;12;481;45;214
REGGIE REDDING;DAR       ;16;91;464;37;253;46;227;47;431;24;425;33;191
MARQUEZ HAYNES;SAS       ;16;56;372;82;244;33;175;20;336;6;375;28;124
DOGUS OZDEMIROGLU;DAR       ;16;0;5;1;1;0;0;0;2;0;4;0;4
BRENT PETWAY;SAS       ;16;15;126;14;93;3;49;19;120;5;137;10;48
SERHAT CETIN;DAR       ;16;7;62;8;32;6;35;5;59;0;56;5;24
SEMIH ERDEN;DAR       ;16;134;397;0;205;84;180;77;368;37;356;41;153
JOE ALEXANDER;SAS       ;16;65;188;22;145;29;78;32;206;10;215;9;67
GIACOMO DEVECCHI;SAS       ;16;7;98;13;86;2;30;5;96;2;114;3;34
ENDER ARSLAN;DAR       ;16;27;247;56;178;25;150;13;275;3;271;25;91
ROK STIPCEVIC;SAS       ;16;23;124;34;109;8;55;11;137;2;147;14;60
EMIR PRELDZIC;DAR       ;16;39;299;44;206;38;196;51;313;17;318;28;132
LORENZO D'ERCOLE;SAS       ;16;2;52;9;50;0;20;4;73;1;63;0;20
BRIAN SACCHETTI;SAS       ;16;13;145;15;99;14;66;22;143;4;143;5;55
MILKO BJELICA;DAR       ;16;92;410;48;234;56;233;57;389;25;391;27;171
DENIS MARCONATO;SAS       ;16;2;6;1;11;0;2;3;8;1;15;1;4
MARCUS SLAUGHTER;DAR       ;16;53;334;0;214;50;186;60;344;31;333;35;138
NANDO DE COLO;CSK       ;16;210;665;99;437;153;413;89;650;7;581;75;236
NIKITA KURBANOV;CSK       ;16;84;489;46;330;45;361;97;524;49;434;17;186
JORDAN FARMAR;TEL       ;16;25;142;36;90;6;66;18;151;1;150;15;57
YOGEV OHAYON;TEL       ;16;29;155;20;100;11;72;13;166;6;158;16;73
KYLE HINES;CSK       ;16;164;620;0;454;111;461;82;668;55;573;32;236
DEVIN SMITH;TEL       ;16;42;250;46;150;20;110;40;234;9;252;15;81
AARON JACKSON;CSK       ;16;48;304;38;202;24;167;25;341;6;302;23;119
VITOR FAVERANI;TEL       ;16;5;14;0;8;2;2;0;12;2;11;1;3
ANDREY VORONTSEVICH;CSK       ;16;63;565;109;401;35;387;85;608;33;510;22;220
TREVOR MBAKWE;TEL       ;16;43;203;0;156;24;94;42;211;38;212;18;90
MILOS TEODOSIC;CSK       ;16;104;644;178;477;129;477;69;702;8;606;87;245
TAYLOR ROCHESTIE;TEL       ;16;66;260;47;177;25;141;17;258;4;272;20;89
ARINZE ONUAKU;TEL       ;16;30;111;0;52;16;40;22;100;20;112;7;30
DEMETRIS NICHOLS;CSK       ;16;31;228;41;174;12;160;26;257;7;233;14;95
CORY HIGGINS;CSK       ;16;94;480;63;348;78;388;55;545;9;456;40;196
DRAGAN BENDER;TEL       ;16;7;61;7;41;2;22;8;71;2;61;4;27
PAVEL KOROBKOV;CSK       ;16;23;102;6;82;9;74;15;106;8;101;6;36
GUY PNINI;TEL       ;16;6;109;30;106;6;69;11;134;0;133;5;57
VIACHESLAV KRAVTSOV;CSK       ;16;11;47;0;17;13;34;10;47;1;30;2;21
SYLVEN LANDESBERG;TEL       ;16;46;185;41;138;18;104;22;194;3;205;12;70
VITALY FRIDZON;CSK       ;16;41;306;70;234;36;218;36;346;10;283;15;125
ITAY SEGEV;TEL       ;16;1;8;0;5;0;4;2;14;1;9;0;2
DMITRY KULAGIN;CSK       ;16;17;79;12;59;1;72;12;93;1;79;8;27
BRYCE TAYLOR;MUN       ;16;27;208;23;119;17;69;21;187;11;198;6;64
RUSLAN PATEEV;KHI       ;16;3;6;0;4;1;3;0;6;0;4;1;5
MAXIM SHELEKETO;KHI       ;16;1;19;1;16;4;9;3;23;2;25;0;10
EKPE UDOH;ULK       ;16;230;682;2;388;99;386;85;668;53;592;41;218
ROMEO TRAVIS;STR       ;16;25;104;1;45;3;44;16;101;7;93;4;40
BERK UGURLU;ULK       ;16;21;103;5;50;7;57;6;90;0;94;6;30
MARKO TEJIC;RED       ;16;9;59;5;30;6;28;8;45;4;62;2;24
BORISA SIMANIC;RED       ;16;3;48;7;32;2;42;6;41;1;58;2;15
DINO RADONCIC;MAD       ;16;1;3;0;1;2;2;0;3;0;4;0;0
FURKAN KORKMAZ;IST       ;16;19;150;26;98;7;83;12;151;5;146;8;58
CEDI OSMAN;IST       ;16;69;444;71;255;38;207;47;417;24;402;19;144
EMIRCAN KOSUT;IST       ;16;0;0;0;2;2;2;0;3;0;2;0;1
OTHELLO HUNTER;OLY       ;16;145;449;0;231;56;248;69;385;63;423;26;142
NIKOLA MILUTINOV;OLY       ;16;45;179;0;111;18;78;24;175;25;175;10;54
IOANNIS ATHINAIOU;OLY       ;16;11;196;34;101;8;101;18;185;2;177;5;53
DEE BOST;GSS       ;16;40;184;34;103;20;61;14;158;2;178;11;74
GEORGIOS PAPAGIANNIS;PAN       ;16;13;31;0;15;2;12;7;32;3;35;0;10
VASILIS CHARALAMPOPOULOS;PAN       ;16;4;47;4;30;3;30;10;68;2;49;1;24
KASPARS VECVAGARS;ZAL       ;16;20;162;19;66;11;64;12;135;0;142;9;53
MATTEO FORMENTI;SAS       ;16;4;60;5;43;0;39;3;67;3;52;2;25
METIN TUREN;DAR       ;16;3;28;4;15;4;16;2;29;0;29;1;7
QUINCY MILLER;RED       ;16;129;620;110;356;81;326;112;604;25;575;46;262
VLADIMIR STIMAC;RED       ;16;106;300;0;191;69;186;76;301;48;309;16;142
STANISLAV ILNITSKIY;KHI       ;16;1;65;6;51;2;44;10;79;4;74;3;18
JEFFERY TAYLOR;MAD       ;16;51;305;31;235;18;214;38;360;15;317;14;114
MATHIEU WOJCIECHOWSKI;LMG       ;16;2;38;4;23;4;19;4;34;3;40;4;15
DOGUS BALBAY;IST       ;16;10;68;4;49;2;63;5;68;2;78;5;29
MICHALIS LOUNTZIS;PAN       ;16;1;7;0;8;0;3;3;11;2;10;1;5
MANUCHAR MARKOISHVILI;DAR       ;16;61;420;69;227;14;161;16;380;9;371;19;174
MEHMET YAGMUR;DAR       ;16;23;173;26;78;9;79;11;163;2;143;11;53
VICTOR KHRYAPA;CSK       ;16;25;137;19;78;9;116;30;144;7;116;8;47
BRIAN RANDLE;TEL       ;16;39;173;5;104;20;78;13;150;7;177;11;59
IKE OFOEGBU;TEL       ;16;7;58;4;51;20;48;10;65;8;70;4;32
OGULCAN BAYKAN;IST       ;16;1;18;1;9;0;9;2;14;1;18;4;7
YAKHOUBA DIAWARA;LMG       ;16;33;108;16;63;8;47;9;103;0;97;8;60
SIIM-SANDER VENE;ZAL       ;16;34;252;20;107;6;109;22;180;10;221;3;73
MAXIM KOLYUSHKIN;TIV       ;16;4;23;3;16;0;12;4;17;2;26;3;5
KENAN KARAHODZIC;MAL       ;16;2;13;4;22;0;7;0;22;1;19;3;17
HENRY WALKER;CED       ;16;30;207;42;131;22;96;27;178;10;204;11;77
SONER SENTURK;KSK       ;16;5;36;4;34;4;37;5;48;0;48;5;27
SCOTTIE WILBEKIN;DAR       ;16;78;380;101;239;41;199;26;363;4;372;32;157
FURKAN ALDEMIR;DAR       ;16;26;110;0;72;10;54;20;100;17;112;9;41
ALEKSEJ NIKOLIC;BAM       ;16;2;48;8;34;2;39;2;52;0;49;2;14
DANIEL MAYR;MUN       ;16;1;13;0;8;4;6;2;10;0;13;0;4
VASILIJE MICIC;MUN       ;16;45;264;40;179;31;186;28;275;5;261;39;118
EGEHAN ARNA;ULK       ;16;8;38;5;23;2;28;2;34;1;44;0;9
ERCAN BAYRAK;ULK       ;16;1;5;1;5;2;2;0;4;1;5;0;3
DANIELE MAGRO;MIL       ;16;0;7;0;4;0;7;0;6;0;7;0;3
ANDREA AMATO;MIL       ;16;0;0;0;0;0;0;0;0;0;0;0;0
OUSMANE CAMARA;LMG       ;16;17;70;0;33;5;30;10;63;7;59;6;33
EGEMEN GUVEN;KSK       ;16;5;16;0;16;0;10;1;20;0;19;0;8
LEON RADOSEVIC;BAM       ;16;91;322;0;168;52;139;36;310;30;282;17;98
GERMAN GABRIEL;MAL       ;16;5;9;1;3;6;13;1;8;0;10;0;0
MATT HOWARD;STR       ;16;16;80;1;39;12;32;11;67;8;79;7;36
TORNIKE SHENGELIA;BAS       ;16;39;164;14;99;22;67;25;181;9;157;18;61
MOUSSA DIAGNE;BAR       ;16;1;6;0;13;2;8;2;8;0;7;1;2
MARCUS ERIKSSON;BAR       ;16;2;14;2;16;0;8;0;20;2;21;1;11
MARCEL PONITKA;GSS       ;16;2;11;0;5;0;0;2;10;0;14;1;2
KAMIL ZYWERT;GSS       ;16;0;1;0;1;0;0;0;3;0;1;1;1
ANTHONY RANDOLPH;TIV       ;16;208;493;75;358;86;266;102;458;36;508;42;185
IGOR KANYGIN;TIV       ;16;0;2;0;4;0;0;0;2;0;4;0;1
FRANCESCO PELLEGRINO;SAS       ;16;1;11;0;12;0;4;2;11;1;14;0;6
