PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
GUSTAVO AYON;MAD       ;16;197;597;0;495;84;349;132;615;81;640;45;197
EVGENY VORONOV;TIV       ;16;73;343;36;260;21;141;30;320;12;337;22;162
OMER YURTSEVEN;ULK       ;16;11;36;2;22;0;10;6;27;1;39;0;9
TYLER HONEYCUTT;KHI       ;16;58;407;39;294;33;189;94;384;46;405;15;148
JAMES AUGUSTINE;KHI       ;16;149;559;8;408;40;260;95;571;59;561;25;200
FELIPE REYES;MAD       ;16;130;439;29;323;111;260;90;417;64;450;39;154
SERGEY MONIA;KHI       ;16;44;491;90;378;11;243;58;518;17;506;31;198
SERGIO LLULL;MAD       ;16;81;544;155;492;83;352;36;585;7;627;34;184
RUDY FERNANDEZ;MAD       ;16;36;248;56;212;26;173;23;277;10;286;22;116
EGOR VYALTSEV;KHI       ;16;19;187;31;134;19;114;19;203;2;187;14;67
JONAS MACIULIS;MAD       ;16;44;389;61;287;29;204;34;388;12;389;13;131
TYRESE RICE;KHI       ;16;133;621;114;444;70;278;41;614;9;633;71;224
PETTERI KOPONEN;KHI       ;16;80;417;84;297;33;232;31;419;8;407;29;147
MARKO TODOROVIC;KHI       ;16;44;224;3;146;30;125;37;243;23;218;13;80
SERGIO RODRIGUEZ;MAD       ;16;91;531;126;462;58;294;50;558;10;568;57;193
TREY THOMPKINS;MAD       ;16;38;204;39;147;11;84;36;205;9;187;9;64
ZORAN DRAGIC;KHI       ;16;73;373;65;238;45;204;44;378;16;367;21;115
ALEXEY SHVED;KHI       ;16;131;584;163;404;99;292;58;597;10;587;47;200
PAUL DAVIS;KHI       ;16;94;220;1;107;25;101;35;169;11;201;9;54
LUKA DONCIC;MAD       ;16;10;116;16;81;17;59;25;132;3;107;14;41
JAYCEE CARROLL;MAD       ;16;75;409;108;341;26;216;30;419;10;443;20;137
WILLY HERNANGOMEZ;MAD       ;16;36;130;0;104;11;72;31;149;16;134;10;46
ANDRES NOCIONI;MAD       ;16;41;238;71;252;35;159;57;285;7;306;15;88
KYLE WEEMS;STR       ;16;41;257;43;121;8;81;30;212;4;230;10;98
BANGALY FOFANA;STR       ;16;17;109;0;63;9;41;9;91;13;102;9;41
LOUIS CAMPBELL;STR       ;16;32;258;41;123;10;87;16;220;8;234;29;98
BRANKO LAZIC;RED       ;16;45;444;39;251;24;278;20;407;14;411;29;191
SOFOKLIS SCHORTSANITIS;RED       ;16;5;27;0;11;2;14;1;20;0;29;4;12
RODRIGUE BEAUBOIS;STR       ;16;52;227;46;120;11;58;13;189;3;211;17;94
LUKA MITROVIC;RED       ;16;12;40;2;14;4;29;8;29;2;28;4;23
RYAN THOMPSON;RED       ;16;22;163;21;100;9;74;9;170;7;175;12;91
GAL MEKEL;RED       ;16;19;73;3;26;2;39;4;63;2;76;7;37
MARDY COLLINS;STR       ;16;49;212;13;92;15;48;20;173;1;181;19;81
MAIK ZIRBES;RED       ;16;188;612;1;340;124;324;94;584;72;557;56;253
STEFAN JOVIC;RED       ;16;111;584;58;298;33;274;68;521;14;523;58;227
VLADIMIR GOLUBOVIC;STR       ;16;80;207;0;88;34;78;38;179;24;187;16;83
PAUL LACOMBE;STR       ;16;28;202;7;96;12;86;28;187;6;190;22;83
MARKO GUDURIC;RED       ;16;51;331;62;190;58;209;31;343;4;305;38;140
JEREMY LELOUP;STR       ;16;28;226;30;97;18;94;20;172;10;199;11;76
MARKO SIMONOVIC;RED       ;16;41;446;107;303;23;285;36;446;16;466;13;190
ROMAIN DUPORT;STR       ;16;20;61;1;28;0;16;7;48;2;49;0;25
FRANK NTILIKINA;STR       ;16;5;22;1;8;4;15;0;21;2;20;3;10
NIKOLA REBIC;RED       ;16;12;93;22;74;8;67;12;111;4;99;9;42
STEFAN NASTIC;RED       ;16;7;14;0;2;0;5;2;11;1;13;1;2
NIKOLA KALINIC;ULK       ;16;76;498;33;291;38;281;63;488;32;460;27;148
JAN VESELY;ULK       ;16;173;577;3;311;95;284;97;556;58;495;40;202
PAUL ZIPSER;MUN       ;16;21;131;18;92;10;55;24;124;7;133;9;41
BOGDAN BOGDANOVIC;ULK       ;16;129;704;133;432;69;404;74;685;17;665;42;236
NIHAD DEDOVIC;MUN       ;16;52;242;42;149;21;96;23;238;7;231;20;89
PERO ANTIC;ULK       ;16;47;422;81;273;65;225;76;405;24;416;19;141
DUSKO SAVANOVIC;MUN       ;16;48;214;40;124;13;64;38;215;14;202;11;74
JOHN BRYANT;MUN       ;16;51;167;9;98;13;91;26;151;12;153;6;62
KOSTAS SLOUKAS;ULK       ;16;61;403;29;192;50;234;31;367;4;327;35;119
ALEX RENFROE;MUN       ;16;46;270;25;143;20;82;33;251;9;254;37;89
DEON THOMPSON;MUN       ;16;81;234;1;127;13;64;32;225;9;217;10;80
K.C. RIVERS;MUN       ;16;77;457;105;370;24;230;43;443;6;484;16;144
BARIS HERSEK;ULK       ;16;9;99;7;62;0;54;7;105;3;105;6;37
LUIGI DATOME;ULK       ;16;151;710;91;433;75;383;91;668;37;631;48;232
ANTON GAVEL;MUN       ;16;15;172;11;96;14;73;13;150;5;157;8;57
ALI MUHAMMED;ULK       ;16;87;588;161;431;38;308;73;611;18;587;53;218
MELIH MAHMUTOGLU;ULK       ;16;8;182;52;134;2;103;11;193;2;193;8;66
DARIUS ADAMS;BAS       ;16;121;604;206;489;52;303;59;679;4;637;73;254
JAMEL McLEAN;MIL       ;16;58;211;5;118;47;127;25;172;16;196;17;64
ALESSANDRO GENTILE;MIL       ;16;67;186;25;101;35;75;17;138;4;171;11;51
KIM TILLIE;BAS       ;16;111;581;29;392;46;285;66;611;45;571;34;231
ADAM HANGA;BAS       ;16;102;667;61;482;75;369;112;740;27;663;31;266
ANDREA CINCIARINI;MIL       ;16;28;183;10;89;10;89;13;133;4;151;11;40
CHARLES JENKINS;MIL       ;16;26;241;24;139;6;126;11;205;5;224;7;80
DARKO PLANINIC;BAS       ;16;48;192;0;136;27;90;28;191;24;201;31;89
FABIEN CAUSEUR;BAS       ;16;82;527;81;359;42;267;56;581;9;507;35;205
MILAN MACVAN;MIL       ;16;28;126;11;66;20;63;14;89;12;114;2;27
ROBBIE HUMMEL;MIL       ;16;40;196;27;138;7;77;25;174;11;206;10;70
KRISTJAN KANGUR;BAS       ;16;6;51;3;51;6;46;8;75;3;64;5;25
STANKO BARAC;MIL       ;16;47;165;0;103;10;69;24;131;15;153;9;54
IOANNIS BOUROUSIS;BAS       ;16;183;634;80;463;143;378;202;704;49;631;55;229
MIKE JAMES;BAS       ;16;153;530;94;378;44;346;60;579;15;548;31;188
KRUNOSLAV SIMON;MIL       ;16;42;246;59;153;27;128;33;224;7;246;22;87
OLIVER LAFAYETTE;MIL       ;16;21;200;54;143;13;92;17;168;3;214;16;74
GANI LAWAL;MIL       ;16;12;52;0;23;4;16;10;40;6;48;5;19
BRUNO CERELLA;MIL       ;16;11;87;12;58;2;36;5;55;4;85;2;26
JAKA BLAZIC;BAS       ;16;96;477;70;359;58;309;59;533;34;507;36;183
ALBERTO CORBACHO;BAS       ;16;11;194;54;154;2;114;17;221;6;213;7;67
ILIMANE DIOP;BAS       ;16;44;197;0;167;28;112;33;249;23;227;15;80
MAMADOU DIOP;BAS       ;16;1;9;3;6;2;10;1;9;1;12;1;4
MIRO BILAN;CED       ;16;217;612;9;297;80;275;95;569;52;523;49;203
DZANAN MUSA;CED       ;16;14;78;11;31;6;35;9;74;4;63;7;28
PATRIC YOUNG;OLY       ;16;26;89;0;54;21;41;14;101;11;78;6;30
VASSILIS SPANOULIS;OLY       ;16;100;514;99;295;85;267;24;464;6;506;58;153
GEORGIOS PRINTEZIS;OLY       ;16;161;488;55;290;63;266;83;455;33;481;21;142
VANGELIS MANTZARIS;OLY       ;16;42;506;76;311;32;263;61;497;6;512;24;165
MARKO ARAPOVIC;CED       ;16;100;459;54;236;32;205;57;439;39;411;24;161
NEMANJA GORDIC;CED       ;16;65;393;36;172;21;167;25;338;2;342;39;129
TOMISLAV ZUBCIC;CED       ;16;6;36;9;30;4;17;9;38;2;41;3;14
IOANNIS PAPAPETROU;OLY       ;16;73;437;40;225;26;244;46;386;18;413;25;127
JAMES WHITE;CED       ;16;124;654;46;347;56;282;91;571;17;584;24;219
DIMITRIOS AGRAVANIS;OLY       ;16;34;187;24;116;18;104;23;172;15;190;11;63
JACOB PULLEN;CED       ;16;111;535;135;323;80;266;29;521;10;511;58;207
DANIEL HACKETT;OLY       ;16;76;432;56;245;64;253;53;387;3;395;36;142
LUKA BABIC;CED       ;16;87;596;74;321;42;265;92;577;11;526;37;202
LUKA ZORIC;CED       ;16;68;188;0;104;22;90;22;178;11;178;15;81
MICHALIS TSAIRELIS;OLY       ;16;13;49;2;27;0;14;4;50;4;51;4;21
D.J. STRAWBERRY;OLY       ;16;70;432;55;244;37;238;52;396;20;407;20;137
FRAN PILEPIC;CED       ;16;32;371;63;216;12;173;22;348;7;348;20;135
LOVRO MAZALIN;CED       ;16;8;52;0;25;4;38;3;61;2;58;5;35
MATT LOJESKI;OLY       ;16;37;223;40;132;16;98;27;222;12;204;9;77
KARLO ZGANEC;CED       ;16;34;270;0;150;26;133;31;253;20;260;19;110
FREJUS ZERBO;LMG       ;16;43;129;0;94;20;63;31;126;10;137;16;69
THOMAS HEURTEL;IST       ;16;122;616;82;397;71;301;60;584;10;572;78;217
BRYANT DUNSTON;IST       ;16;105;448;0;299;84;231;69;462;50;419;28;159
NOBEL BOUNGOU-COLO;LMG       ;16;40;242;36;122;14;99;24;215;7;203;20;117
JON DIEBLER;IST       ;16;31;524;103;319;28;293;25;487;14;481;17;179
BIRKAN BATUK;IST       ;16;11;269;55;176;15;130;18;251;8;236;9;107
DARIO SARIC;IST       ;16;127;495;71;316;49;285;102;475;36;459;36;182
