PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
ANTHONY RANDOLPH;MAD       ;17;167;637;79;479;81;349;130;664;44;586;40;215
KHEM BIRCH;OLY       ;17;150;588;0;377;98;305;126;608;83;583;38;213
MATT LOJESKI;OLY       ;17;85;486;88;325;52;284;59;492;21;485;26;178
PATRIC YOUNG;OLY       ;17;54;248;1;161;39;118;48;257;24;254;19;105
LUKA DONCIC;MAD       ;17;88;610;103;442;77;346;123;626;33;552;62;225
DIMITRIOS AGRAVANIS;OLY       ;17;35;247;46;172;25;122;38;237;23;270;7;78
DONTAYE DRAPER;MAD       ;17;26;353;42;230;17;156;23;339;6;323;19;119
OTHELLO HUNTER;MAD       ;17;165;511;2;372;60;245;101;513;58;476;30;197
DANIEL HACKETT;OLY       ;17;32;148;15;92;22;74;16;126;1;135;2;36
JAYCEE CARROLL;MAD       ;17;89;558;137;402;45;283;44;533;9;506;24;190
ERICK GREEN;OLY       ;17;166;652;118;433;60;335;58;646;10;655;27;217
FELIPE REYES;MAD       ;17;90;354;12;232;67;177;56;332;30;337;24;115
IOANNIS PAPAPETROU;OLY       ;17;72;481;78;331;16;250;77;531;16;486;21;176
EKPE UDOH;ULK       ;17;248;829;1;533;118;443;165;843;76;770;38;312
NICOLO MELLI;BAM       ;17;168;752;83;492;73;325;184;732;38;669;51;271
FABIEN CAUSEUR;BAM       ;17;111;624;94;403;49;271;78;602;15;554;42;237
JAN VESELY;ULK       ;17;223;720;3;418;122;379;99;704;55;642;49;261
NIKOS ZISIS;BAM       ;17;104;631;72;416;80;270;53;620;6;577;52;230
LUIGI DATOME;ULK       ;17;117;652;103;428;54;307;92;641;30;601;35;231
DARIUS MILLER;BAM       ;17;123;715;150;466;54;293;75;672;7;633;45;239
BOGDAN BOGDANOVIC;ULK       ;17;100;480;107;349;69;272;75;508;9;454;52;194
ALI MUHAMMED;ULK       ;17;102;730;201;504;53;313;74;678;19;686;67;269
VLADIMIR VEREMEENKO;BAM       ;17;38;171;0;121;13;65;17;146;19;160;15;67
PATRICK HECKMANN;BAM       ;17;26;297;33;201;13;138;32;309;2;271;16;101
DANIEL THEIS;BAM       ;17;145;495;39;347;55;259;87;490;50;444;32;180
JAMES WILLIAM NUNNALLY;ULK       ;17;33;201;22;106;10;119;23;199;5;181;11;68
JANIS STRELNIEKS;BAM       ;17;91;457;85;321;37;215;44;473;5;414;26;153
KOSTAS SLOUKAS;ULK       ;17;115;654;68;383;69;321;53;639;9;592;73;236
MAODO LO;BAM       ;17;58;236;49;150;12;88;29;239;1;209;26;96
LUCCA STAIGER;BAM       ;17;2;84;48;94;0;36;14;114;3;94;4;47
PERO ANTIC;ULK       ;17;29;322;79;262;39;162;61;338;14;342;11;137
TORNIKE SHENGELIA;BAS       ;17;140;498;24;251;81;224;70;430;31;424;47;181
ADAM HANGA;BAS       ;17;158;910;119;525;81;419;115;813;31;819;45;291
DERRICK BROWN;IST       ;17;271;1086;58;566;103;527;134;856;58;1000;55;283
BRYCE COTTON;IST       ;17;34;197;32;96;11;78;14;163;2;169;9;56
SHANE LARKIN;BAS       ;17;186;899;142;565;128;426;71;851;18;836;92;306
JAYSON GRANGER;IST       ;17;174;932;113;488;73;427;77;698;16;876;55;238
ANDREA BARGNANI;BAS       ;17;82;229;23;126;36;107;21;215;6;205;21;84
JAKA BLAZIC;BAS       ;17;73;402;61;252;25;226;50;433;19;364;19;165
CEDI OSMAN;IST       ;17;102;705;105;338;47;274;68;493;29;638;19;159
BRYANT DUNSTON;IST       ;17;240;1056;1;545;137;489;117;847;100;955;33;271
DESHAUN THOMAS;IST       ;17;91;511;127;296;36;233;38;386;21;468;15;139
ILIMANE DIOP;BAS       ;17;85;411;0;255;43;228;67;409;23;383;23;155
ALEN OMIC;IST       ;17;36;152;0;75;16;43;9;100;17;137;9;61
JOHANNES VOIGTMANN;BAS       ;17;156;742;72;460;78;330;156;706;76;684;31;270
JOSH AKOGNON;BAS       ;17;7;57;14;36;0;38;2;52;1;51;3;20
RAFA LUZ;BAS       ;17;33;251;18;120;6;115;20;228;6;216;25;112
THOMAS HEURTEL;IST       ;17;248;956;104;514;83;481;51;770;8;849;89;280
TYLER HONEYCUTT;IST       ;17;162;874;109;484;100;432;187;746;69;801;63;273
TREVOR COONEY;BAS       ;17;0;5;1;3;0;0;0;6;0;4;0;0
ANTANAS KAVALIAUSKAS;ZAL       ;17;85;312;1;142;39;134;39;272;39;246;35;135
JAMES GIST;PAN       ;17;74;297;18;201;30;152;39;281;25;288;21;90
KEVIN PANGOS;ZAL       ;17;90;578;126;329;29;249;40;480;14;515;45;205
NICK CALATHES;PAN       ;17;197;750;114;580;60;398;102;753;29;803;69;245
EDGARAS ULANOVAS;ZAL       ;17;113;640;42;367;73;364;60;583;40;573;39;242
PAULIUS JANKUNAS;ZAL       ;17;199;645;47;356;121;280;142;581;42;578;50;240
CHRIS SINGLETON;PAN       ;17;138;779;109;598;127;399;133;751;62;828;46;240
VASILIS CHARALAMPOPOULOS;PAN       ;17;5;25;1;20;0;8;1;29;1;25;1;12
RENALDAS SEIBUTIS;ZAL       ;17;42;326;23;186;25;186;32;288;6;315;18;139
JAMES FELDEINE;PAN       ;17;87;572;110;413;23;254;31;551;5;590;25;183
LEO WESTERMANN;ZAL       ;17;110;684;93;376;44;297;81;609;15;602;71;254
DEMETRIS NICHOLS;PAN       ;17;61;409;48;301;16;181;59;431;15;426;19;135
AUGUSTO LIMA;ZAL       ;17;92;362;0;261;47;160;61;329;51;357;27;151
IOANNIS BOUROUSIS;PAN       ;17;131;474;55;376;113;258;102;499;57;524;59;187
NIKOS PAPPAS;PAN       ;17;69;409;49;317;55;224;35;401;10;435;28;132
K.C. RIVERS;PAN       ;17;115;743;168;573;41;421;67;724;14;776;28;246
LUKAS LEKAVICIUS;ZAL       ;17;130;470;73;289;54;232;47;434;11;435;50;191
BROCK MOTUM;ZAL       ;17;138;634;77;353;55;342;63;542;40;558;29;231
ARTURAS MILAKNIS;ZAL       ;17;36;559;139;366;21;275;34;503;12;523;19;213
ELEFTHERIOS BOCHORIDIS;PAN       ;17;5;27;4;16;2;11;1;24;0;33;2;9
ROBERTAS JAVTOKAS;ZAL       ;17;27;109;0;79;8;59;12;101;11;119;9;36
ANTONIS FOTSIS;PAN       ;17;15;226;31;191;5;119;42;249;15;247;7;82
TYRESE RICE;BAR       ;17;178;751;169;509;73;337;41;769;8;733;77;320
ARTSIOM PARAKHOUSKI;UNK       ;17;210;609;0;298;75;256;74;523;75;497;24;189
KEITH LANGFORD;UNK       ;17;296;939;155;453;202;452;76;794;20;806;68;275
ANTE TOMIC;BAR       ;17;191;541;1;370;93;224;108;554;63;535;56;229
PAVEL ANTIPOV;UNK       ;17;35;481;75;268;14;252;37;427;18;446;9;151
COTY CLARKE;UNK       ;17;55;284;21;152;21;158;47;261;12;258;19;103
BRAD OLESON;BAR       ;17;42;419;58;293;10;212;33;445;11;406;20;183
JUSTIN DOELLMAN;BAR       ;17;58;261;28;176;19;110;37;263;10;249;14;101
VICTOR CLAVER;BAR       ;17;57;492;60;347;36;200;95;501;23;486;33;223
ANTON PONKRASHOV;UNK       ;17;37;201;22;95;6;78;18;161;3;181;27;74
QUINO COLOM;UNK       ;17;126;647;97;313;83;312;75;558;23;533;63;214
EVGENY VORONOV;UNK       ;17;44;330;26;156;17;148;23;284;7;272;23;119
LATAVIOUS WILLIAMS;UNK       ;17;138;486;1;253;44;263;88;416;64;452;25;165
MARCUS ERIKSSON;BAR       ;17;15;151;34;141;0;87;20;173;7;180;11;88
KOSTAS KAIMAKOGLOU;UNK       ;17;42;418;42;211;14;196;55;365;10;364;22;139
JUAN CARLOS NAVARRO;BAR       ;17;34;219;56;152;16;89;16;221;1;217;28;88
JOEY DORSEY;BAR       ;17;57;238;0;165;44;113;61;226;46;239;30;103
STRATOS PERPEROGLOU;BAR       ;17;85;383;52;255;22;152;61;389;8;377;23;166
STEFAN PENO;BAR       ;17;5;33;3;31;4;31;4;36;2;36;6;15
ALEKSANDAR VEZENKOV;BAR       ;17;67;416;71;334;33;228;72;489;25;440;19;205
ELIAS HARRIS;BAM       ;17;5;14;0;6;2;3;0;10;1;14;2;9
RAKIM SANDERS;MIL       ;17;135;546;96;269;45;250;63;454;21;455;30;192
OGUZ SAVAS;DAR       ;17;15;44;0;34;1;15;9;38;3;49;2;15
SONNY WEEMS;TEL       ;17;119;487;52;266;37;206;60;487;3;415;58;196
JONAS MACIULIS;MAD       ;17;50;433;67;330;25;195;44;420;22;412;10;146
FURKAN KORKMAZ;IST       ;17;4;17;1;8;0;6;1;11;0;22;0;3
CORY HIGGINS;CSK       ;17;139;572;62;345;91;419;56;575;13;536;49;216
NIKOLA KALINIC;ULK       ;17;117;665;72;410;43;363;82;689;19;607;46;247
PAU RIBAS;BAR       ;17;1;14;6;9;0;2;1;11;0;13;1;13
BERK UGURLU;ULK       ;17;4;22;3;21;2;20;0;24;1;34;3;11
KIM TILLIE;BAS       ;17;92;591;54;375;34;267;76;558;46;554;23;194
DOGUS BALBAY;IST       ;17;31;274;23;157;3;119;18;202;23;248;9;73
AWUDU ABASS;MIL       ;17;40;352;38;193;25;186;27;303;17;330;15;139
TADAS SEDEKERSKIS;BAS       ;17;7;65;1;25;8;40;5;53;3;51;4;30
VADIM PANIN;UNK       ;17;15;461;44;226;6;196;42;395;11;389;24;139
MARKO BANIC;UNK       ;17;77;337;0;137;11;118;23;252;17;271;12;107
LEON RADOSEVIC;BAM       ;17;120;388;0;246;41;146;48;421;26;348;28;141
MELIH MAHMUTOGLU;ULK       ;17;13;159;48;137;6;80;8;165;2;175;4;61
ISAIAH HARTENSTEIN;ZAL       ;17;3;13;2;9;1;12;4;14;0;11;2;5
ALEKSANDR KARPUKHIN;UNK       ;17;0;4;2;6;0;7;0;5;0;7;1;2
ANDRES NOCIONI;MAD       ;17;14;93;26;65;5;53;11;83;1;83;7;35
RODRIGUE BEAUBOIS;BAS       ;17;136;566;142;372;46;269;38;532;5;541;48;202
PETTERI KOPONEN;BAR       ;17;82;461;118;356;47;261;41;512;5;503;36;229
BARIS HERSEK;ULK       ;17;2;7;2;9;0;4;0;11;0;13;0;5
NATE WOLTERS;RED       ;17;114;355;50;247;32;153;50;302;7;374;33;108
OGNJEN DOBRIC;RED       ;17;10;58;12;38;3;27;5;47;1;59;5;23
CHASE BUDINGER;BAS       ;17;93;539;57;321;27;232;72;490;38;495;26;202
METIN TUREN;DAR       ;17;0;0;0;0;0;0;0;0;0;0;0;0
ENDER ARSLAN;DAR       ;17;1;18;5;17;5;13;2;17;0;23;3;4
JONATHAN HOLMES;BAR       ;17;10;68;12;48;12;42;11;79;8;70;11;37
DAGAN YIVZORI;TEL       ;17;0;0;0;0;0;0;0;0;0;0;0;0
ORLANDO JOHNSON;UNK       ;17;48;232;40;130;23;116;27;191;6;225;20;89
YORDAN MINCHEV;ULK       ;17;1;13;1;8;0;9;2;17;0;17;3;8
SEMIH ERDEN;DAR       ;17;27;133;1;68;28;70;24;134;7;118;9;40
PAULIUS VALINSKAS;ZAL       ;17;2;3;1;7;2;5;0;9;0;3;1;3
BORISA SIMANIC;RED       ;17;1;16;2;9;0;6;2;13;1;18;0;3
MIKHAIL KULAGIN;CSK       ;17;6;36;12;29;5;16;1;33;1;32;5;12
MIKE JAMES;PAN       ;17;147;442;98;376;64;238;39;448;16;481;33;164
KENNY GABRIEL;PAN       ;17;42;320;48;248;18;119;49;286;20;331;10;89
ALEX RENFROE;BAR       ;17;27;205;31;209;7;101;26;259;10;245;24;104
PAUL STOLL;UNK       ;17;12;200;36;127;8;83;21;170;7;206;17;70
JOEL FREELAND;CSK       ;17;17;72;0;34;13;56;13;58;5;68;0;27
BRUNO CERELLA;MIL       ;17;1;41;6;28;3;35;2;39;0;41;0;14
AHMET DUVERIOGLU;ULK       ;17;16;55;0;32;6;17;5;50;7;39;3;18
ALEKSEJ NIKOLIC;BAM       ;17;11;77;14;70;11;41;6;72;2;87;7;29
EGE ARAR;GAL       ;17;23;114;0;58;2;40;19;106;11;100;5;35
CAN KORKMAZ;GAL       ;17;10;77;15;45;8;34;4;74;2;77;4;17
MEHMET YAGMUR;DAR       ;17;0;16;5;18;0;15;1;29;0;27;4;12
ARTEM KLIMENKO;UNK       ;17;7;40;0;17;6;17;8;38;2;39;6;17
IOANNIS ATHINAIOU;OLY       ;17;4;33;3;26;2;18;2;34;1;35;6;20
BRANDON PAUL;IST       ;17;48;405;92;222;64;222;20;355;3;384;16;110
VASSILIS TOLIOPOULOS;OLY       ;17;1;1;2;3;0;2;0;1;0;4;0;0
JAMES NUNNALLY;ULK       ;17;46;302;48;211;13;186;29;319;10;282;22;125
PABLO PRIGIONI;BAS       ;17;1;25;0;12;0;12;4;22;1;16;3;11
MAXIM MUTAF;IST       ;17;4;83;17;45;0;27;6;65;5;76;3;20
ORHAN HACIYEVA;GAL       ;17;1;15;1;7;0;7;0;11;1;14;0;1
SIMONE FONTECCHIO;MIL       ;17;12;113;16;64;0;44;9;93;6;92;5;47
QUINCY MILLER;TEL       ;17;19;66;11;53;4;32;10;79;3;64;5;31
EGEHAN ARNA;ULK       ;17;0;0;0;1;0;2;0;1;0;2;0;0
ANTE ZIZIC;DAR       ;17;106;398;1;269;56;191;72;356;62;407;25;130
BRUNO FITIPALDO;GAL       ;17;23;200;38;125;14;66;3;187;1;158;22;76
JEREL McNEAL;BAM       ;17;23;187;25;121;11;98;18;193;10;176;16;72
DOMINIC WATERS;OLY       ;17;49;224;19;123;13;73;12;198;3;215;19;71
VITOR FAVERANI;BAR       ;17;37;93;7;86;22;47;30;131;8;104;15;57
ALEX KIRK;IST       ;17;36;157;1;81;15;82;16;148;20;147;9;54
NICOLAS LAPROVITTOLA;BAS       ;17;14;125;31;97;6;62;10;122;2;127;18;37
ANTHONY BENNETT;ULK       ;17;6;49;11;33;0;23;9;59;0;53;3;17
MOUSSA DIAGNE;BAR       ;17;12;53;0;47;18;32;20;59;8;60;7;35
DANILO ANDUSIC;UNK       ;17;15;116;19;58;11;53;8;95;3;104;8;42
XAVIER MUNFORD;BAR       ;17;5;22;3;20;0;12;3;25;2;24;9;22
ITAY SEGEV;TEL       ;17;11;55;0;34;7;32;8;63;6;57;3;18
NIMROD LEVI;TEL       ;17;2;13;4;12;0;11;3;19;0;16;2;8
DIAMON SIMPSON;TEL       ;17;41;125;0;53;15;49;26;109;14;102;4;38
OKBEN ULUBAY;DAR       ;17;0;4;0;2;0;2;0;1;0;2;0;0
LOUIS OLINDE;BAM       ;17;2;7;0;6;0;7;0;7;1;5;0;3
RODIONS KURUCS;BAR       ;17;1;3;1;3;0;0;0;1;0;5;0;0
