PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
STEFAN JOVIC;RED       ;17;104;546;55;250;31;228;39;432;8;462;48;165
DAIRIS BERTANS;DAR       ;17;58;429;66;301;55;289;13;409;8;421;24;151
FURKAN ALDEMIR;DAR       ;17;41;238;0;177;27;131;41;240;34;279;8;87
BRAD WANAMAKER;DAR       ;17;228;1020;142;665;177;560;90;955;17;1019;102;314
OGNJEN KUZMIC;RED       ;17;194;632;0;258;82;233;129;484;81;546;46;198
ADRIEN MOERMAN;DAR       ;17;134;674;119;429;26;312;131;615;37;656;22;198
NEMANJA DANGUBIC;RED       ;17;58;436;53;223;19;169;38;368;9;410;27;152
JAMES ANDERSON;DAR       ;17;134;675;136;467;49;343;95;639;27;705;35;203
CHARLES JENKINS;RED       ;17;148;772;73;361;46;330;47;612;11;688;33;229
LUKA MITROVIC;RED       ;17;82;425;18;192;28;144;42;335;23;376;35;155
LUKE HARANGODY;DAR       ;17;41;320;37;242;10;158;47;281;24;343;6;82
WILL CLYBURN;DAR       ;17;282;826;83;537;124;476;122;787;51;843;49;250
MARCUS SLAUGHTER;DAR       ;17;24;151;0;121;21;99;21;164;13;161;12;67
SCOTTIE WILBEKIN;DAR       ;17;92;684;170;491;69;412;36;658;20;747;55;216
BIRKAN BATUK;DAR       ;17;19;333;54;246;16;206;30;335;23;376;8;104
MILKO BJELICA;RED       ;17;124;394;57;291;78;218;67;362;22;417;27;127
BRANKO LAZIC;RED       ;17;45;626;57;382;21;317;44;535;21;606;14;199
NIKOLA REBIC;RED       ;17;4;15;0;6;0;4;1;11;0;15;1;8
MARKO GUDURIC;RED       ;17;73;456;91;306;71;256;46;424;16;466;54;170
MARKO SIMONOVIC;RED       ;17;119;735;145;435;74;369;85;623;22;695;24;224
DEVIN SMITH;TEL       ;17;120;677;108;393;24;258;119;667;33;618;40;265
MAIK ZIRBES;TEL       ;17;62;210;0;104;41;109;28;222;17;165;21;102
RICKY HICKMAN;MIL       ;17;117;748;109;373;101;350;64;590;13;650;69;288
KRUNOSLAV SIMON;MIL       ;17;93;597;80;292;48;299;60;464;16;508;39;202
ALESSANDRO GENTILE;MIL       ;17;99;341;19;167;41;150;26;288;21;302;27;97
VICTOR RUDD;TEL       ;17;143;746;86;385;64;308;104;701;25;642;54;258
MILAN MACVAN;MIL       ;17;123;637;56;304;39;291;80;516;44;543;31;234
ANDREW GOUDELOCK;TEL       ;17;141;532;107;306;46;225;49;515;4;461;34;210
DAVIDE PASCOLO;MIL       ;17;83;336;18;184;19;175;30;276;31;296;12;102
YOGEV OHAYON;TEL       ;17;73;463;50;247;29;207;41;461;4;414;35;163
MIROSLAV RADULJICA;MIL       ;17;169;489;1;188;67;191;58;363;35;396;55;176
GAL MEKEL;TEL       ;17;64;363;25;206;33;140;47;343;6;324;33;117
SYLVEN LANDESBERG;TEL       ;17;61;332;57;190;38;178;19;318;7;296;14;111
COLTON IVERSON;TEL       ;17;149;591;0;317;77;232;96;563;63;513;40;221
ZORAN DRAGIC;MIL       ;17;76;443;53;224;33;233;29;348;21;392;26;151
GUY PNINI;TEL       ;17;26;349;47;181;15;187;37;324;9;301;13;124
MANTAS KALNIETIS;MIL       ;17;80;495;76;266;30;239;52;443;7;439;43;168
ANDREA CINCIARINI;MIL       ;17;70;436;28;204;40;183;44;327;11;365;26;143
JAMEL MCLEAN;MIL       ;17;141;578;12;339;102;327;79;499;47;524;47;203
D.J. SEELEY;TEL       ;17;68;491;62;268;53;226;37;495;15;427;45;201
JOE ALEXANDER;TEL       ;17;35;170;11;85;9;60;19;159;6;155;14;62
EMIR PRELDZIC;GAL       ;17;42;278;39;169;19;94;32;228;12;259;11;80
NIKITA KURBANOV;CSK       ;17;79;584;47;353;85;396;99;580;33;521;33;244
ANDREY VORONTSEVICH;CSK       ;17;83;610;109;398;25;361;82;608;21;541;16;233
JUSTIN DENTMON;GAL       ;17;30;145;45;116;17;72;8;141;2;136;7;43
NANDO DE COLO;CSK       ;17;223;700;101;366;145;420;77;664;4;573;91;288
SINAN GULER;GAL       ;17;156;832;129;480;39;292;74;783;11;735;69;268
ALEX TYUS;GAL       ;17;185;565;1;313;76;212;105;521;51;496;33;191
AARON JACKSON;CSK       ;17;113;643;65;412;49;364;39;589;10;587;56;253
JAMES AUGUSTINE;CSK       ;17;118;493;3;305;45;280;95;483;58;422;19;192
AUSTIN DAYE;GAL       ;17;93;430;73;278;41;173;65;404;9;384;27;125
KYLE HINES;CSK       ;17;146;622;0;386;121;418;77;623;73;553;48;266
VICTOR KHRYAPA;CSK       ;17;79;410;37;208;28;254;98;375;18;365;26;160
MILOS TEODOSIC;CSK       ;17;108;701;202;450;116;470;56;721;5;621;88;289
DMITRY KULAGIN;CSK       ;17;37;159;30;97;10;109;22;153;4;127;15;64
VITALY FRIDZON;CSK       ;17;70;396;60;243;50;259;29;380;13;333;28;156
VLADIMIR MICOV;GAL       ;17;146;786;125;480;52;264;87;756;17;713;49;257
DEON THOMPSON;GAL       ;17;84;256;0;155;31;150;26;222;20;249;9;89
BLAKE SCHILB;GAL       ;17;132;668;71;384;23;201;76;590;28;588;42;217
RUSS SMITH;GAL       ;17;28;66;12;34;22;38;6;54;2;70;6;22
JON DIEBLER;GAL       ;17;28;511;90;316;21;217;45;479;9;473;21;171
SEMEN ANTONOV;CSK       ;17;18;193;26;129;2;148;27;198;5;161;9;92
TIBOR PLEISS;GAL       ;17;141;437;5;288;51;145;83;430;47;402;23;135
GOKSENIN KOKSAL;GAL       ;17;49;389;36;219;20;146;17;356;18;359;23;117
JEFF AYRES;CSK       ;17;10;39;0;15;16;35;10;35;9;30;1;13
NIKOLA MILUTINOV;OLY       ;17;100;407;1;270;52;212;55;400;62;405;36;129
TREY THOMPKINS;MAD       ;17;54;309;61;246;21;164;48;302;14;304;15;103
GUSTAVO AYON;MAD       ;17;219;664;0;478;66;314;123;652;64;617;57;211
KOSTAS PAPANIKOLAOU;OLY       ;17;111;761;116;507;69;431;121;782;57;758;43;262
VANGELIS MANTZARIS;OLY       ;17;52;769;148;515;23;451;90;813;15;786;43;278
VASSILIS SPANOULIS;OLY       ;17;141;761;162;521;133;440;49;805;8;793;131;294
SERGIO LLULL;MAD       ;17;196;820;220;618;137;415;50;806;10;782;77;263
JEFFERY TAYLOR;MAD       ;17;46;386;51;280;27;215;29;428;25;367;13;137
RUDY FERNANDEZ;MAD       ;17;75;667;133;491;28;368;67;652;24;635;38;224
GEORGIOS PRINTEZIS;OLY       ;17;254;724;66;459;100;405;120;720;43;726;22;268
