PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
A.J. SLAUGHTER;PAN       ;15;63;198;107;307;30;207;40;468;6;435;27;167
AARON JACKSON;CSK       ;15;27;267;45;352;35;267;46;524;17;497;28;179
ADRIEN MOERMAN;LMG       ;15;25;109;38;176;15;88;54;207;15;250;15;89
AKEEM VARGAS;BER       ;15;12;149;33;141;8;140;28;234;2;273;9;128
ALEKS MARIC;TEL       ;15;11;78;0;77;6;51;27;129;11;119;10;44
ALEKSEY ZOZULIN;CSK       ;15;0;14;4;18;2;19;4;30;3;17;0;16
ALESSANDRO GENTILE;MIL       ;15;77;208;62;312;94;279;44;443;18;509;38;131
ALEX ABRINES;BAR       ;15;24;222;84;259;35;209;27;380;8;346;14;113
ALEX KING;BER       ;15;11;209;68;203;13;204;34;360;22;372;18;172
ALEX RENFROE;BER       ;15;41;301;69;278;51;287;75;517;33;523;61;242
ALEX TYUS;TEL       ;15;44;276;0;262;51;221;79;549;51;450;20;171
ANDREI KIRILENKO;CSK       ;15;7;73;13;103;42;116;44;178;13;161;9;71
ANDRES NOCIONI;MAD       ;15;41;218;91;345;49;254;91;445;21;445;25;130
ANDREW GOUDELOCK;ULK       ;15;136;379;154;424;48;373;54;740;10;728;42;238
ANDREY VORONTSEVICH;CSK       ;15;67;310;96;418;37;364;114;697;46;611;27;215
ANGELO GIGLI;MIL       ;15;1;7;0;17;4;14;3;24;3;24;0;4
ANTE DELAS;CED       ;15;5;46;18;60;7;37;4;72;1;99;3;34
ANTE TOMIC;BAR       ;15;85;373;0;354;128;339;145;589;55;550;43;181
ANTON ASTAPKOVICH;CSK       ;15;0;3;5;14;0;4;2;13;0;8;1;6
ANTON GAVEL;MUN       ;15;14;99;16;116;20;111;12;163;3;180;2;57
ANTONIOS KONIARIS;PAN       ;15;0;2;0;1;0;0;1;2;0;3;0;0
ANTONIS FOTSIS;PAN       ;15;11;209;85;377;30;255;78;535;34;520;15;218
ANTREAS CHRISTODOULOU;OLY       ;15;0;0;0;0;0;0;0;0;0;1;0;0
ARAD HARARI;TEL       ;15;0;0;0;1;0;0;0;1;0;1;0;0
ARNAS BUTKEVICIUS;KLA       ;15;12;90;17;117;27;109;21;174;7;175;14;65
ARTSIOM PARAKHOUSKI;NOV       ;15;48;274;2;244;81;177;99;462;38;413;28;148
ARTURAS GUDAITIS;ZAL       ;15;18;160;4;118;68;167;43;258;37;251;15;109
ARTURAS MILAKNIS;ZAL       ;15;27;300;130;337;27;271;35;564;8;528;24;224
BEN AVI ALBERT ALTIT;TEL       ;15;0;0;0;0;0;0;0;0;0;0;0;0
BEN HANSBROUGH;BAS       ;15;3;64;22;103;2;85;12;134;5;142;7;50
BERK UGURLU;ULK       ;15;0;5;1;5;1;9;0;14;0;11;2;7
BIRKAN BATUK;IST       ;15;5;43;16;59;4;43;5;70;2;91;1;23
BO McCALEBB;MUN       ;15;17;59;14;68;12;44;4;94;8;112;10;31
BOBAN MARJANOVIC;RED       ;15;71;257;0;323;128;306;173;625;83;612;33;232
BOGDAN BOGDANOVIC;ULK       ;15;57;333;137;397;59;396;72;728;13;674;43;231
BOJAN DUBLJEVIC;PAM       ;15;25;92;28;105;24;78;23;153;10;159;8;56
BOSTJAN NACHBAR;BAR       ;15;24;141;53;193;13;148;46;285;5;232;8;80
BRAD OLESON;BAR       ;15;24;186;64;232;18;197;23;336;6;316;20;99
BRANKO LAZIC;RED       ;15;14;144;29;161;16;176;16;315;13;305;13;114
BRENT PETWAY;OLY       ;15;9;126;72;262;23;186;67;385;20;371;13;126
BRIAN RANDLE;TEL       ;15;70;396;25;338;58;296;91;709;48;610;35;229
BRIAN SACCHETTI;SAS       ;15;1;47;15;77;2;61;13;86;8;103;4;34
BRUNO CERELLA;MIL       ;15;7;70;8;107;5;104;16;140;7;191;6;34
BRYANT DUNSTON;OLY       ;15;24;195;1;331;89;295;78;509;51;510;25;160
BRYCE TAYLOR;MUN       ;15;3;23;4;27;6;24;4;30;2;40;0;12
CALEB GREEN;MAL       ;15;23;159;58;244;53;200;54;329;30;378;25;137
