PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
BRAYDON HOBBS;MUN       ;19;6;129;41;122;8;91;14;136;2;123;16;56
LEON RADOSEVIC;MUN       ;19;105;405;1;252;24;151;36;357;23;352;28;136
DOGUS BALBAY;IST       ;19;35;332;23;222;1;181;33;327;19;275;14;117
TIBOR PLEISS;IST       ;19;170;483;30;313;41;184;95;442;40;397;31;156
BROCK MOTUM;IST       ;19;98;321;47;204;30;112;31;306;18;272;12;107
NIHAD DEDOVIC;MUN       ;19;134;655;97;358;61;283;55;541;19;545;34;189
ALEX KING;MUN       ;19;1;31;9;33;3;24;1;27;5;40;1;13
BUGRAHAN TUNCER;IST       ;19;6;60;13;38;0;19;6;44;1;55;5;12
METECAN BIRSEN;IST       ;19;7;33;3;21;0;11;3;34;1;27;1;10
MUHAMMED BAYGUL;DAR       ;19;58;318;29;151;28;103;28;248;15;273;27;113
JAKE COHEN;TEL       ;19;40;212;20;139;14;95;18;196;10;188;9;67
DERRICK WILLIAMS;MUN       ;19;168;650;108;446;125;382;85;594;36;571;43;214
ANTANAS KAVALIAUSKAS;ZAL       ;19;68;241;0;101;26;95;36;200;13;186;17;77
DONATAS SABECKIS;ZAL       ;19;0;1;0;0;0;3;0;2;0;1;0;0
ANDREY ZUBKOV;KHI       ;19;58;335;30;272;22;138;42;304;13;338;16;124
ALI MUHAMMED;ULK       ;19;80;487;128;361;30;185;44;418;11;412;35;179
GEORGIOS BOGRIS;OLY       ;19;32;112;0;74;5;36;8;82;10;104;9;32
MIGUEL GONZALEZ;BAS       ;19;0;5;1;2;0;3;0;5;0;5;1;3
JOHNNY O'BRYANT;TEL       ;19;182;679;121;444;56;274;145;574;30;632;60;207
NIMROD LEVI;TEL       ;19;1;11;1;7;0;6;1;10;0;10;0;2
SUAD SEHOVIC;BUD       ;19;4;309;55;171;5;120;34;235;7;268;2;76
GEORGIOS PAPAGIANNIS;PAN       ;19;72;356;0;154;9;106;47;298;27;270;20;88
LUKE FISCHER;CAN       ;19;30;98;0;61;21;71;13;81;13;103;5;42
GUSTAVO AYON;MAD       ;19;154;490;0;384;55;248;137;517;36;455;36;162
AJDIN PENAVA;BAS       ;19;1;14;4;10;2;4;3;13;1;15;0;4
KENDRICK RAY;TEL       ;19;40;183;24;101;21;84;13;155;1;152;15;60
VYACHESLAV ZAYTSEV;KHI       ;19;18;77;3;70;12;42;3;79;5;85;4;31
ANDREA CINCIARINI;MIL       ;19;24;149;12;98;8;92;14;123;5;141;13;47
ALEKSA ILIC;BUD       ;19;13;57;0;13;1;14;8;40;5;42;1;19
IAN VOUGIOUKAS;PAN       ;19;56;237;1;105;24;107;24;177;15;195;8;48
DERRICK WALTON JR;ZAL       ;19;36;199;23;87;36;138;19;192;1;160;25;76
MIKHAIL KULAGIN;CSK       ;19;5;46;12;32;2;25;0;48;0;44;5;15
ERICK GREEN;ULK       ;19;57;263;44;198;13;115;20;237;2;212;6;87
ADAM HANGA;BAR       ;19;123;581;71;295;51;231;88;459;20;482;22;169
RAMON SESSIONS;TEL       ;19;14;45;6;26;6;19;4;25;3;52;3;8
SIMONE FONTECCHIO;MIL       ;19;0;5;2;2;0;1;0;4;0;2;0;1
ROBIN AMAIZE;MUN       ;19;4;52;7;42;2;46;2;46;1;52;3;22
NIKOLA RADICEVIC;CAN       ;19;36;236;23;149;20;87;18;187;4;206;25;84
TREY THOMPKINS;MAD       ;19;70;315;68;260;24;180;66;364;9;325;18;105
JOEL BOLOMBOY;CSK       ;19;38;243;13;127;20;164;26;223;26;197;6;74
SERTAC SANLI;IST       ;19;8;29;1;17;5;14;2;31;2;25;1;7
DENI AVDIJA;TEL       ;19;17;55;10;36;2;24;8;45;4;59;1;15
GARLON GREEN;KHI       ;19;31;137;19;92;8;68;10;111;3;122;8;49
TIMOFEY YAKUSHIN;KHI       ;19;0;0;0;0;0;0;0;1;0;0;0;0
EGEHAN ARNA;ULK       ;19;1;7;1;3;0;8;0;8;0;4;1;4
ERGI TIRPANCI;ULK       ;19;1;1;0;2;0;0;0;1;0;2;0;0
TONEY DOUGLAS;DAR       ;19;139;571;112;300;53;198;47;453;19;509;46;192
SEAD SEHOVIC;BUD       ;19;10;60;3;33;0;17;4;42;6;51;5;23
MARVIN OGUNSIPE;MUN       ;19;8;53;3;33;2;25;5;33;2;41;4;20
SIIM-SANDER VENE;CAN       ;19;36;226;54;193;19;120;16;176;6;244;6;87
ROKAS JOKUBAITIS;ZAL       ;19;17;72;5;22;10;28;4;56;2;53;12;30
NORRIS COLE;BUD       ;19;153;443;50;183;35;164;33;302;7;358;47;126
GOGA BITADZE;BUD       ;19;77;330;16;164;70;152;50;273;33;279;18;91
JAMES BELL;BUD       ;19;21;322;51;172;8;128;28;241;7;293;15;99
ERIKAS VENSKUS;ZAL       ;19;4;14;0;7;0;5;1;13;1;13;1;3
JOSH MAGETTE;CAN       ;19;15;100;15;74;4;42;4;79;1;105;10;26
LUKAS ULECKAS;ZAL       ;19;3;19;4;16;0;14;3;21;0;21;3;13
DEON THOMPSON;ZAL       ;19;57;211;1;110;21;106;32;193;20;167;12;91
ALEKSANDER BALCEROWSKI;CAN       ;19;6;75;10;39;0;16;8;59;2;63;1;25
SEAN KILPATRICK;PAN       ;19;77;391;48;148;15;113;22;298;3;289;11;100
JEREMY PARGO;TEL       ;19;43;209;37;126;24;106;17;188;2;209;19;62
ADREIAN PAYNE;PAN       ;19;8;36;0;8;6;12;8;31;4;23;4;10
JALEN JONES;BAS       ;19;29;143;18;81;17;76;13;104;12;124;8;33
MERT AKAY;DAR       ;19;9;78;8;39;9;50;5;65;3;60;8;30
JAMES NUNNALLY;MIL       ;19;57;268;38;151;36;150;23;250;6;226;11;77
TARIK BIBEROVIC;ULK       ;19;10;26;6;30;6;13;10;35;2;27;3;11
JOVAN KLJAJIC;CAN       ;19;1;2;1;2;0;2;0;0;0;1;0;0
ANDREI LOPATIN;CSK       ;19;0;5;0;2;0;2;1;4;0;1;0;1
ALEXANDER KHOMENKO;CSK       ;19;1;2;1;1;0;2;0;1;0;0;0;0
BRIANTE WEBER;OLY       ;19;57;213;13;74;17;97;30;164;7;152;22;73
