PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
MATT LOJESKI;PAN       ;18;60;466;66;311;10;239;50;402;14;433;17;139
ADAM HANGA;BAR       ;18;109;633;72;395;53;262;68;576;29;556;34;197
CHRIS SINGLETON;PAN       ;18;104;923;128;646;123;487;163;841;33;876;55;287
KEVIN SERAPHIN;BAR       ;18;125;308;1;159;55;125;48;283;25;258;28;95
THANASIS ANTETOKOUNMPO;PAN       ;18;75;359;14;210;36;168;46;320;26;307;14;108
NICK CALATHES;PAN       ;18;262;860;116;556;99;415;99;708;20;787;70;245
THOMAS HEURTEL;BAR       ;18;168;719;92;404;59;275;60;635;13;582;69;200
JAMES GIST;PAN       ;18;192;805;48;532;89;390;85;683;66;746;38;236
ADRIEN MOERMAN;BAR       ;18;99;639;105;408;19;254;125;618;39;561;27;209
PAU RIBAS;BAR       ;18;38;456;90;332;17;190;38;420;6;406;39;160
PHIL PRESSEY;BAR       ;18;39;216;35;137;15;85;29;229;0;191;18;70
SASHA VEZENKOV;BAR       ;18;17;135;18;108;13;63;22;139;11;129;2;47
PETTERI KOPONEN;BAR       ;18;79;561;92;337;16;207;40;550;5;469;25;197
MARCUS DENMON;PAN       ;18;46;328;84;254;18;151;14;288;9;326;16;105
LUKAS LEKAVICIUS;PAN       ;18;56;308;35;248;19;186;22;364;8;328;29;118
ZACH AUGUSTE;PAN       ;18;16;63;0;46;9;34;10;74;9;65;9;34
PIERRE ORIOLA;BAR       ;18;112;503;32;308;63;198;58;447;36;441;18;147
KENNY GABRIEL;PAN       ;18;28;332;66;258;12;144;54;298;26;343;10;106
NIKOS PAPPAS;PAN       ;18;122;484;86;340;76;292;28;454;7;485;39;181
IAN VOUGIOUKAS;PAN       ;18;65;228;0;155;51;155;34;239;20;221;23;83
ANTE TOMIC;BAR       ;18;177;502;1;318;86;194;88;471;48;407;32;161
MARC GARCIA;BAR       ;18;0;2;1;1;2;2;1;2;0;0;0;1
ALEXEY SHVED;KHI       ;18;263;929;324;790;189;500;81;939;8;982;106;323
ERICK GREEN;PAM       ;18;180;630;103;370;120;313;39;554;8;540;29;198
TIBOR PLEISS;PAM       ;18;199;509;10;314;64;192;106;470;46;431;36;171
CHARLES JENKINS;KHI       ;18;61;622;82;497;26;301;42;594;15;638;24;212
ANTHONY GILL;KHI       ;18;159;703;69;588;101;367;96;705;49;732;42;236
GUILLEM VIVES;PAM       ;18;12;239;50;166;4;119;21;233;7;218;17;81
MALCOLM THOMAS;KHI       ;18;145;597;41;537;59;289;94;612;74;643;27;205
JOAN SASTRE;PAM       ;18;38;333;39;227;15;170;26;306;15;317;25;108
AARON DOORNEKAMP;PAM       ;18;57;573;100;400;46;299;90;565;25;522;18;176
JAMES ANDERSON;KHI       ;18;112;592;119;453;40;260;70;581;17;572;27;200
BOJAN DUBLJEVIC;PAM       ;18;127;383;62;315;70;225;82;361;37;387;33;136
STEFAN MARKOVIC;KHI       ;18;70;677;94;532;44;360;64;671;13;671;49;228
SERGEY MONIA;KHI       ;18;25;300;61;283;7;182;30;340;16;318;16;121
WILL THOMAS;PAM       ;18;94;587;52;448;43;303;70;542;37;568;15;197
SAM VAN ROSSOM;PAM       ;18;46;431;81;343;28;203;36;433;11;414;44;148
ALBERTO ABALDE;PAM       ;18;89;418;54;282;23;205;40;381;12;358;32;136
EGOR VIALTSEV;KHI       ;18;22;285;62;231;22;176;21;314;5;296;18;123
THOMAS ROBINSON;KHI       ;18;141;313;1;179;60;167;67;288;49;300;21;102
RAFA MARTINEZ;PAM       ;18;47;339;77;297;54;211;26;350;11;329;24;140
VYACHESLAV ZAYTSEV;KHI       ;18;8;85;10;67;4;48;8;87;2;80;6;35
ANDREY ZUBKOV;KHI       ;18;26;155;18;85;11;65;22;141;6;140;8;62
TAYLOR ROCHESTIE;RED       ;18;185;775;123;488;55;312;55;582;13;713;54;204
PAULIUS JANKUNAS;ZAL       ;18;233;821;24;309;108;294;123;643;47;571;42;246
KEVIN PANGOS;ZAL       ;18;186;1033;158;419;65;464;82;806;16;743;92;321
BRANDON DAVIES;ZAL       ;18;208;618;0;243;112;308;74;512;53;459;48;203
EDGARAS ULANOVAS;ZAL       ;18;137;949;46;374;75;501;98;829;46;686;40;311
MATHIAS LESSORT;RED       ;18;181;674;1;334;87;255;84;468;86;589;52;180
BRANKO LAZIC;RED       ;18;47;580;58;376;18;253;36;452;24;549;13;163
MILKO BJELICA;RED       ;18;146;715;91;461;75;361;72;571;34;679;21;197
AXEL TOUPANE;ZAL       ;18;115;533;40;191;90;304;54;461;18;388;33;168
OGNJEN DOBRIC;RED       ;18;58;364;77;276;23;203;32;298;27;371;11;109
PERO ANTIC;RED       ;18;28;269;73;260;35;180;45;235;16;308;12;69
ANTANAS KAVALIAUSKAS;ZAL       ;18;125;471;1;188;58;228;54;413;36;339;29;171
VASILIJE MICIC;ZAL       ;18;165;815;62;317;82;431;65;651;14;579;82;276
AARON WHITE;ZAL       ;18;171;821;52;332;83;455;120;694;38;594;34;268
JAMES FELDEINE;RED       ;18;175;695;119;444;74;315;36;523;10;666;39;178
PAULIUS VALINSKAS;ZAL       ;18;33;198;29;106;20;118;25;203;5;149;14;79
NIKOLA RADICEVIC;RED       ;18;26;95;12;62;22;69;9;87;1;118;9;37
STEFAN JANKOVIC;RED       ;18;71;338;37;200;19;143;42;241;28;313;13;92
ARTURAS MILAKNIS;ZAL       ;18;39;801;167;358;23;413;59;666;12;598;28;261
STEFAN LAZAREVIC;RED       ;18;2;12;0;6;1;8;1;7;1;12;1;3
GYTIS MASIULIS;ZAL       ;18;6;31;1;17;4;36;8;34;1;28;2;21
MARTYNAS ARLAUSKAS;ZAL       ;18;1;11;1;9;5;9;1;15;1;8;0;4
NIKOLA JOVANOVIC;RED       ;18;43;134;3;85;18;53;23;100;21;132;4;30
MARKO KESELJ;RED       ;18;1;33;5;18;0;32;5;29;1;37;3;16
JUAN CARLOS NAVARRO;BAR       ;18;50;314;84;233;36;146;18;305;6;297;23;108
RODRIGUE BEAUBOIS;BAS       ;18;180;680;135;413;47;294;65;578;15;562;39;216
ALEKSEJ NIKOLIC;BAM       ;18;32;336;31;172;16;181;22;275;3;284;21;89
KC RIVERS;PAN       ;18;82;629;148;463;32;350;63;613;22;631;22;208
LOUIS OLINDE;BAM       ;18;12;89;8;56;15;78;17;98;4;81;9;42
RUDY FERNANDEZ;MAD       ;18;49;519;124;406;58;361;55;526;21;510;25;172
VITALY FRIDZON;CSK       ;18;44;240;34;131;17;127;12;197;9;186;12;73
BRIAN ROBERTS;OLY       ;18;86;531;74;297;57;331;47;491;7;465;35;188
DANIEL DIEZ;MAL       ;18;43;331;35;173;10;140;34;250;14;282;8;84
JUSTIN DOELLMAN;IST       ;18;9;44;7;17;2;18;9;35;1;36;3;16
TRYGGVI HLINASON;PAM       ;18;22;90;0;55;12;44;12;79;9;90;3;19
DEJAN DAVIDOVAC;RED       ;18;45;373;47;207;44;202;33;282;15;331;20;108
MARKO TODOROVIC;KHI       ;18;57;223;0;180;14;116;36;224;21;203;20;87
YOVEL ZOOSMAN;TEL       ;18;9;149;11;50;3;46;8;94;3;119;5;34
DINO RADONCIC;MAD       ;18;3;42;6;26;0;23;3;38;0;30;2;9
SANTI YUSTA;MAD       ;18;20;100;11;71;7;30;9;83;6;83;7;37
PATRICIO GARINO;BAS       ;18;55;337;22;200;31;161;31;288;8;283;22;104
JOSEP PUERTO;PAM       ;18;7;30;1;22;4;18;3;33;1;27;0;5
VICTOR KHRYAPA;CSK       ;18;12;107;9;40;4;51;19;77;3;71;8;37
ONURALP BITIM;IST       ;18;3;26;2;15;2;20;3;21;1;18;5;18
AWUDU ABASS;MIL       ;18;7;43;8;36;3;37;6;28;5;50;2;11
ANDREA CINCIARINI;MIL       ;18;57;321;19;183;30;172;46;257;11;278;21;84
DORELL WRIGHT;BAM       ;18;124;644;128;386;55;313;123;575;24;567;27;219
JORDAN MCRAE;BAS       ;18;11;47;6;27;7;19;2;41;1;45;1;10
MO SOLUADE;MAL       ;18;12;111;18;61;0;44;7;87;1;103;12;43
VINY OKOUO;MAL       ;18;19;88;0;69;20;49;14;80;7;99;5;30
NEMANJA DANGUBIC;RED       ;18;51;364;47;211;25;183;45;279;16;331;18;87
DRAGAN APIC;RED       ;18;2;13;0;9;1;7;0;15;0;13;2;9
FERNANDO SAN EMETERIO;PAM       ;18;79;382;72;284;29;167;50;352;6;379;32;132
DAMJAN RUDEZ;PAM       ;18;13;98;21;83;1;50;9;102;2;92;8;41
ITAY SEGEV;TEL       ;18;17;94;1;42;13;43;10;59;7;93;4;20
BIRKAN BATUK;IST       ;18;5;264;28;109;6;95;14;175;6;217;1;63
RINALDS MALMANIS;BAS       ;18;14;131;8;81;8;58;15;114;6;109;2;37
RAKIM SANDERS;BAR       ;18;78;320;48;170;14;116;35;256;11;259;12;76
VICTOR CLAVER;BAR       ;18;48;371;45;230;10;146;50;338;20;302;11;104
MIKHAIL KULAGIN;CSK       ;18;7;39;14;32;2;22;2;45;0;30;2;9
DEE BOST;ZAL       ;18;7;46;5;21;4;26;6;46;0;42;3;17
DAVIDE PASCOLO;MIL       ;18;35;129;7;69;7;76;15;104;9;116;3;27
TREY THOMPKINS;MAD       ;18;105;545;100;413;42;307;123;560;25;537;24;184
WALTER TAVARES;MAD       ;18;110;440;0;323;61;231;90;473;64;425;22;152
MARTYNAS SAJUS;ZAL       ;18;4;25;0;18;2;15;1;30;1;18;3;11
KYLE WILTJER;OLY       ;18;34;193;50;148;12;124;26;194;8;207;6;77
CURTIS JERRELLS;MIL       ;18;76;436;106;301;35;253;37;414;7;401;28;128
MIGUEL GONZALEZ;BAS       ;18;0;7;1;4;0;0;0;4;0;2;1;3
ZORAN DRAGIC;IST       ;18;63;408;56;212;34;189;19;315;10;350;20;107
ALI MUHAMMED;ULK       ;18;33;192;78;159;8;104;18;206;5;199;8;64
KEVIN JONES;BAS       ;18;21;143;20;115;4;33;19;122;8;139;1;48
TYLER HONEYCUTT;KHI       ;18;63;280;53;244;23;175;76;323;16;302;26;112
PAVEL KOROBKOV;CSK       ;18;5;35;0;12;1;20;1;24;0;20;1;12
WILLIAM MCDOWELL-WHITE;BAM       ;18;0;2;1;2;0;2;0;2;0;3;0;0
DMITRY SOKOLOV;KHI       ;18;1;4;0;4;2;4;0;6;1;8;1;4
DERRICK BROWN;IST       ;18;106;405;29;195;20;151;28;295;15;341;16;102
VASSILIS SPANOULIS;OLY       ;18;135;561;130;358;104;389;32;542;5;530;83;187
BERK DEMIR;IST       ;18;3;29;0;15;0;21;8;22;1;17;1;12
NIKOLA KALINIC;ULK       ;18;48;266;35;189;15;177;21;271;9;248;22;105
DYLAN ENNIS;RED       ;18;56;240;45;142;31;122;29;197;3;224;23;72
GEORGIOS KALAITZAKIS;PAN       ;18;0;0;0;0;0;0;0;0;0;0;0;0
KONSTANTINOS MITOGLOU;PAN       ;18;2;13;2;7;6;15;1;12;2;16;0;7
KARAM MASHOUR;TEL       ;18;9;46;4;21;2;29;8;43;4;43;0;11
MUHAYMIN MUSTAFA;IST       ;18;6;55;4;20;0;20;1;38;0;38;4;14
BENO UDRIH;ZAL       ;18;48;217;8;68;10;103;22;162;4;158;16;58
MINDAUGAS KUZMINSKAS;MIL       ;18;78;285;37;185;39;141;18;253;15;251;13;83
TONEY DOUGLAS;IST       ;18;50;249;36;131;27;111;21;184;8;213;19;70
SERGI GARCIA;PAM       ;18;14;92;16;70;3;44;4;87;5;85;8;33
ALEN OMIC;RED       ;18;54;181;0;111;31;97;25;169;18;164;11;61
EDWIN JACKSON;BAR       ;18;24;118;11;82;4;36;11;117;6;98;8;46
RODIONS KURUCS;BAR       ;18;2;21;0;8;0;9;3;13;0;21;1;3
YIGITCAN SAYBIR;IST       ;18;3;8;2;5;0;7;1;8;0;8;1;6
IGNACIO ROSA;MAL       ;18;0;0;0;0;0;2;0;1;0;0;0;0
ALEXANDER GANKEVICH;CSK       ;18;0;0;0;0;0;0;0;0;0;0;0;1
ALAN MAKIEV;CSK       ;18;0;1;0;1;0;0;0;1;0;1;0;0
EDDY EDIGIN;BAM       ;18;0;1;0;1;0;0;0;1;0;0;0;0
VICTOR RUDD;CSK       ;18;12;125;14;80;9;63;13;107;2;103;6;42
EGEHAN ARNA;ULK       ;18;2;4;0;1;0;0;0;4;0;1;0;1
BARIS HERSEK;ULK       ;18;0;3;0;1;0;0;0;3;0;1;0;1
MIKE JAMES;PAN       ;18;95;299;62;199;41;141;29;242;4;273;16;81
ADREIAN PAYNE;PAN       ;18;38;118;5;75;24;58;17;102;17;113;12;32
SONNY WEEMS;IST       ;18;62;202;22;95;13;64;16;144;5;176;13;45
KIM TILLIE;OLY       ;18;13;122;14;97;7;79;17;137;7;127;10;70
BOBBY BROWN;OLY       ;18;11;69;20;68;11;43;2;61;3;87;4;31
LATAVIOUS WILLIAMS;PAM       ;18;8;26;1;19;1;22;3;32;2;18;2;9
IVAN MARTINEZ;BAS       ;18;1;7;2;2;0;4;0;1;0;5;0;3
ATOUMANE DIAGNE;BAR       ;18;0;7;0;5;0;2;1;11;0;3;1;4
SERGIO LLULL;MAD       ;18;12;58;24;56;10;62;2;67;0;69;4;17
