PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
BROCK MOTUM;IST       ;18;131;621;73;305;30;235;57;432;29;532;23;144
BRYANT DUNSTON;IST       ;18;177;865;6;450;99;398;101;654;62;729;31;235
FELIPE REYES;MAD       ;18;163;508;7;324;116;337;91;461;60;450;41;153
FABIEN CAUSEUR;MAD       ;18;102;599;68;392;52;315;44;584;14;529;36;194
GUSTAVO AYON;MAD       ;18;123;386;0;242;43;241;70;366;35;329;25;117
FACUNDO CAMPAZZO;MAD       ;18;93;637;109;436;42;311;65;621;7;573;59;201
ERRICK MCCOLLUM;IST       ;18;210;836;130;403;102;361;55;611;14;695;59;208
RICKY LEDO;IST       ;18;74;308;53;137;18;151;38;197;10;268;19;84
EDO MURIC;IST       ;18;13;124;11;62;1;57;13;94;3;99;6;30
JEFFERY TAYLOR;MAD       ;18;89;629;71;431;60;420;38;633;28;607;24;197
KRUNOSLAV SIMON;IST       ;18;104;755;112;410;44;292;81;554;20;651;45;202
ANTHONY RANDOLPH;MAD       ;18;99;378;45;235;35;191;50;353;28;331;18;102
LUKA DONCIC;MAD       ;18;173;751;173;549;196;527;133;777;27;704;76;246
JOSH ADAMS;IST       ;18;37;289;39;136;30;101;20;200;5;241;18;78
VLADIMIR STIMAC;IST       ;18;190;619;2;268;85;215;98;420;76;513;28;157
OGNJEN KUZMIC;MAD       ;18;3;10;0;7;0;2;3;12;1;8;1;2
JAYCEE CARROLL;MAD       ;18;116;535;118;381;47;332;23;511;8;489;20;155
DOGUS BALBAY;IST       ;18;40;323;10;125;8;99;20;216;16;258;7;64
JONAS MACIULIS;MAD       ;18;18;230;43;196;8;152;31;245;9;231;8;77
CHASSON RANDLE;MAD       ;18;30;173;20;107;8;83;9;155;2;145;7;45
LEON RADOSEVIC;BAM       ;18;148;502;1;332;55;245;63;480;31;461;32;166
RICKY HICKMAN;BAM       ;18;119;612;141;380;99;309;56;538;9;552;56;206
ARTSIOM PARAKHOUSKI;TEL       ;18;149;546;0;228;59;207;59;438;57;423;23;152
JONAH BOLDEN;TEL       ;18;86;683;72;295;43;276;125;545;34;556;30;195
LUKA MITROVIC;BAM       ;18;47;232;8;99;15;101;33;171;17;182;16;66
MICHAEL ROLL;TEL       ;18;129;888;76;370;45;292;51;679;8;691;26;211
DANIEL HACKETT;BAM       ;18;98;574;65;348;78;315;65;499;4;497;36;165
PIERRE JACKSON;TEL       ;18;177;855;147;368;116;375;73;665;12;696;77;210
DEANDRE KANE;TEL       ;18;134;822;38;313;66;339;77;631;43;627;37;209
BRYCE TAYLOR;BAM       ;18;25;225;30;131;6;100;16;176;5;204;0;61
DESHAUN THOMAS;TEL       ;18;198;839;87;302;45;328;67;599;27;640;26;167
ALEX TYUS;TEL       ;18;181;708;0;263;57;300;84;541;65;548;19;151
AUGUSTINE RUBIT;BAM       ;18;182;619;19;326;107;311;76;499;66;530;35;200
NIKOS ZISIS;BAM       ;18;94;559;39;309;44;258;51;482;6;500;43;214
JAKE COHEN;TEL       ;18;23;165;8;67;9;74;20;132;10;144;4;44
PATRICK HECKMANN;BAM       ;18;20;138;6;69;7;102;13;122;6;111;9;56
NORRIS COLE;TEL       ;18;247;820;69;311;82;322;66;611;3;642;59;199
MAODO LO;BAM       ;18;93;457;87;275;14;245;37;425;4;410;33;147
JOHN DIBARTOLOMEO;TEL       ;18;40;382;49;182;26;199;34;330;10;330;12;98
LUCCA STAIGER;BAM       ;18;6;238;80;191;7;133;12;246;2;221;1;82
KYLE HINES;CSK       ;18;166;660;1;378;75;313;74;576;61;524;13;180
NANDO DE COLO;CSK       ;18;216;856;118;448;119;383;62;688;10;639;74;240
VLADIMIR MICOV;MIL       ;18;133;767;106;448;49;376;70;633;5;677;42;203
KALEB TARCZEWSKI;MIL       ;18;101;540;0;351;95;288;110;453;63;481;33;162
JORDAN THEODORE;MIL       ;18;165;580;68;337;52;292;36;464;11;497;42;154
ANDREW GOUDELOCK;MIL       ;18;150;610;128;385;54;320;50;532;11;538;29;173
NIKITA KURBANOV;CSK       ;18;83;699;54;370;51;326;82;562;33;556;29;196
ANDREY VORONTSEVICH;CSK       ;18;48;448;68;250;14;234;56;374;15;354;12;133
WILL CLYBURN;CSK       ;18;246;955;83;503;143;532;157;792;54;771;58;276
LEO WESTERMANN;CSK       ;18;29;234;40;116;16;126;16;174;4;186;14;67
AMATH M'BAYE;MIL       ;18;68;473;66;299;43;269;47;405;14;425;21;148
SERGIO RODRIGUEZ;CSK       ;18;138;951;210;533;68;484;62;778;11;778;77;262
CORY HIGGINS;CSK       ;18;253;904;88;453;124;507;72;757;13;710;51;254
SEMEN ANTONOV;CSK       ;18;56;464;50;277;22;208;44;397;26;366;10;135
MANTAS KALNIETIS;MIL       ;18;45;304;34;182;21;174;34;262;2;261;27;87
OTHELLO HUNTER;CSK       ;18;154;627;2;301;74;299;84;481;81;500;23;173
ARTURAS GUDAITIS;MIL       ;18;146;568;0;335;144;309;113;492;70;507;19;149
SIMONE FONTECCHIO;MIL       ;18;0;2;0;1;0;4;0;0;0;1;0;0
DAIRIS BERTANS;MIL       ;18;46;449;110;319;28;285;19;416;9;443;13;135
CORY JEFFERSON;MIL       ;18;25;142;16;79;12;68;12;119;5;127;4;42
MARCO CUSIN;MIL       ;18;2;21;0;15;4;16;4;23;1;22;4;9
MATT JANNING;BAS       ;18;72;690;160;464;21;296;54;639;4;587;24;240
NIKOLA MILUTINOV;OLY       ;18;147;603;0;347;82;288;99;559;67;509;31;198
ILIMANE DIOP;BAS       ;18;47;213;7;139;36;120;24;182;17;200;11;77
JANIS STRELNIEKS;OLY       ;18;82;573;102;404;61;389;41;566;2;579;29;222
GEORGIOS PRINTEZIS;OLY       ;18;210;691;67;346;81;414;115;631;39;584;36;201
TORNIKE SHENGELIA;BAS       ;18;251;806;46;473;144;366;147;723;53;645;51;270
JANIS TIMMA;BAS       ;18;49;701;131;444;30;304;50;621;29;579;38;244
VANGELIS MANTZARIS;OLY       ;18;30;540;91;367;41;335;54;542;12;514;25;189
IOANNIS PAPAPETROU;OLY       ;18;117;621;84;386;33;362;83;607;29;591;21;208
JAYSON GRANGER;BAS       ;18;125;647;116;418;38;228;53;573;6;537;63;207
JOHANNES VOIGTMANN;BAS       ;18;133;629;52;440;54;303;112;576;38;546;36;231
MARCELINHO HUERTAS;BAS       ;18;96;456;44;262;38;211;23;403;7;387;43;151
HOLLIS THOMPSON;OLY       ;18;90;365;49;236;43;215;50;398;26;354;18;140
KOSTAS PAPANIKOLAOU;OLY       ;18;80;622;67;355;89;403;92;583;29;538;42;203
VINCENT POIRIER;BAS       ;18;192;615;0;337;80;235;112;526;66;484;33;187
DIMITRIOS AGRAVANIS;OLY       ;18;13;74;15;58;10;46;19;74;4;77;4;32
VASSILIS TOLIOPOULOS;OLY       ;18;4;39;13;40;2;29;3;47;0;51;1;10
JAMEL MCLEAN;OLY       ;18;165;482;4;308;137;393;91;479;60;481;46;183
LUCA VILDOZA;BAS       ;18;32;282;51;186;23;167;25;248;5;247;36;112
CARLOS DELFINO;BAS       ;18;0;4;1;5;0;6;2;11;0;8;1;5
GEORGIOS BOGRIS;OLY       ;18;18;89;0;85;8;50;19;114;11;116;7;31
ADAM WACZYNSKI;MAL       ;18;89;476;103;310;35;233;37;389;25;423;26;163
NEMANJA NEDOVIC;MAL       ;18;161;615;151;379;97;278;37;483;10;538;53;154
GIORGI SHERMADINI;MAL       ;18;100;313;1;183;75;144;50;250;30;308;30;123
JAMES NUNNALLY;ULK       ;18;91;557;83;297;39;293;46;500;13;432;32;173
LUIGI DATOME;ULK       ;18;130;790;117;414;49;364;94;656;23;607;34;255
JASON THOMPSON;ULK       ;18;137;525;0;273;55;235;101;455;39;416;34;178
CARLOS SUAREZ;MAL       ;18;59;529;54;338;65;313;71;460;34;485;29;171
BRAD WANAMAKER;ULK       ;18;192;925;120;432;131;484;76;767;21;693;53;282
JAN VESELY;ULK       ;18;261;882;0;442;150;410;89;735;85;669;51;259
RAY MCCALLUM;MAL       ;18;193;728;63;344;67;287;51;526;18;593;44;179
KOSTAS SLOUKAS;ULK       ;18;158;805;113;447;83;424;69;683;18;623;71;246
JEFF BROOKS;MAL       ;18;137;637;43;344;41;244;64;467;48;548;24;159
NICOLO MELLI;ULK       ;18;140;882;79;485;82;459;124;753;55;727;38;265
ALBERTO DIAZ;MAL       ;18;37;486;75;361;18;262;35;455;12;480;26;179
JAMES AUGUSTINE;MAL       ;18;183;712;7;411;39;271;107;566;87;588;16;165
DRAGAN MILOSAVLJEVIC;MAL       ;18;97;485;54;269;39;240;45;425;25;432;29;166
SASU SALIN;MAL       ;18;46;443;105;260;18;174;37;370;11;409;28;128
AHMET DUVERIOGLU;ULK       ;18;55;215;0;122;26;98;29;203;19;165;8;72
MARKO GUDURIC;ULK       ;18;78;529;83;325;32;244;40;498;16;416;38;177
DEJAN MUSLI;MAL       ;18;134;368;0;186;73;201;79;337;37;304;29;148
SINAN GULER;ULK       ;18;11;70;10;33;2;24;6;56;3;58;9;24
MELIH MAHMUTOGLU;ULK       ;18;19;130;21;75;3;59;9;115;1;105;3;38
