player;height;position;year_born;nationality
DAVID CHIOTTI;2.05;Forward;1984;United States of America
ALBERTO CHIUMENTI;2.01;;1987;Italy
VASILEIOS CHRISTIDIS;2.00;Forward;1998;Greece
DIONTE CHRISTMAS;1.96;Guard;1986;United States of America
ANTREAS CHRISTODOULOU;1.97;Guard;1995;Greece
SEMAJ CHRISTON;1.91;Guard;1992;United States of America
PATRICK CHRISTOPHER;1.96;Guard;1988;United States of America
VICTOR CHUAN;;;1985;Spain
ADAM CHUBB;2.07;Center;1981;United States of America
MICHAL CHYLINSKI;1.95;Guard;1986;Poland
DARJAN CICA;;;1989;Serbia
JESUS CILLA;1.96;Forward;1977;Spain
ANDREA CINCIARINI;1.93;Guard;1986;Italy
DANIELE CINCIARINI;1.94;Guard;1983;Italy
ROBERTO CIPOLAT;2.04;;1967;Italy
KASPARS CIPRUSS;2.07;Center;1982;Latvia
VALERIO CIRCOSTA;1.88;;1987;Italy
ANDRIJA CIRIC;1.99;Forward;1980;Serbia
SOUARATA CISSE;1.94;Forward;1986;France
ALESSANDRO CITTADINI;2.07;Center;1979;Italy
VYTENIS CIZAUSKAS;1.88;Guard;1992;Lithuania
TEO CIZMIC;;Forward;1971;Croatia
SAM CLANCY;2.01;Forward;1980;United States of America
DANIEL CLARK;2.10;Center;1988;United Kingdom
EARL CLARK;2.08;Center;1988;United States of America
IRA CLARK;2.03;Forward;1975;United States of America
COTY CLARKE;2.01;Forward;1992;United States of America
VICTOR CLAVER;2.08;Forward;1988;Spain
OLIVER CLAY;2.05;Forward;1987;Germany
ERIK CLEYMANS;1.98;Forward;1970;Belgium
WILL CLYBURN;2.01;Forward;1990;United States of America
KEVIN COADOU;;;1988;France
CARLOS COBOS;1.92;Guard;1988;Spain
JAKE COHEN;2.10;Forward;1990;Israel
SANDY COHEN;1.98;Guard;1995;United States of America
CLAUDIO COLDEBELLA;1.96;Guard;1968;Italy
NORRIS COLE;1.88;Guard;1988;United States of America
ANDREA COLLI;2.03;Forward;1988;Italy
DeJUAN COLLINS;1.88;Guard;1976;United States of America
MARDY COLLINS;1.96;Forward;1984;United States of America
QUINO COLOM;1.88;Guard;1988;Spain
DAMIEN COLOME;1.75;;1984;France
SEAN COLSON;1.83;Guard;1975;United States of America
LUIS CONDE;1.90;Guard;1993;Spain
ROBERT CONLEY;2.00;Forward;1977;United States of America
MARTY CONLON;2.11;Center;1968;Ireland
WILL CONROY;1.87;Guard;1982;United States of America
DAEQUAN COOK;1.93;Guard;1987;United States of America
OMAR COOK;1.86;Guard;1982;United States of America
JACK COOLEY;2.06;Forward;1991;United States of America
TREVOR COONEY;1.93;Guard;1992;United States of America
LONNIE COOPER;1.93;Guard;1976;United States of America
TAYLOR COPPENRATH;2.06;Center;1981;United States of America
LUCA COPPOLA;;;1990;Italy
ALBERTO CORBACHO;2.00;Forward;1984;Spain
CHRIS CORCHIANI;1.78;Guard;1968;Italy
PETER CORNELL;2.11;Center;1976;United States of America
XAVIER COROSINE;1.83;Guard;1985;France
FRANCESCO CORRADINI;;;1986;Italy
IVAN CORRALES;1.82;Guard;1974;Spain
JON CORTABERRIA;2.00;Forward;1982;Spain
OLIVIER CORTALE;2.07;;1997;France
RICCARDO CORTESE;1.97;Forward;1986;Italy
EFEKAN COSAR;1.93;Guard;1994;Turkey
ED COTA;1.86;Guard;1976;United States of America
SIMONE COTANI;1.98;Forward;1981;Italy
BRYCE COTTON;1.85;Guard;1992;United States of America
DAVID COURNOOH;1.87;Guard;1990;Italy
FILIP COVIC;1.80;Guard;1989;Serbia
RYVON COVILE;2.06;Center;1984;United States of America
JOHN COX;1.94;Guard;1981;United States of America
AARON CRAFT;1.88;Guard;1991;United States of America
DREW CRAWFORD;1.96;Forward;1990;United States of America
TYLER CRAWFORD;1.94;Guard;1986;United States of America
JOE CRISPIN;1.83;;1979;United States of America
TONY CROCKER;1.98;Forward;1987;United States of America
ANDREA CROSARIOL;2.10;Center;1984;Italy
STEFANO CROTTA;2.08;Forward;1990;Italy
MICHAEL CROWELL;2.02;Forward;1985;United States of America
GREGORY CRUCIFIX;1.85;Guard;1978;Belgium
GINO CUCCAROLO;2.19;Center;1987;Italy
POVILAS CUKINAS;2.10;Center;1983;Lithuania
RANDY CULPEPPER;1.83;Guard;1989;United States of America
VONTEEGO CUMMINGS;1.90;Guard;1976;United States of America
RADISLAV CURCIC;2.06;Center;1965;Serbia
RAMEL CURRY;1.91;Guard;1980;United States of America
ALDO CURTI;1.80;Guard;1987;France
MARCO CUSIN;2.11;Center;1985;Italy
ALEKSANDAR CVETKOVIC;1.85;Guard;1993;Serbia
BRANKO CVETKOVIC;2.00;Forward;1984;Serbia
NIKOLA CVOROVIC;2.01;Forward;1994;Serbia
MATTEO DA ROS;2.00;Forward;1989;Italy
OCTAVIO DA SILVEIRA;2.04;Forward;1989;France
HAO DAI;1.93;Guard;2002;China
VALERI DAINEKO;2.07;Forward;1970;Russian Federation
EVALDAS DAINYS;1.80;Guard;1982;Lithuania
NEDIM DAL;2.14;Center;1975;Turkey
DARIO D'ALESSIO;1.82;Guard;1991;Italy
BORIS DALLO;1.93;Guard;1994;France
CHRISTIAN DALMAU;1.94;Guard;1975;Puerto Rico
XANE D'ALMEIDA;1.83;Guard;1983;France
PAULIUS DAMBRAUSKAS;1.95;Guard;1991;Lithuania
MARCELO DAMIAO;2.04;Forward;1975;Italy
NEMANJA DANGUBIC;2.04;Forward;1993;Serbia
ERIK DANIELS;2.04;Forward;1982;United States of America
WILL DANIELS;2.03;Forward;1986;United States of America
TREMMELL DARDEN;1.94;Forward;1981;United States of America
GAUTHIER DARRIGAND;1.84;Guard;1982;France
KENDALL DARTEZ;2.08;Center;1980;United States of America
VLADIMIR DASIC;2.08;Forward;1988;Montenegro
LUIGI DATOME;2.03;Forward;1987;Italy
PHILLIP DAUBNER;2.00;;1994;Germany
KORNEL DAVID;2.08;Center;1971;Hungary
DEJAN DAVIDOVAC;2.02;Forward;1995;Serbia
BRANDON DAVIES;2.08;Center;1991;Uganda
DEVIN DAVIS;2.00;Forward;1974;United States of America
PAUL DAVIS;2.11;Center;1984;United States of America
BENETT DAVISON;2.03;Forward;1975;United States of America
AUSTIN DAYE;2.11;Center;1988;United States of America
VINCENZO DE BARTOLO;1.85;Guard;1989;Italy
NANDO DE COLO;1.96;Guard;1987;France
RODRIGO DE LA FUENTE;2.00;Forward;1976;Spain
DANIEL DE LA RUA;1.80;;1997;Spain
IBAI DE LA TORRE;1.89;;1987;Spain
IGNACIO  DE MIGUEL;2.05;Forward;1973;Spain
ALESSANDRO DE POL;2.04;Forward;1972;Italy
ARNALDO DE SOUSA MOREIRA FILHO;1.87;Guard;1978;Portugal
MARCOS DE SOUZA;;;1982;Italy
WOUTER DE WILDE;2.04;Forward;1976;Belgium
TAQUAN DEAN;1.93;Guard;1983;United States of America
WILLIE DEANE;1.85;Guard;1980;United States of America
GABRIEL DECK;1.98;Forward;1995;Argentina
NIHAD DEDOVIC;1.99;Guard;1990;Germany
JULIEN DEFOSSE;1.95;Guard;1980;Belgium
MALCOLM DELANEY;1.91;Guard;1989;United States of America
ANTE DELAS;2.00;Guard;1988;Croatia
MARIO DELAS;2.07;Forward;1990;Croatia
CARLOS DELFINO;1.98;Forward;1982;Italy
DANKO DELIBASIC;;;1986;Bosnia and Herzegovina
TOMAS DELININKAITIS;1.90;Guard;1982;Lithuania
TONY DELK;1.86;Guard;1974;United States of America
AMEDEO DELLA VALLE;1.93;Guard;1993;Italy
MALTE DELOW;1.94;Guard;2001;Germany
BERK DEMIR;2.04;Forward;1995;Turkey
MUTLU DEMIR;2.10;Center;1987;Turkey
HAKAN DEMIREL;1.88;Guard;1985;Turkey
MITHAT DEMIREL;1.82;Guard;1978;Germany
MARCUS DENMON;1.91;Guard;1990;United States of America
JUSTIN DENTMON;1.83;Guard;1985;United States of America
LORENZO D'ERCOLE;1.90;Guard;1988;Italy
ANDREI DESIATNIKOV;2.20;Center;1994;Russian Federation
DAVID DESY;1.85;Guard;1971;Belgium
GIACOMO DEVECCHI;1.96;Guard;1985;Italy
BEN DEWAR;1.96;Guard;1981;United States of America
FABIO DI BELLA;1.86;Guard;1978;Italy
ALESSANDRO DI PASQUALE;1.94;Forward;1992;Italy
PAPA DIA;2.12;Forward;1987;Senegal
ATOUMANE DIAGNE;2.15;Center;1998;Senegal
MOUSSA DIAGNE;2.11;Center;1994;Senegal
DERRICK DIAL;1.93;Guard;1975;United States of America
ABOU DIALLO;2.04;Forward;1995;France
GEORGIOS DIAMANTAKOS;2.14;Center;1995;Greece
DIMITRIS DIAMANTIDIS;1.96;Guard;1980;Greece
GEORGIOS DIAMANTOPOULOS;1.92;Guard;1980;Greece
IBRAHIM DIARRA;1.95;Forward;1973;Sweden
MAMOUTOU DIARRA;2.00;Forward;1980;France
BORIS DIAW;2.03;Forward;1982;France
YAKHOUBA DIAWARA;2.01;Forward;1982;France
ALBERTO DIAZ;1.88;Guard;1994;Spain
JOHN DIBARTOLOMEO;1.83;Guard;1991;Israel
MARK DICKEL;1.87;Guard;1976;New Zealand
JON DIEBLER;1.98;Forward;1988;United States of America
MAMADOU YAMAR DIENE;2.12;Center;1981;Senegal
DRAKE DIENER;1.96;Guard;1981;United States of America
DANIEL DIEZ;2.01;Forward;1993;Spain
ALAIN DIGBEU;1.96;Forward;1975;France
TONI DIJAN;2.03;Forward;1983;Croatia
DIMOS DIKOUDIS;2.06;Forward;1977;Greece
VILMANTAS DILYS;2.08;Forward;1987;Lithuania
EGIDIJUS DIMSA;2.04;Center;1985;Lithuania
TOMAS DIMSA;1.96;Guard;1994;Lithuania
ALBERTO D'INCA';;;1987;Italy
BYRON DINKINS;1.92;Guard;1967;United States of America
ILIMANE DIOP;2.11;Center;1995;Spain
KHALIFA DIOP;2.08;Center;2002;Senegal
MAMADOU DIOP;2.04;Forward;1993;Spain
MOUSTAPHA DIOP;2.02;Forward;1989;Senegal
ANTOINE DIOT;1.93;Guard;1989;France
MAKAN DIOUMASSI;1.96;Guard;1972;France
NIKOS DIPLAROS;1.90;Guard;1997;Greece
JORG DIPPOLD;1.95;Guard;1992;Germany
MARCO DIVIACH;2.00;Forward;1988;Italy
JUAN DIXON;1.91;Guard;1978;United States of America
DINO DIZDAREVIC;1.94;Guard;1995;Germany
BRANISLAV DJEKIC;2.06;Forward;1991;Serbia
SAVO DJIKANOVIC;2.11;;1975;Serbia
DUSAN DJORDJEVIC;1.93;Guard;1983;Serbia
SASA DJORDJEVIC;;Guard;1967;Spain
MARKO DJURIC;2.08;;1983;Bosnia and Herzegovina
NEMANJA DJURISIC;2.03;Forward;1992;Montenegro
MARKO DJURKOVIC;2.06;Forward;1986;Serbia
FEDOR DMITRIEV;2.05;Forward;1984;Russian Federation
ANTHONY DOBBINS;1.92;Forward;1981;Italy
OGNJEN DOBRIC;2.00;Guard;1994;Serbia
JUSTIN DOELLMAN;2.06;Forward;1985;United States of America
DRAGAN DOJCIN;2.04;Forward;1976;Serbia
DMITRY DOMANI;2.00;Guard;1974;Russian Federation
HENRY DOMERCANT;1.93;Forward;1980;United States of America
LUKA DONCIC;1.99;Guard;1999;Slovenia
SASA DONCIC;2.01;Forward;1974;Slovenia
GREGORY DONNAY;;;1982;Belgium
AARON DOORNEKAMP;2.01;Forward;1985;Netherlands
PERIKLIS DORKOFIKIS;2.07;;1980;Greece
JOEY DORSEY;2.03;Center;1983;United States of America
TONY DORSEY;2.01;Forward;1970;United Kingdom
TYLER DORSEY;1.96;Guard;1996;United States of America
ASSAF DOTAN;1.94;Guard;1974;Israel
RUBEN DOUGLAS;1.93;Guard;1979;United States of America
TONEY DOUGLAS;1.88;Guard;1986;United States of America
JEREMIE DOUILLET;2.05;Forward;1991;France
ZABIAN DOWDELL;1.90;Guard;1984;United States of America
MICAH DOWNS;1.95;Forward;1986;United States of America
GORAN DRAGIC;1.93;Guard;1986;Slovenia
ZORAN DRAGIC;1.96;Forward;1989;Slovenia
STRAHINJA DRAGICEVIC;2.03;;1986;Serbia
TADIJA DRAGICEVIC;2.05;Forward;1986;Serbia
VLADIMIR DRAGICEVIC;2.05;Forward;1986;Montenegro
DONTAYE DRAPER;1.81;Guard;1984;United States of America
CHRISTIAN DREJER;2.06;Forward;1982;Denmark
PRODOMOS DRELIOZIS;2.01;Forward;1975;Greece
DRAGISA DROBNJAK;;Forward;1977;Slovenia
PREDRAG DROBNJAK;2.13;Center;1975;Montenegro
PIERRE-ETIENNE DROUAULT;1.94;Forward;1990;France
ARTUR DROZDOV;1.99;Guard;1980;Ukraine
ROBERT DRYDEN;2.16;;1978;United States of America
BOJAN DUBLJEVIC;2.05;Center;1991;Montenegro
FABIEN DUBOS;2.07;Forward;1977;France
RANDY DUCK;1.86;Guard;1975;United States of America
ERWIN DUDLEY;2.04;Forward;1981;United States of America
BENJAMIN-PAVEL DUDU;2.00;Forward;1991;Russian Federation
ROBERTO DUENAS;2.18;Center;1975;Spain
PERO DUJMOVIC;1.97;Forward;1977;Croatia
BUGRA ISMAIL DULCEKCI;;;1993;Turkey
DEIVIDAS DULKYS;1.98;Guard;1988;Lithuania
MARIO DUNDOVIC;2.00;Forward;1977;Croatia
SPENCER DUNKLEY;2.11;Center;1969;United Kingdom
BRYANT DUNSTON;2.03;Center;1986;United States of America
ROMAIN DUPORT;2.18;Center;1986;France
AHMET CAN DURAN;2.06;Center;1999;Turkey
SLAVKO DUSCAK;1.91;Forward;1974;Slovenia
AHMET DUVERIOGLU;2.09;Center;1993;Turkey
VLADIMIR DYACHOK;2.04;Forward;1980;Russian Federation
FILIP DYLEWICZ;2.02;Forward;1980;Poland
JEROME DYSON;1.92;Guard;1987;United States of America
BORIS DZIDIC;2.05;;1980;Croatia
KENAJN DZONS;2.08;;1977;North Macedonia
ACIE EARL;2.08;Center;1970;United States of America
JARELL EDDIE;2.01;Forward;1991;United States of America
EDDY EDIGIN;2.01;Center;1995;Germany
TYUS EDNEY;1.78;Guard;1973;United States of America
DAMON EDWARDS;;;1974;United States of America
JONATHAN EDWARDS;2.06;Center;1967;United States of America
STEVEN EDWARDS;1.98;Forward;1973;United States of America
THANASIS EFTHIMIOU;2.07;Forward;1978;Greece
CHUCK EIDSON;2.02;Guard;1980;United States of America
GINTARAS EINIKIS;2.08;Forward;1969;Lithuania
UNAI EIZAGUIRRE;1.82;Guard;1988;Spain
OBINNA EKEZIE;2.08;Center;1975;Nigeria
EMRE EKIM;2.08;;1980;Turkey
ENVER EKMEN;2.06;;1983;Turkey
NIKOLAOS EKONOMOU;2.08;Forward;1973;Greece
KHALID EL-AMIN;1.78;Guard;1979;United States of America
COURTNEY ELDRIDGE;1.76;Guard;1980;United States of America
FRANK ELEGAR;2.03;;1986;United States of America
WILLIAM KEITH ELEY;2.08;Center;1975;United States of America
GIACOMO ELIANTONIO;2.04;Forward;1988;Italy
LIOR ELIYAHU;2.05;Forward;1985;Israel
ERIC ELLIOT;1.82;Guard;1969;United States of America
RODNEY ELLIOTT;2.03;;1976;United States of America
OCTAVIUS ELLIS;2.08;Center;1993;United States of America
RONALD ELLIS;2.00;Forward;1967;Belgium
TYRONE ELLIS;1.92;Guard;1977;United States of America
FRANCISCO ELSON;2.11;Center;1976;Netherlands
DARREN ENGELLANT;2.09;Center;1970;United States of America
CARL ENGLISH;1.92;Forward;1981;Canada
KIM ENGLISH;1.98;Guard;1988;United States of America
DYLAN ENNIS;1.88;Guard;1991;Serbia
TYLER ENNIS;1.88;Guard;1994;Canada
CHRIS ENSMINGER;;Center;1973;United States of America
BRETT EPPEHEIMER;1.83;Guard;1976;United States of America
NICK EPPEHIMER;2.01;Forward;1979;Italy
ZORAN ERCEG;2.11;Center;1985;Serbia
CUNEYT ERDEN;1.85;Guard;1977;Turkey
SEMIH ERDEN;2.10;Center;1986;Turkey
HAKKI HARUN ERDENAY;1.90;Guard;1968;Turkey
NATHAN ERDMANN;1.95;Guard;1973;United States of America
SERKAN ERDOGAN;1.90;Guard;1978;Turkey
MICHAEL ERIC;2.10;Center;1988;Nigeria
MARCUS ERIKSSON;2.01;Guard;1993;Sweden
MLADEN ERJAVEC;1.95;;1970;Croatia
BARIS ERMIS;1.94;Guard;1985;Turkey
PAVEL ERMOLINSKIJ;2.02;Guard;1987;Iceland
ERBIL EROGLU;1.95;Guard;1993;Turkey
ALEKSANDR ERSHOV;1.97;Guard;2000;Russian Federation
TAYFUN ERULKU;1.96;;1994;Turkey
ARIEL ESLAVA;2.01;Forward;1979;Argentina
VINCENZO ESPOSITO;;Guard;1969;Italy
RAMON ESPUNA;2.06;Forward;1984;Spain
ROGER ESTELLER;1.93;Guard;1972;Spain
VALENTIN ESTIENNE;1.80;;1994;France
CHARLES LEE EVANS;1.80;Guard;1971;Germany
CHRISTOPHER EVANS;2.03;Forward;1991;United States of America
JEREMY EVANS;2.06;Center;1987;United States of America
MAURICE EVANS;1.96;Guard;1978;United States of America
IVAN EVSTIGNEEV;1.95;Guard;1999;Russian Federation
ILIAN EVTIMOV;2.01;Forward;1983;France
VASSIL EVTIMOV;2.05;Center;1977;France
DANIEL EWING;1.91;Guard;1983;United States of America
ROEY EYAL;1.91;;1976;Israel
CHRISTIAN EYENGA;2.03;Forward;1989;Democratic Republic of the Congo
BENJAMIN EZE;2.08;Center;1981;Italy
ERNESTAS EZERSKIS;1.92;Guard;1987;Lithuania
MARCUS FAISON;1.95;Forward;1978;United States of America
DIEGO FAJARDO;2.06;Forward;1976;Spain
RANDAL FALKER;2.01;Forward;1985;United States of America
MOUSTAPHA FALL;2.18;Center;1992;France
YOUSSOUPHA FALL;2.21;Center;1995;Senegal
REGEV FANAN;;Guard;1981;Israel
JORDAN FARMAR;1.88;Guard;1986;United States of America
DESMON FARMER;1.96;Guard;1981;United States of America
OSKAR FASSLER;1.98;Guard;1988;Germany
VINCENT FAUCHE;1.91;Guard;1996;France
ALONSO FAURE;2.06;Forward;2002;Spain
FREDERIC FAUTHOUX;;Guard;1972;France
VITOR FAVERANI;2.10;Center;1988;Spain
MOUHAMMAD FAYE;2.08;Forward;1985;Senegal
JAMES FELDEINE;1.93;Guard;1988;United States of America
NOEL FELIX;2.06;Forward;1981;United States of America
PATRICK FEMERLING;2.13;Center;1975;Germany
DARREN FENN;2.08;Center;1980;United States of America
CEDRIC FERCHAUD;1.96;Forward;1980;France
GABRIEL FERNANDEZ;2.04;Forward;1976;Italy
LUCHO FERNANDEZ;2.02;Forward;1975;Spain
MARC FERNANDEZ;2.03;Forward;1987;Spain
NICOLAS FERNANDEZ;2.09;Forward;1977;Spain
RUDY FERNANDEZ;1.96;Forward;1985;Spain
GUILLEM FERRANDO;1.85;Guard;2002;Spain
LUIS FERRANDO;1.85;Guard;1996;Spain
CARLO FERRI;;;1753;
MICHELE FERRI;1.85;;1985;Italy
ALBERTO FERRIZ;;;1753;
KYRYLO FESENKO;2.16;Center;1986;Ukraine
ANDREI FETISOV;2.08;Forward;1972;Russian Federation
KIMANI FFRIEND;2.11;Center;1977;Jamaica
JONATHAN FIERS;1.98;;1983;Belgium
POL FIGUERAS;1.87;Guard;1998;Spain
ALEKSANDAR FILIPOVIC;;;1989;Slovenia
MARIO FILIPOVIC;1.96;Guard;1988;Croatia
LUCA FILLARI;1.80;;1984;Italy
ARIEL FILLOY;1.90;Guard;1987;Italy
MORRIS FINLEY;1.80;Guard;1981;United States of America
GORDAN FIRIC;1.96;;1970;Italy
DOR FISCHER;2.11;Center;1981;United States of America
LUKE FISCHER;2.11;Center;1994;United States of America
JOSH FISHER;1.89;Guard;1980;United States of America
GERALD FITCH;1.91;Guard;1982;United States of America
BRUNO FITIPALDO ;1.84;Guard;1991;Italy
MARCUS FIZER;2.03;Forward;1978;United States of America
DIEGO FLACCADORI;1.93;Guard;1996;Italy
SIMONE FLAMINI;2.04;Forward;1982;Italy
KEVIN FLETCHER;2.06;Center;1980;United States of America
DIMITRI FLIS;2.03;Center;1984;Russian Federation
BANGALY FOFANA;2.12;Center;1989;France
LAURENT FOIREST;1.97;Forward;1973;France
ALEIX FONT;1.95;Forward;1998;Spain
SIMONE FONTECCHIO;2.03;Forward;1995;Italy
ALBERT FONTET;2.12;;1986;Spain
JEFF FOOTE;2.13;Center;1987;United States of America
ALPHONSO FORD;1.92;Guard;1971;United States of America
SHARROD FORD;2.06;Forward;1982;United States of America
TJ FORD;1.83;Guard;1983;United States of America
MATTEO FORMENTI;1.94;Forward;1982;Italy
JAMES FORREST;2.06;Center;1972;United States of America
JOSEPH FORTE;1.93;Guard;1981;United States of America
JEKEL FOSTER;1.91;Guard;1983;United States of America
MARCUS FOSTER;1.91;Guard;1995;United States of America
ANTONIS FOTSIS;2.09;Forward;1981;Greece
RICARDO FOX;;;1981;Spain
RICHIE FRAHM;1.96;Forward;1977;United States of America
JOSEP FRANCH;1.90;Guard;1991;Spain
 MARIANO FRANCO;2.00;;1980;Italy
XAVIER FRANCOIS;2.03;Forward;1994;Belgium
RAFAL FRANK;1.98;Forward;1980;Poland
PRZEMYSLAW FRASUNKIEWICZ;;Forward;1979;Poland
JIMMER FREDETTE;1.87;Guard;1989;United States of America
JOEL FREELAND;2.10;Center;1987;United Kingdom
ALLERIK FREEMAN;1.90;Guard;1994;United States of America
REGGIE FREEMAN;1.97;Forward;1975;United States of America
JANNIK FREESE;2.11;Center;1986;Germany
MATT FREIJE;2.06;;1981;United States of America
VITALY FRIDZON;1.94;Guard;1985;Russian Federation
DAVID FRIGOUT;2.06;Forward;1973;France
JEFERSON FROEHLICH;1.93;Guard;1991;Brazil
ALESSANDRO FROSINI;2.09;Center;1972;Italy
GREGOR FUCKA;2.15;Forward;1971;Italy
ADRIAN FUENTES;;;1987;Spain
SEBASTIAN FULLE;1.92;Guard;1992;Germany
ROBERT FULTZ;1.88;Guard;1982;Italy
CARLO FUMAGALLI;1.86;;1996;Italy
ROBERTO GABINI;1.98;Forward;1975;Italy
GERMAN GABRIEL;;Forward;1980;Spain
KENNY GABRIEL;2.05;Forward;1989;United States of America
SANDRO GACIC;1.99;Guard;1996;Bosnia and Herzegovina
DIDIER GADOU;2.03;Forward;1965;France
THIERRY GADOU;2.06;Forward;1969;France
CHEYNE GADSON;1.92;Guard;1980;United States of America
DJORDJE GAGIC;2.10;Center;1990;Croatia
YANNICK GAGNEUR;1.98;Forward;1980;France
DEIVIDAS GAILIUS;2.00;Forward;1988;Lithuania
VINCENT GAILLARD;2.00;Forward;1993;Switzerland
CHARLES GAINES;2.03;Forward;1981;United States of America
REECE GAINES;1.98;Guard;1981;United States of America
ALEKSANDAR GAJIC;1.86;Guard;1983;Serbia
GIACOMO GALANDA;2.10;Forward;1975;Italy
SIMAS GALDIKAS;2.03;Forward;1987;Lithuania
ANDREA GALLI;1.92;Forward;1989;Italy
DANILO GALLINARI;2.08;Forward;1988;Italy
CHARLES GALLIOU;2.02;Forward;1995;France
AARON GANAL;1.85;Guard;2004;Andorra
GABRIELE GANETO;2.00;Forward;1987;Italy
ALEXANDER GANKEVICH;2.01;Forward;1995;Russian Federation
JORGE GARBAJOSA;2.05;Forward;1977;Spain
RUBEN GARCES;2.06;Center;1973;Panama
ALEX GARCIA;1.91;Guard;1980;Brazil
ANDER GARCIA;1.92;Guard;1989;Spain
ANGEL LUIS  GARCIA;2.09;Center;1988;United States of America
ASIER GARCIA;2.06;Forward;1978;Spain
DANIEL GARCIA;2.06;Forward;1975;Spain
HECTOR GARCIA;1.94;Guard;1978;Spain
IVAN GARCIA;2.05;Forward;1986;Spain
MARC GARCIA;1.96;Guard;1996;Spain
OSCAR GARCIA;2.03;Forward;1979;Spain
SERGI GARCIA;1.93;Forward;1997;Spain
JASON GARDNER;1.78;Guard;1980;United States of America
PATRICIO GARINO;2.01;Forward;1993;Italy
MARLON GARNETT;1.88;Guard;1975;Belize
DIANTE GARRETT;1.93;Guard;1988;United States of America
ROBERT GARRETT;1.94;Guard;1977;Germany
LUCA GARRI;2.07;Forward;1982;Italy
KIWANE GARRIS;1.88;Guard;1974;United States of America
STEFANO GARRIS;2.00;Guard;1979;Germany
USMAN GARUBA;2.03;Center;2002;Spain
MARC GASOL;2.15;Center;1985;Spain
PAU GASOL;2.13;Forward;1980;Spain
MATT GATENS;1.95;Guard;1989;United States of America
CHRIS GATLING;2.08;Forward;1967;United States of America
ANTON GAVEL;;Guard;1984;Germany
ALEXANDER GAVRILOV;1.95;Guard;1996;Russian Federation
DAN GAY;2.06;Center;1961;Italy
NICOLAS GAYON;;;1753;
ERTEN GAZI;1.90;Guard;1997;Turkey
MARTINAS GEBEN;2.08;Center;1994;Lithuania
MARTYNAS GECEVICIUS;1.93;Guard;1988;Lithuania
TOLGA GECIM;2.06;Forward;1996;Turkey
ALONZO GEE;1.98;Forward;1987;United States of America
MICKAEL GELABALE;2.02;Forward;1983;France
ANDREA GENNARI;;;1984;Italy
ALESSANDRO GENTILE;2.01;Guard;1992;Italy
NANDO GENTILE;1.98;Guard;1967;Italy
STEFANO GENTILE;1.91;Guard;1989;Italy
GEORGIOS GEORGAKIS;2.05;;1991;Greece
IOANNIS GEORGALLIS;2.00;Forward;1983;Greece
JASON GEORGE;1.98;Guard;2001;Germany
NICK GEORGE;1.98;Forward;1982;United States of America
FRANCESCO GERGATI;1.90;;1987;Italy
VOLODYMYR GERUN;2.08;Center;1994;Ukraine
SAMET GEYIK;2.06;Forward;1993;Turkey
GIANLUCA GHEDINI;1.92;Guard;1982;Italy
MICHELE GHERARDINI;;;1753;
JACOPO GIACHETTI;1.90;Guard;1983;Italy
NICO GIANELLA;1.91;Guard;1978;Argentina
CHARIS GIANNOPOULOS;2.06;Forward;1989;Greece
YANNIS GIANNOULIS;2.04;Center;1976;Greece
GEORGIOS GIANNOUZAKOS;1.98;Forward;1975;Greece
SAMUELE GIARDINI;1.83;Guard;2000;Italy
JR GIDDENS;1.96;Guard;1985;United States of America
ANDRIUS GIEDRAITIS;1.96;Guard;1973;Lithuania
ROKAS GIEDRAITIS;2.00;Forward;1992;Lithuania
SACHA GIFFA;;Forward;1977;France
NIELS GIFFEY;2.00;Forward;1991;Germany
MARIO GIGENA;1.96;Forward;1977;Italy
SILVIO GIGENA;2.00;Forward;1975;Italy
ANGELO GIGLI;2.09;Forward;1983;Italy
CLARENCE GILBERT;1.88;Guard;1980;United States of America
JOHN GILCHRIST;1.85;Guard;1984;United States of America
ANTHONY GILL;2.04;Forward;1992;United States of America
EDDIE GILL;1.83;Guard;1978;United States of America
VIDAS GINEVICIUS;1.94;Guard;1978;Lithuania
EMANUEL GINOBILI;1.98;Forward;1977;Italy
ANTHONY GIOVACCHINI;1.88;Guard;1979;Italy
GUILHERME GIOVANNONI;2.02;Forward;1980;Italy
SERGERIO GIPSON;1.91;Guard;1980;United States of America
MINDAUGAS GIRDZIUNAS;1.88;Guard;1989;Lithuania
GORDAN GIRICEK;2.01;Forward;1977;Croatia
JAMES GIST;2.04;Forward;1986;United States of America
ANDREA GJINAJ;;;1986;Albania
IOANNIS GKAGKALOUDIS;1.92;Guard;1978;Greece
SERGII GLADYR;;Forward;1988;Ukraine
NEJC GLAVAS;;;1986;Slovenia
ALEKSANDAR GLINTIC;2.08;Forward;1976;Serbia
DION GLOVER;1.96;Guard;1978;United States of America
ANDREAS GLYNIADAKIS;2.15;Center;1981;Greece
BORIS GNJIDIC;1.99;Forward;1967;Croatia
RUDY GOBERT;2.10;Center;1992;France
DANIEL GOETHALS;2.06;;1969;Belgium
JOHN GOLDSBERRY;1.91;Guard;1982;United States of America
ANTHONY GOLDWIRE;1.88;Guard;1971;United States of America
JURICA GOLEMAC;;Center;1977;Slovenia
MILJAN GOLJOVIC;2.03;Forward;1971;Slovenia
DMITRY GOLOVIN;1.92;Guard;1988;Russian Federation
