player;height;position;year_born;nationality
EGEHAN ARNA;2.03;Forward;1997;Turkey
VICTOR ARNAU;1.84;Guard;1991;Spain
JAMIE ARNOLD;2.02;Forward;1975;Israel
CESAR  ARRANZ;2.03;Center;1969;Spain
CARLOS ARROYO;1.88;Guard;1979;United States of America
NIKOLAOS ARSENOPOULOS;1.95;Guard;2000;Greece
PETAR ARSIC;2.06;Forward;1973;Serbia
ENDER ARSLAN;1.88;Guard;1983;Turkey
VICTOR ARTEAGA;2.13;Center;1992;Spain
ASIER ARZALLUS;2.04;;1983;Spain
OMER ASIK;2.11;Center;1986;Turkey
OGNJEN ASKRABIC;2.07;Forward;1979;Serbia
ALBERTO ASPE;;;1987;Spain
ANTON ASTAPKOVICH;2.02;Forward;1994;Russian Federation
IOANNIS ATHANASOULAS;2.02;Forward;1987;Greece
IOANNIS ATHINAIOU;1.94;Guard;1988;Greece
YONATAN ATIAS;2.05;Center;2001;Israel
RASHID ATKINS;1.82;Guard;1975;United States of America
ENGIN ATSUR;1.89;Guard;1984;Germany
STEFANO ATTRUIA;1.83;Guard;1969;Italy
ZACH AUGUSTE;2.08;Center;1993;Greece
JAMES AUGUSTINE;2.08;Center;1984;United States of America
CHAD AUSTIN;1.88;Guard;1975;United States of America
ISAAC AUSTIN;2.08;Center;1969;United States of America
NEVILLE  AUSTIN;2.08;Center;1968;United Kingdom
ADRIAN AUTRY;1.94;Guard;1972;United States of America
VULE AVDALOVIC;1.89;Guard;1981;Serbia
DENI AVDIJA;2.05;Guard;2001;Israel
ANTHONY AVENT;2.06;Forward;1969;United States of America
RUSLAN AVLEEV;1.98;Forward;1976;Russian Federation
TUNJI FEMI AWOJOBI;2.02;Forward;1973;Nigeria
SERKAN AYDIN;2.00;Guard;2000;Turkey
GUSTAVO AYON;2.08;Center;1985;Mexico
JEFF AYRES;2.06;Center;1987;United States of America
LARRY AYUSO;1.90;Guard;1977;Puerto Rico
PEDRO AZEVEDO;1.92;;1981;Portugal
IGNACIO AZOFRA;1.81;Guard;1969;Spain
LUKA BABIC;2.01;Forward;1991;Croatia
PETAR BABIC;1.90;Guard;1985;Croatia
STEPONAS BABRAUSKAS;1.97;Guard;1984;Lithuania
EVGENY BABURIN;1.90;Guard;1987;Russian Federation
JASON BACH;1.99;Forward;1987;France
MARIUSZ BACIK;2.07;Forward;1972;Poland
MARTON BADER;2.12;Center;1980;Hungary
MALICK BADIANE;2.08;Forward;1984;Senegal
MOUSSA BADIANE;2.08;Center;1981;France
PAPE BADIANE;2.11;Center;1980;France
BRANCOU BADIO;1.91;Guard;1999;Senegal
IBOU BADJI;2.15;Center;2002;Senegal
EULIS BAEZ;2.01;Center;1982;Dominican Republic
DALIBOR BAGARIC;2.15;Center;1980;Germany
AINARS BAGATSKIS;1.97;Guard;1967;Latvia
SIMONE BAGNOLI;2.06;Forward;1987;Italy
BRYAN BAILEY;1.85;Guard;1980;United States of America
MAURICE BAILEY;1.83;Guard;1981;United States of America
TOBY BAILEY;1.93;Guard;1975;United States of America
ARTUR BAJER;;;1753;
KENAN BAJRAMOVIC;2.07;Forward;1981;Bosnia and Herzegovina
MAURICE BAKER;1.85;Guard;1979;United States of America
RON BAKER;1.93;Guard;1993;United States of America
RONNIE BAKER;1.72;Guard;1969;United Kingdom
BOJAN BAKIC;1.97;Forward;1983;Montenegro
BORIS BAKIC;1.93;Guard;1986;Montenegro
ISMAEL BAKO;2.08;Center;1995;Belgium
DARKO BALABAN;2.12;Center;1989;Serbia
NIKITA BALASHOV;2.07;Forward;1991;Russian Federation
SERGEI BALASHOV;2.06;Forward;1996;Russian Federation
JURE BALAZIC;2.02;Forward;1980;Slovenia
DOGUS BALBAY;1.85;Guard;1989;Turkey
ALEKSANDER BALCEROWSKI;2.15;Center;2000;Poland
PATRICK BALDASSARRE;;;1986;Italy
WADE BALDWIN IV;1.93;Guard;1996;United States of America
