CODETEAM|COMMENT|DORSAL|MARKERTIME|MINUTE|NUMBEROFPLAY|PLAYER|PLAYER_ID|PLAYINFO|PLAYTYPE|POINTS_A|POINTS_B|TEAM|TYPE|Stadium|Local|Visitor|Game
TRE       ||10|09:37|1|2|NAUMOSKI, PETAR|AHY       |Three Pointer (1/1 -  3 pt)|3FGM|3.0||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||8|09:27|1|3|MARCONATO, DENIS|AHW       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||9|09:27|1|4|MEEK, ERIK|AIU       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||15|09:15|1|5|ITURBE, IKER|AIS       |Missed Layup (0/1 -  0 pt)|LAYUPATT|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||8|09:13|1|6|MARCONATO, DENIS|AHW       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||7|09:04|1|7|ANGULO, LUCIO|AIO       |Foul (1)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|09:04|1|8|BROWN, MARCUS|AHT       |Foul Drawn (1)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:55|2|10|BROWN, MARCUS|AHT       |Layup Made (1/1 -  2 pt)|LAYUPMD|5.0||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||11|08:35|2|11|HERREROS, ALBERTO|AIR       |Two Pointer (1/1 -  2 pt)|2FGM|5.0|2.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|08:32|2|12|LOPEZ, RAUL|AIT       |Assist (1)|AS|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||11|08:30|2|13|HERREROS, ALBERTO|AIR       |Foul (1)|CM|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:30|2|14|BROWN, MARCUS|AHT       |Foul Drawn (2)|RV|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:30|2|15|BROWN, MARCUS|AHT       |Free Throw In (1/1 -  3 pt)|FTM|6.0|2.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||5|08:30|2|16|BROWN, MARCUS|AHT       |Free Throw In (2/2 -  4 pt)|FTM|7.0|2.0|Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||11|08:16|2|17|HERREROS, ALBERTO|AIR       |Missed Three Pointer (0/1 -  2 pt)|3FGA|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|08:13|2|18|NAUMOSKI, PETAR|AHY       |Def Rebound (1)|D|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
TRE       ||10|08:07|2|19|NAUMOSKI, PETAR|AHY       |Turnover (1)|TO|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||15|08:07|2|20|ITURBE, IKER|AIS       |Steal (1)|ST|||Real Madrid|0|PALAVERDE|TRE|RMA|104
TRE       ||10|08:07|2|21|NAUMOSKI, PETAR|AHY       |Foul (1)|CM|||Benetton Treviso|0|PALAVERDE|TRE|RMA|104
RMA       ||14|08:07|2|22|LOPEZ, RAUL|AIT       |Foul Drawn (1)|RV|||Real Madrid|0|PALAVERDE|TRE|RMA|104
RMA       ||14|07:58|3|24|LOPEZ, RAUL|AIT       |Three Pointer (1/1 -  3 pt)|3FGM|7.0|5.0|Real Madrid|0|PALAVERDE|TRE|RMA|104
