ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Two Pointer|09:00|-31|552||2FGM|PCQO      |1|3|EZE, BENJAMIN|2|2|0|||KHI       ||F|0
Two Pointer|09:00|-545|81||2FGM|P000129   |1|5|BROWN, BOBBY|2|2|2|||SOP       ||F|0
Missed Two Pointer|08:00|-250|357||2FGA|P001887   |2|7|LANGFORD, KEITH|0|2|2|||KHI       ||F|0
Layup Made|08:00|62|56||LAYUPMD|PAIT      |2|9|LOPEZ, RAUL|2|4|2|||KHI       ||C|0
Two Pointer|08:00|-382|181||2FGM|P001887   |2|11|LANGFORD, KEITH|2|6|2|||KHI       ||D|0
Missed Three Pointer|08:00|401|627||3FGA|P000129   |2|12|BROWN, BOBBY|0|6|2|||SOP       ||I|0
Three Pointer|07:00|388|608||3FGM|PBFX      |3|16|MONYA, SERGEY|3|9|2|||KHI       ||I|0
Free Throw In|07:00|-1|-1||FTM|PJHV      |3|22|LAPETA, ADAM|1|9|3|||SOP       || |0
Missed Layup|07:00|-150|119||LAYUPATT|PCQO      |3|24|EZE, BENJAMIN|0|9|3|||KHI       ||B|0
Missed Layup|07:00|-18|100||LAYUPATT|P002837   |3|26|WILKS, MICHAEL|0|9|3|||SOP       ||B|0
Layup Made|07:00|-6|69||LAYUPMD|P001209   |3|30|SZCZOTKA, PIOTR|2|9|5|||SOP       ||B|0
Missed Three Pointer|06:00|-244|664||3FGA|P002837   |4|33|WILKS, MICHAEL|0|9|5|||SOP       ||H|0
Missed Layup|06:00|-12|106||LAYUPATT|PLGW      |4|41|BURRELL, RONNIE|0|9|5|||SOP       ||B|0
Missed Two Pointer|06:00|219|414||2FGA|PAIT      |4|45|LOPEZ, RAUL|0|9|5|||KHI       ||G|0
Missed Three Pointer|05:00|12|683||3FGA|P000129   |5|48|BROWN, BOBBY|0|9|5|||SOP       ||I|0
Three Pointer|05:00|-489|508||3FGM|P001887   |5|50|LANGFORD, KEITH|3|12|5|||KHI       ||H|0
Free Throw In|05:00|-1|-1||FTM|P001887   |5|59|LANGFORD, KEITH|1|13|5|||KHI       || |0
Missed Two Pointer|04:00|257|75||2FGA|PCQO      |6|62|EZE, BENJAMIN|0|13|5|||KHI       ||C|0
Missed Layup|04:00|-31|69||LAYUPATT|P000129   |6|64|BROWN, BOBBY|0|13|5|||SOP       ||B|0
Missed Two Pointer|04:00|175|163||2FGAB|P000378   |6|68|EWING, DANIEL|0|13|5|||SOP       ||C|0
Missed Two Pointer|04:00|0|238||2FGA|P000129   |6|72|BROWN, BOBBY|0|13|5|||SOP       ||D|0
Missed Three Pointer|04:00|-219|652||3FGA|PLSK      |6|83|PANIN, VADIM|0|13|5|||KHI       ||H|0
Free Throw In|03:00|-1|-1||FTM|PBTS      |7|91|VARDA, RATKO|1|13|6|||SOP       || |0
Three Pointer|03:00|87|696||3FGM|PBFX      |7|93|MONYA, SERGEY|3|16|6|||KHI       ||I|0
Missed Three Pointer|03:00|94|771||3FGA|P002873   |7|94|GIDDENS, JUSTIN RAY|0|16|6|||SOP       ||I|0
Two Pointer|02:00|31|451||2FGM|P000378   |8|99|EWING, DANIEL|2|16|8|||SOP       ||G|0
Missed Three Pointer|02:00|-457|602||3FGA|P001887   |8|100|LANGFORD, KEITH|0|16|8|||KHI       ||H|0
Missed Layup|02:00|-100|100||LAYUPATT|PBTS      |8|102|VARDA, RATKO|0|16|8|||SOP       ||B|0
Layup Made|02:00|50|87||LAYUPMD|P002873   |8|104|GIDDENS, JUSTIN RAY|2|16|10|||SOP       ||C|0
Missed Layup|01:00|119|62||LAYUPATT|PCQO      |9|106|EZE, BENJAMIN|0|16|10|||KHI       ||C|0
Free Throw In|01:00|-1|-1||FTM|PBTS      |9|113|VARDA, RATKO|1|16|11|||SOP       || |0
Free Throw In|01:00|-1|-1||FTM|PBTS      |9|114|VARDA, RATKO|1|16|12|||SOP       || |0
Missed Three Pointer|01:00|-690|43||3FGA|PLLH      |9|115|FRIDZON, VITALY|0|16|12|||KHI       ||H|0
Layup Made|00:00|62|69||LAYUPMD|PAFP      |10|121|PLANINIC, ZORAN|2|18|12|||KHI       ||C|0
Missed Two Pointer|00:00|-351|219||2FGA|PCIW      |10|122|VIDENOV, FILIP|0|18|12|||SOP       ||D|0
Missed Three Pointer|00:00|696|207||3FGA|PBFX      |10|124|MONYA, SERGEY|0|18|12|||KHI       ||I|0
Free Throw In|00:00|-1|-1||FTM|P000378   |10|128|EWING, DANIEL|1|18|13|||SOP       || |0
Free Throw In|00:00|-1|-1||FTM|P000378   |10|129|EWING, DANIEL|1|18|14|||SOP       || |0
Missed Layup|09:00|75|100||LAYUPATT|PBTS      |11|134|VARDA, RATKO|0|18|14|||SOP       ||C|0
Missed Three Pointer|09:00|652|326||3FGA|PLLH      |11|136|FRIDZON, VITALY|0|18|14|||KHI       ||I|0
Missed Layup|09:00|106|100||LAYUPATT|PBTS      |11|142|VARDA, RATKO|0|18|14|||SOP       ||C|0
Missed Two Pointer|08:00|414|56||2FGA|P001887   |12|149|LANGFORD, KEITH|0|18|14|||KHI       ||E|0
Missed Three Pointer|08:00|194|727||3FGA|P000378   |12|151|EWING, DANIEL|0|18|14|||SOP       ||I|0
Layup Made|08:00|131|31||LAYUPMD|PLLH      |12|156|FRIDZON, VITALY|2|20|14|||KHI       ||C|0
Missed Two Pointer|08:00|200|420||2FGA|P000378   |12|159|EWING, DANIEL|0|20|14|||SOP       ||G|0
Free Throw In|07:00|-1|-1||FTM|PALR      |13|168|SAVRASENKO, ALEKSEY|1|21|14|||KHI       || |0
Layup Made|07:00|87|56||LAYUPMD|PALR      |13|177|SAVRASENKO, ALEKSEY|2|23|14|||KHI       ||C|0
Free Throw In|07:00|-1|-1||FTM|PLLH      |13|185|FRIDZON, VITALY|1|24|14|||KHI       || |0
Missed Three Pointer|07:00|702|100||3FGA|PBEJ      |13|186|LONCAR, KRESIMIR|0|24|14|||KHI       ||I|0
Three Pointer|06:00|426|608||3FGM|P000378   |14|190|EWING, DANIEL|3|24|17|||SOP       ||I|0
Missed Layup|06:00|37|100||LAYUPATT|PALR      |14|191|SAVRASENKO, ALEKSEY|0|24|17|||KHI       ||C|0
Layup Made|06:00|37|81||LAYUPMD|P002873   |14|195|GIDDENS, JUSTIN RAY|2|24|19|||SOP       ||C|0
Free Throw In|05:00|-1|-1||FTM|PAFP      |15|199|PLANINIC, ZORAN|1|25|19|||KHI       || |0
Free Throw In|05:00|-1|-1||FTM|PAFP      |15|200|PLANINIC, ZORAN|1|26|19|||KHI       || |0
Two Pointer|05:00|150|194||2FGM|PBTS      |15|201|VARDA, RATKO|2|26|21|||SOP       ||E|0
Layup Made|05:00|112|69||LAYUPMD|PALR      |15|203|SAVRASENKO, ALEKSEY|2|28|21|||KHI       ||C|0
Layup Made|04:00|43|50||LAYUPMD|P002873   |16|213|GIDDENS, JUSTIN RAY|2|28|23|||SOP       ||C|0
Free Throw In|04:00|-1|-1||FTM|P002873   |16|221|GIDDENS, JUSTIN RAY|1|28|24|||SOP       || |0
Missed Three Pointer|03:00|495|520||3FGA|PLLH      |17|223|FRIDZON, VITALY|0|28|24|||KHI       ||I|0
Three Pointer|03:00|664|319||3FGM|PAIT      |17|225|LOPEZ, RAUL|3|31|24|||KHI       ||I|0
Missed Two Pointer|03:00|307|457||2FGA|P000378   |17|226|EWING, DANIEL|0|31|24|||SOP       ||G|0
Missed Layup|03:00|-69|119||LAYUPATT|PBEJ      |17|228|LONCAR, KRESIMIR|0|31|24|||KHI       ||B|0
Layup Made|03:00|50|81||LAYUPMD|P000378   |17|235|EWING, DANIEL|2|31|26|||SOP       ||C|0
Free Throw In|02:00|-1|-1||FTM|P000378   |18|239|EWING, DANIEL|1|31|27|||SOP       || |0
Three Pointer|02:00|-646|345||3FGM|PAIT      |18|242|LOPEZ, RAUL|3|34|27|||KHI       ||H|0
Missed Layup|02:00|-62|50||LAYUPATT|P002837   |18|243|WILKS, MICHAEL|0|34|27|||SOP       ||B|0
Missed Three Pointer|02:00|6|715||3FGA|PBFX      |18|245|MONYA, SERGEY|0|34|27|||KHI       ||I|0
Three Pointer|01:00|-639|332||3FGM|PLGW      |19|249|BURRELL, RONNIE|3|34|30|||SOP       ||H|0
Missed Two Pointer|01:00|-181|125||2FGA|PBFX      |19|250|MONYA, SERGEY|0|34|30|||KHI       ||B|0
Free Throw In|01:00|-1|-1||FTM|PBTS      |19|254|VARDA, RATKO|1|34|31|||SOP       || |0
Missed Three Pointer|01:00|-194|683||3FGA|P001887   |19|257|LANGFORD, KEITH|0|34|31|||KHI       ||H|0
Free Throw In|01:00|-1|-1||FTM|P000378   |19|268|EWING, DANIEL|1|34|32|||SOP       || |0
Free Throw In|01:00|-1|-1||FTM|P000378   |19|269|EWING, DANIEL|1|34|33|||SOP       || |0
Layup Made|01:00|87|87||LAYUPMD|P001887   |19|270|LANGFORD, KEITH|2|36|33|||KHI       ||C|0
Two Pointer|00:00|-420|87||2FGM|P002873   |20|272|GIDDENS, JUSTIN RAY|2|36|35|||SOP       ||D|0
Free Throw In|00:00|-1|-1||FTM|PBFX      |20|276|MONYA, SERGEY|1|37|35|||KHI       || |0
Missed Two Pointer|00:00|313|382||2FGA|P002837   |20|277|WILKS, MICHAEL|0|37|35|||SOP       ||G|0
Missed Three Pointer|00:00|-12|702||3FGA|P001792   |20|279|ZAYTSEV, VIACHESLAV|0|37|35|||KHI       ||H|0
Three Pointer|09:00|526|526||3FGM|PAFP      |21|298|PLANINIC, ZORAN|3|40|35|||KHI       ||I|0
Layup Made|09:00|25|94||LAYUPMD|PCQO      |21|304|EZE, BENJAMIN|2|42|35|||KHI       ||C|0
Free Throw In|09:00|-1|-1||FTM|PCQO      |21|309|EZE, BENJAMIN|1|43|35|||KHI       || |0
Layup Made|08:00|-131|31||LAYUPMD|P002837   |22|311|WILKS, MICHAEL|2|43|37|||SOP       ||B|0
Missed Layup|08:00|-100|62||LAYUPATT|P002837   |22|314|WILKS, MICHAEL|0|43|37|||SOP       ||B|0
Missed Layup|08:00|-81|75||LAYUPATT|PJHV      |22|316|LAPETA, ADAM|0|43|37|||SOP       ||B|0
Missed Three Pointer|07:00|-639|301||3FGA|PLSK      |23|319|PANIN, VADIM|0|43|37|||KHI       ||H|0
Three Pointer|07:00|-163|683||3FGM|PCIW      |23|322|VIDENOV, FILIP|3|43|40|||SOP       ||H|0
Missed Layup|07:00|-43|119||LAYUPATT|P001887   |23|327|LANGFORD, KEITH|0|43|40|||KHI       ||B|0
Free Throw In|07:00|-1|-1||FTM|PCQO      |23|333|EZE, BENJAMIN|1|44|40|||KHI       || |0
Missed Three Pointer|06:00|-696|100||3FGA|P000592   |24|337|JAGLA, JAN-HENDRICK|0|44|40|||SOP       ||H|0
Free Throw In|06:00|-1|-1||FTM|PCQO      |24|340|EZE, BENJAMIN|1|45|40|||KHI       || |0
