CODETEAM|COMMENT|DORSAL|MARKERTIME|MINUTE|NUMBEROFPLAY|PLAYER|PLAYER_ID|PLAYINFO|PLAYTYPE|POINTS_A|POINTS_B|TEAM|TYPE|Stadium|Local|Visitor|Game
EST       ||24|03:33|37|586|GARCES, RUBEN|JJQ       |Missed Free Throw (3/7 -  11 pt)|FTA|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|03:33|37|587|GARCES, RUBEN|JJQ       |Free Throw In (4/8 -  12 pt)|FTM|78.0|87.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|03:33|37|588|PATTERSON, ANDRAE|CFE       |Assist (2)|AS|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|03:11|37|589|POZZECCO, GIANMARCO|BCU       |Turnover (1)|TO|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|03:02|37|592|PATTERSON, ANDRAE|CFE       |Dunk (5/5 -  17 pt)|DUNK|80.0|87.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|02:35|38|594|BASILE, GIANLUCA|ADS       |Two Pointer (1/4 -  17 pt)|2FGM|80.0|89.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|02:20|38|595|GARCES, RUBEN|JJQ       |Missed Layup (4/12 -  12 pt)|LAYUPATT|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|02:18|38|596|DOUGLAS, RUBEN|JJU       |Def Rebound (4)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       |||01:58|39|598||          |Time Out (1)|TOUT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|01:57|39|599|BASILE, GIANLUCA|ADS       |Missed Layup (1/5 -  17 pt)|LAYUPATT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|01:57|39|600|BASILE, GIANLUCA|ADS       |Shot Rejected (2)|AG|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|01:57|39|601|JASEN, HERNAN|BIL       |Block (2)|FV|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|01:57|39|602|PATTERSON, ANDRAE|CFE       |Def Rebound (10)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||7|01:53|39|603|LONCAR, NIKOLA|BIU       |Layup Made (1/1 -  10 pt)|LAYUPMD|82.0|89.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|01:53|39|604|PATTERSON, ANDRAE|CFE       |Assist (3)|AS|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||21|01:42|39|605|PATTERSON, ANDRAE|CFE       |Foul (2)|CM|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|01:42|39|606|POZZECCO, GIANMARCO|BCU       |Foul Drawn (2)|RV|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|01:20|39|607|JASEN, HERNAN|BIL       |Foul (5)|CM|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||8|01:20|39|608|SMODIS, MATJAZ|ALC       |Foul Drawn (7)|RV|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||10|01:20|39|609|JIMENEZ, CARLOS|AAS       |In|IN|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||14|01:20|39|610|JASEN, HERNAN|BIL       |Out|OUT|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||8|01:20|39|611|SMODIS, MATJAZ|ALC       |Free Throw In (8/8 -  20 pt)|FTM|82.0|90.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||8|01:20|39|612|SMODIS, MATJAZ|ALC       |Free Throw In (9/9 -  21 pt)|FTM|82.0|91.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|01:14|39|613|AZOFRA, IGNACIO|AAP       |Missed Three Pointer (0/1 -  4 pt)|3FGA|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|01:14|39|614|POZZECCO, GIANMARCO|BCU       |Def Rebound (2)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|01:14|39|615|DOUGLAS, RUBEN|JJU       |Layup Made (3/6 -  17 pt)|LAYUPMD|82.0|93.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|01:14|39|616|POZZECCO, GIANMARCO|BCU       |Assist (7)|AS|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|01:14|39|617|DOUGLAS, RUBEN|JJU       |Foul Drawn (5)|RV|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|01:14|39|618|AZOFRA, IGNACIO|AAP       |Foul (3)|CM|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       |||01:14|39|619||          |Time Out (2)|TOUT|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|01:14|39|620|DOUGLAS, RUBEN|JJU       |Missed Free Throw (2/4 -  17 pt)|FTA|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       |||01:14|39|621||          |Def Rebound (5)|D|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|01:03|39|622|POZZECCO, GIANMARCO|BCU       |Foul (1)|CM|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|01:03|39|623|AZOFRA, IGNACIO|AAP       |Foul Drawn (3)|RV|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|01:03|39|624|AZOFRA, IGNACIO|AAP       |Free Throw In (3/3 -  5 pt)|FTM|83.0|93.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|01:03|39|625|AZOFRA, IGNACIO|AAP       |Free Throw In (4/4 -  6 pt)|FTM|84.0|93.0|Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||8|00:45|40|627|SMODIS, MATJAZ|ALC       |Layup Made (4/5 -  23 pt)|LAYUPMD|84.0|95.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|00:45|40|628|POZZECCO, GIANMARCO|BCU       |Assist (8)|AS|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|00:45|40|629|AZOFRA, IGNACIO|AAP       |Missed Three Pointer (0/2 -  6 pt)|3FGA|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|00:45|40|630|DOUGLAS, RUBEN|JJU       |Def Rebound (5)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|00:26|40|631|BASILE, GIANLUCA|ADS       |Foul Drawn (2)|RV|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||12|00:26|40|632|AZOFRA, IGNACIO|AAP       |Foul (4)|CM|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||15|00:26|40|633|LORBEK, ERAZEM|BWL       |In|IN|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||9|00:26|40|634|BELINELLI, MARCO|BCN       |In|IN|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||8|00:26|40|635|SMODIS, MATJAZ|ALC       |Out|OUT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||12|00:26|40|636|POZZECCO, GIANMARCO|BCU       |Out|OUT|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|00:26|40|637|BASILE, GIANLUCA|ADS       |Free Throw In (1/1 -  18 pt)|FTM|84.0|96.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||5|00:26|40|638|BASILE, GIANLUCA|ADS       |Free Throw In (2/2 -  19 pt)|FTM|84.0|97.0|Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
EST       ||24|00:19|40|639|GARCES, RUBEN|JJQ       |Missed Layup (4/13 -  12 pt)|LAYUPATT|||Adecco Estudiantes|0|PALACIO VISTALEGRE|EST|FOR|27
FOR       ||20|00:17|40|640|DOUGLAS, RUBEN|JJU       |Def Rebound (6)|D|||Climamio Bologna|0|PALACIO VISTALEGRE|EST|FOR|27
          ||||41|643||          |End Game|EG||||0|PALACIO VISTALEGRE|EST|FOR|27
