ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Three Pointer|09:00|639|420||3FGM|P001231   |31|388|HALL, MIKE|3|62|38|||MIL       ||I|83
Two Pointer|08:00|326|388||2FGM|PBXR      |32|390|GARDNER, JASON|2|62|40|||OLD       ||G|83
Layup Made|08:00|-125|62||LAYUPMD|P001202   |32|392|FINLEY, MORRIS|2|64|40|||MIL       ||B|83
Missed Two Pointer|08:00|-194|332||2FGA|PCIU      |32|393|MAJSTOROVIC, MILAN|0|64|40|||OLD       ||D|83
Layup Made|08:00|81|100||LAYUPMD|P001910   |32|395|CARTER, JOSHUA|2|64|42|||OLD       ||C|83
Layup Made|07:00|100|94||LAYUPMD|PJZN      |33|397|PETRAVICIUS, MARIUS|2|66|42|||MIL       ||C|83
Missed Three Pointer|07:00|-708|37||3FGA|PCIU      |33|399|MAJSTOROVIC, MILAN|0|66|42|||OLD       ||H|83
Three Pointer|07:00|-395|602||3FGM|PBXR      |33|401|GARDNER, JASON|3|66|45|||OLD       ||H|83
Two Pointer|06:00|-319|6||2FGM|P001907   |34|404|FOSTER, JEKEL|2|66|47|||OLD       ||D|83
Missed Two Pointer|06:00|-432|175||2FGA|P001231   |34|405|HALL, MIKE|0|66|47|||MIL       ||F|83
Missed Three Pointer|06:00|-181|727||3FGA|P000540   |34|407|SCEKIC, MARKO|0|66|47|||OLD       ||H|83
Two Pointer|05:00|232|219||2FGM|PAHU      |35|410|BULLERI, MASSIMO|2|68|47|||MIL       ||E|83
Free Throw In|05:00|-1|-1||FTM|PBXR      |35|415|GARDNER, JASON|1|68|48|||OLD       || |83
Free Throw In|05:00|-1|-1||FTM|PBXR      |35|416|GARDNER, JASON|1|68|49|||OLD       || |83
Missed Three Pointer|05:00|395|595||3FGA|P001231   |35|421|HALL, MIKE|0|68|49|||MIL       ||I|83
Missed Three Pointer|04:00|639|414||3FGA|PCIU      |36|424|MAJSTOROVIC, MILAN|0|68|49|||OLD       ||I|83
Missed Two Pointer|04:00|533|-31||2FGA|P001231   |36|433|HALL, MIKE|0|68|49|||MIL       ||G|83
Two Pointer|03:00|181|106||2FGM|P001895   |37|438|VIGGIANO, JEFFREY|2|70|49|||MIL       ||C|83
Missed Two Pointer|03:00|-539|-62||2FGA|P001910   |37|439|CARTER, JOSHUA|0|70|49|||OLD       ||F|83
Layup Made|03:00|75|112||LAYUPMD|PJCC      |37|442|MACIULIS, JONAS|2|72|49|||MIL       ||C|83
Layup Made|03:00|-175|94||LAYUPMD|P001910   |37|448|CARTER, JOSHUA|2|72|51|||OLD       ||B|83
Missed Layup|02:00|12|131||LAYUPATT|PJZN      |38|451|PETRAVICIUS, MARIUS|0|72|51|||MIL       ||C|83
Three Pointer|02:00|683|-56||3FGM|P001895   |38|458|VIGGIANO, JEFFREY|3|75|51|||MIL       ||I|83
Layup Made|01:00|-62|112||LAYUPMD|PJZN      |39|462|PETRAVICIUS, MARIUS|2|77|51|||MIL       ||B|83
Missed Three Pointer|01:00|677|250||3FGA|PJFX      |39|463|PAULDING, RICKEY|0|77|51|||OLD       ||I|83
Layup Made|00:00|-150|56||LAYUPMD|PJZN      |40|472|PETRAVICIUS, MARIUS|2|79|51|||MIL       ||B|83
Missed Three Pointer|00:00|-564|414||3FGA|P001910   |40|474|CARTER, JOSHUA|0|79|51|||OLD       ||H|83
Missed Three Pointer|09:00|-683|125||3FGA|PJJV      |1|6|ROZIC, MARIN|0|0|0|||CIB       ||H|84
Missed Three Pointer|09:00|539|495||3FGA|PTFD      |1|10|VUKUSIC, VEDRAN|0|0|0|||CIB       ||I|84
Missed Two Pointer|08:00|-382|213||2FGA|P000738   |2|13|KINSEY, TARENCE|0|0|0|||ULK       ||D|84
Missed Three Pointer|08:00|-382|583||3FGA|PCPS      |2|15|TOMAS, MARKO|0|0|0|||CIB       ||H|84
Missed Layup|08:00|-75|43||LAYUPATT|PJYB      |2|19|ERDEN, SEMIH|0|0|0|||ULK       ||B|84
Missed Three Pointer|08:00|470|464||3FGA|PTFD      |2|21|VUKUSIC, VEDRAN|0|0|0|||CIB       ||I|84
Layup Made|08:00|94|31||LAYUPMD|PJYB      |2|23|ERDEN, SEMIH|2|0|2|||ULK       ||C|84
Three Pointer|07:00|577|790||3FGM|PCPS      |3|25|TOMAS, MARKO|3|3|2|||CIB       ||I|84
Missed Three Pointer|07:00|-583|552||3FGA|P000109   |3|28|CETIN, SERHAT|0|3|2|||ULK       ||H|84
Missed Three Pointer|06:00|677|12||3FGA|PLGR      |4|31|BASAK, RASIM|0|3|2|||ULK       ||I|84
Missed Two Pointer|06:00|-250|370||2FGA|PJDQ      |4|41|ANDRIC, LUKSA|0|3|2|||CIB       ||F|84
Dunk|05:00|0|0||DUNK|PJYB      |5|44|ERDEN, SEMIH|2|3|4|||ULK       ||A|84
Three Pointer|05:00|426|558||3FGM|PTFD      |5|46|VUKUSIC, VEDRAN|3|6|4|||CIB       ||I|84
Missed Three Pointer|05:00|690|62||3FGA|PLGA      |5|48|MRSIC, DAMIR|0|6|4|||ULK       ||I|84
Missed Two Pointer|04:00|244|18||2FGA|PJDQ      |6|51|ANDRIC, LUKSA|0|6|4|||CIB       ||C|84
Free Throw In|04:00|-1|-1||FTM|P000109   |6|60|CETIN, SERHAT|1|6|5|||ULK       || |84
Free Throw In|04:00|-1|-1||FTM|P000109   |6|61|CETIN, SERHAT|1|6|6|||ULK       || |84
Two Pointer|04:00|370|112||2FGM|P000109   |6|65|CETIN, SERHAT|2|6|8|||ULK       ||E|84
Layup Made|03:00|94|50||LAYUPMD|PCPS      |7|67|TOMAS, MARKO|2|8|8|||CIB       ||C|84
Layup Made|03:00|-81|43||LAYUPMD|P000738   |7|68|KINSEY, TARENCE|2|8|10|||ULK       ||B|84
Missed Three Pointer|03:00|-508|520||3FGA|P001310   |7|70|GORDON, JAMONT|0|8|10|||CIB       ||H|84
Three Pointer|02:00|62|734||3FGM|P000109   |8|73|CETIN, SERHAT|3|8|13|||ULK       ||I|84
Missed Layup|02:00|-81|69||LAYUPATT|P000009   |8|74|BOGDANOVIC, BOJAN|0|8|13|||CIB       ||B|84
