ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Free Throw In|00:00|-1|-1||FTM|PTFV      |30|420|WOODS, QYNTEL|1|62|61|||SOP       || |81
Missed Layup|00:00|-169|106||LAYUPATT|PTGB      |30|429|LLULL, SERGIO|0|62|61|||MAD       ||B|81
Missed Two Pointer|00:00|426|332||2FGA|PAHV      |30|431|GARBAJOSA, JORGE|0|62|61|||MAD       ||G|81
Layup Made|09:00|150|50||LAYUPMD|P000747   |31|436|SOW, PAPE|2|64|61|||SOP       ||C|81
Missed Two Pointer|09:00|-119|207||2FGA|PAHV      |31|438|GARBAJOSA, JORGE|0|64|61|||MAD       ||D|81
Missed Two Pointer|09:00|-112|269||2FGA|P000747   |31|444|SOW, PAPE|0|64|61|||SOP       ||D|81
Missed Layup|08:00|100|112||LAYUPATT|PAHV      |32|447|GARBAJOSA, JORGE|0|64|61|||MAD       ||C|81
Missed Two Pointer|08:00|6|445||2FGA|PTFV      |32|449|WOODS, QYNTEL|0|64|61|||SOP       ||G|81
Layup Made|08:00|50|169||LAYUPMD|PBJR      |32|451|KAUKENAS, RIMANTAS|2|64|63|||MAD       ||C|81
Missed Two Pointer|08:00|119|213||2FGA|P001711   |32|453|HARRINGTON, JUNIOR|0|64|63|||SOP       ||E|81
Layup Made|08:00|125|119||LAYUPMD|PTFV      |32|457|WOODS, QYNTEL|2|66|63|||SOP       ||C|81
Two Pointer|06:00|282|426||2FGM|PAHV      |34|461|GARBAJOSA, JORGE|2|66|65|||MAD       ||G|81
Layup Made|06:00|119|43||LAYUPMD|P000592   |34|463|JAGLA, JAN-HENDRICK|2|68|65|||SOP       ||C|81
Free Throw In|06:00|-1|-1||FTM|PAAX      |34|476|REYES, FELIPE|1|68|66|||MAD       || |81
