ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Missed Three Pointer|09:00|-31|752||3FGA|PLCC      |1|3|WARREN, CHRIS|0|0|0|||AVE       ||J|0
Missed Layup|09:00|112|6||LAYUPATT|PATW      |1|5|PAPALOUKAS, THEODOROS|0|0|0|||OLY       ||C|0
Missed Layup|09:00|69|18||LAYUPATT|PAPB      |1|7|VUJCIC, NIKOLA|0|0|0|||OLY       ||C|0
Layup Made|09:00|-119|31||LAYUPMD|PKVL      |1|13|BEST, TRAVIS|2|2|0|||AVE       ||D|0
Missed Layup|09:00|56|-12||LAYUPATT|P001225   |1|18|CHILDRESS, JOSH|0|2|0|||OLY       ||C|0
Layup Made|08:00|-43|37||LAYUPMD|PAMM      |2|23|PRINTEZIS, GEORGIOS|2|2|2|||OLY       ||D|0
Missed Layup|08:00|-56|37||LAYUPATT|P001177   |2|24|WILLIAMS, ERIC|0|2|2|||AVE       ||D|0
Dunk|08:00|12|-18||DUNK|P001177   |2|26|WILLIAMS, ERIC|2|4|2|||AVE       ||C|0
Layup Made|07:00|87|43||LAYUPMD|P001225   |3|35|CHILDRESS, JOSH|2|4|4|||OLY       ||C|0
Missed Two Pointer|07:00|-414|18||2FGA|PKQI      |3|37|SLAY, TAMAR|0|4|4|||AVE       ||E|0
Missed Layup|06:00|62|12||LAYUPATT|PAMM      |4|40|PRINTEZIS, GEORGIOS|0|4|4|||OLY       ||C|0
Layup Made|06:00|-75|12||LAYUPMD|PLCC      |4|42|WARREN, CHRIS|2|6|4|||AVE       ||D|0
Missed Two Pointer|06:00|-395|31||2FGA|PLJM      |4|51|CINCIARINI, DANIELE|0|6|4|||AVE       ||E|0
Missed Layup|05:00|100|25||LAYUPATT|PAPB      |5|54|VUJCIC, NIKOLA|0|6|4|||OLY       ||C|0
Missed Layup|05:00|-69|18||LAYUPATT|PLCC      |5|56|WARREN, CHRIS|0|6|4|||AVE       ||D|0
Missed Three Pointer|05:00|608|363||3FGA|PKPH      |5|58|MILOSEVIC, IGOR|0|6|4|||OLY       ||A|0
Three Pointer|05:00|307|621||3FGM|PAVJ      |5|60|TUSEK, MARKO|3|9|4|||AVE       ||G|0
Free Throw In|04:00|-1|-1||FTM|PATW      |6|69|PAPALOUKAS, THEODOROS|1|9|5|||OLY       || |0
Free Throw In|04:00|-1|-1||FTM|PATW      |6|70|PAPALOUKAS, THEODOROS|1|9|6|||OLY       || |0
Missed Three Pointer|04:00|-232|652||3FGA|PKVL      |6|71|BEST, TRAVIS|0|9|6|||AVE       ||J|0
Free Throw In|04:00|-1|-1||FTM|PCRR      |6|81|GREER, LYNN|1|9|7|||OLY       || |0
Layup Made|03:00|-25|81||LAYUPMD|P001172   |7|85|PORTA, ANTONIO|2|11|7|||AVE       ||D|0
Free Throw In|03:00|-1|-1||FTM|PCRR      |7|90|GREER, LYNN|1|11|8|||OLY       || |0
Free Throw In|03:00|-1|-1||FTM|PCRR      |7|91|GREER, LYNN|1|11|9|||OLY       || |0
Free Throw In|03:00|-1|-1||FTM|PCRR      |7|92|GREER, LYNN|1|11|10|||OLY       || |0
Missed Three Pointer|03:00|-131|759||3FGA|PAQE      |7|93|RADULOVIC, NIKOLA|0|11|10|||AVE       ||J|0
Missed Layup|03:00|-87|119||LAYUPATT|P001177   |7|95|WILLIAMS, ERIC|0|11|10|||AVE       ||D|0
Three Pointer|03:00|-363|621||3FGM|PLCC      |7|98|WARREN, CHRIS|3|14|10|||AVE       ||J|0
Missed Layup|03:00|75|62||LAYUPATT|PAPB      |7|99|VUJCIC, NIKOLA|0|14|10|||OLY       ||C|0
Missed Layup|02:00|-282|-31||LAYUPATT|PKVL      |8|109|BEST, TRAVIS|0|14|10|||AVE       ||E|0
Dunk|02:00|43|0||DUNK|PATW      |8|111|PAPALOUKAS, THEODOROS|2|14|12|||OLY       ||C|0
Layup Made|02:00|-106|56||LAYUPMD|PCRR      |8|115|GREER, LYNN|2|14|14|||OLY       ||D|0
Three Pointer|02:00|-564|432||3FGM|PAQE      |8|118|RADULOVIC, NIKOLA|3|17|14|||AVE       ||J|0
Layup Made|02:00|-87|50||LAYUPMD|PTGO      |8|123|CROSARIOL, ANDREA|2|19|14|||AVE       ||D|0
Missed Layup|01:00|-31|150||LAYUPATT|PLCC      |9|135|WARREN, CHRIS|0|19|14|||AVE       ||D|0
Three Pointer|01:00|0|0||3FGM|PKVL      |9|277|BEST, TRAVIS|3|22|14|||AVE       ||A|0
Missed Three Pointer|01:00|345|627||3FGA|PLCC      |9|148|WARREN, CHRIS|0|22|14|||AVE       ||G|0
Layup Made|09:00|87|12||LAYUPMD|PJDR      |11|160|TEODOSIC, MILOS|2|22|16|||OLY       ||C|0
Missed Two Pointer|09:00|-87|583||2FGA|PLCC      |11|161|WARREN, CHRIS|0|22|16|||AVE       ||I|0
Dunk|09:00|-6|0||DUNK|PAQU      |11|163|BOUROUSIS, IOANNIS|2|22|18|||OLY       ||D|0
Layup Made|08:00|238|69||LAYUPMD|PLCC      |12|165|WARREN, CHRIS|2|24|18|||AVE       ||C|0
Layup Made|08:00|100|119||LAYUPMD|PJRF      |12|166|VASILOPOULOS, PANAGIOTIS|2|24|20|||OLY       ||C|0
Three Pointer|08:00|-664|69||3FGM|P000754   |12|171|DIENER, DRAKE|3|27|20|||AVE       ||F|0
Layup Made|08:00|-81|62||LAYUPMD|PJRF      |12|172|VASILOPOULOS, PANAGIOTIS|2|27|22|||OLY       ||D|0
Missed Three Pointer|08:00|-163|683||3FGA|PAVJ      |12|173|TUSEK, MARKO|0|27|22|||AVE       ||J|0
Free Throw In|08:00|-1|-1||FTM|PDHF      |12|177|ERCEG, ZORAN|1|27|23|||OLY       || |0
Free Throw In|08:00|-1|-1||FTM|PDHF      |12|178|ERCEG, ZORAN|1|27|24|||OLY       || |0
Missed Layup|06:00|69|62||LAYUPATT|PAVJ      |14|181|TUSEK, MARKO|0|27|24|||AVE       ||C|0
Missed Layup|06:00|-12|75||LAYUPATT|PJDR      |14|183|TEODOSIC, MILOS|0|27|24|||OLY       ||D|0
Missed Three Pointer|06:00|-100|702||3FGA|PKVL      |14|192|BEST, TRAVIS|0|27|24|||AVE       ||J|0
Missed Three Pointer|05:00|31|683||3FGA|PAQU      |15|195|BOUROUSIS, IOANNIS|0|27|24|||OLY       ||G|0
Missed Three Pointer|05:00|382|589||3FGA|P000754   |15|197|DIENER, DRAKE|0|27|24|||AVE       ||G|0
Missed Layup|05:00|81|87||LAYUPATT|PAOZ      |15|201|HALPERIN, YOTAM|0|27|24|||OLY       ||C|0
Layup Made|05:00|56|37||LAYUPMD|PAOZ      |15|203|HALPERIN, YOTAM|2|27|26|||OLY       ||C|0
Free Throw In|05:00|-1|-1||FTM|P001177   |15|210|WILLIAMS, ERIC|1|28|26|||AVE       || |0
Free Throw In|05:00|-1|-1||FTM|P001177   |15|211|WILLIAMS, ERIC|1|29|26|||AVE       || |0
Three Pointer|05:00|677|119||3FGM|PDHF      |15|214|ERCEG, ZORAN|3|29|29|||OLY       ||A|0
Three Pointer|04:00|-313|658||3FGM|PKVL      |16|217|BEST, TRAVIS|3|32|29|||AVE       ||J|0
Layup Made|04:00|-106|12||LAYUPMD|PDHF      |16|218|ERCEG, ZORAN|2|32|31|||OLY       ||D|0
Missed Three Pointer|04:00|-125|696||3FGA|PAVJ      |16|220|TUSEK, MARKO|0|32|31|||AVE       ||J|0
Layup Made|04:00|-18|62||LAYUPMD|P001225   |16|225|CHILDRESS, JOSH|2|32|33|||OLY       ||D|0
Missed Layup|03:00|-69|56||LAYUPATT|PKQI      |17|227|SLAY, TAMAR|0|32|33|||AVE       ||D|0
