ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Three Pointer|09:00|515|479||3FGM|PCBX      |1|2|PRIGIONI, PABLO|3|0|3|||BAS       ||G|0
Missed Two Pointer|09:00|-2|451||2FGA|PTFV      |1|4|WOODS, QYNTEL|0|0|3|||OLY       ||I|0
Two Pointer|09:00|-33|17||2FGM|PCBV      |1|8|MACIJAUSKAS, ARVYDAS|2|2|3|||OLY       ||D|0
Two Pointer|08:00|17|33||2FGM|PCBY      |2|10|SPLITTER, TIAGO|2|2|5|||BAS       ||C|0
Missed Two Pointer|08:00|43|76||2FGA|P000126   |2|12|JACKSON, MARC|0|2|5|||OLY       ||C|0
Missed Two Pointer|08:00|-5|12||2FGA|PANB      |2|14|RAKOCEVIC, IGOR|0|2|5|||BAS       ||D|0
Missed Two Pointer|08:00|-17|41||2FGAB|P000126   |2|16|JACKSON, MARC|0|2|5|||OLY       ||D|0
Two Pointer|08:00|-5|48||2FGM|PCBV      |2|22|MACIJAUSKAS, ARVYDAS|2|4|5|||OLY       ||D|0
Missed Three Pointer|07:00|10|676||3FGA|PCBX      |3|25|PRIGIONI, PABLO|0|4|5|||BAS       ||G|0
Two Pointer|07:00|15|61||2FGM|P000126   |3|27|JACKSON, MARC|2|6|5|||OLY       ||C|0
Missed Two Pointer|06:00|-397|212||2FGA|PAQU      |4|32|BOUROUSIS, IOANNIS|0|6|5|||OLY       ||E|0
Missed Three Pointer|06:00|-43|689||3FGA|PCRR      |4|34|GREER, LYNN TERENCE|0|6|5|||OLY       ||J|0
Three Pointer|06:00|592|323||3FGM|PANB      |4|35|RAKOCEVIC, IGOR|3|6|8|||BAS       ||A|0
Missed Two Pointer|06:00|-17|469||2FGA|PCBV      |4|36|MACIJAUSKAS, ARVYDAS|0|6|8|||OLY       ||I|0
Missed Three Pointer|06:00|471|533||3FGA|PTFV      |4|38|WOODS, QYNTEL|0|6|8|||OLY       ||G|0
Two Pointer|05:00|-402|189||2FGM|PCBV      |5|45|MACIJAUSKAS, ARVYDAS|2|8|8|||OLY       ||E|0
Missed Two Pointer|05:00|-294|264||2FGA|PANB      |5|48|RAKOCEVIC, IGOR|0|8|8|||BAS       ||E|0
Missed Two Pointer|05:00|302|289||2FGA|PCRR      |5|50|GREER, LYNN TERENCE|0|8|8|||OLY       ||B|0
Three Pointer|05:00|-551|423||3FGM|PJZJ      |5|51|TELETOVIC, MIRZA|3|8|11|||BAS       ||F|0
Three Pointer|05:00|17|669||3FGM|PTFV      |5|53|WOODS, QYNTEL|3|11|11|||OLY       ||G|0
Missed Two Pointer|04:00|0|479||2FGA|PJZJ      |6|56|TELETOVIC, MIRZA|0|11|11|||BAS       ||I|0
Missed Two Pointer|04:00|38|41||2FGAB|PCBY      |6|58|SPLITTER, TIAGO|0|11|11|||BAS       ||C|0
Missed Three Pointer|04:00|-479|482||3FGA|PJWO      |6|61|MICKEAL, PETE|0|11|11|||BAS       ||J|0
Two Pointer|04:00|-10|456||2FGM|PCBY      |6|63|SPLITTER, TIAGO|2|11|13|||BAS       ||I|0
Two Pointer|04:00|353|207||2FGM|PCRR      |6|65|GREER, LYNN TERENCE|2|13|13|||OLY       ||B|0
Missed Three Pointer|04:00|628|276||3FGA|PJZJ      |6|66|TELETOVIC, MIRZA|0|13|13|||BAS       ||A|0
Missed Two Pointer|03:00|-402|46||2FGA|PCBV      |7|72|MACIJAUSKAS, ARVYDAS|0|13|13|||OLY       ||E|0
Missed Two Pointer|03:00|38|35||2FGA|PJZJ      |7|75|TELETOVIC, MIRZA|0|13|13|||BAS       ||C|0
Missed Two Pointer|03:00|41|23||2FGAB|PJZJ      |7|76|TELETOVIC, MIRZA|0|13|13|||BAS       ||C|0
Missed Two Pointer|03:00|-2|28||2FGA|PANB      |7|79|RAKOCEVIC, IGOR|0|13|13|||BAS       ||D|0
Missed Two Pointer|03:00|20|41||2FGA|PJZJ      |7|81|TELETOVIC, MIRZA|0|13|13|||BAS       ||C|0
Missed Two Pointer|03:00|35|25||2FGA|PJZJ      |7|85|TELETOVIC, MIRZA|0|13|13|||BAS       ||C|0
Missed Two Pointer|03:00|28|41||2FGA|PJWO      |7|86|MICKEAL, PETE|0|13|13|||BAS       ||C|0
Free Throw In|02:00|-1|-1||FTM|PCBV      |8|98|MACIJAUSKAS, ARVYDAS|1|14|13|||OLY       || |0
Free Throw In|02:00|-1|-1||FTM|PCBY      |8|103|SPLITTER, TIAGO|1|14|14|||BAS       || |0
Free Throw In|02:00|-1|-1||FTM|PCRR      |8|112|GREER, LYNN TERENCE|1|15|14|||OLY       || |0
Free Throw In|02:00|-1|-1||FTM|PCRR      |8|113|GREER, LYNN TERENCE|1|16|14|||OLY       || |0
Two Pointer|02:00|35|38||2FGM|PJZJ      |8|118|TELETOVIC, MIRZA|2|16|16|||BAS       ||C|0
Free Throw In|01:00|-1|-1||FTM|PCRR      |9|124|GREER, LYNN TERENCE|1|17|16|||OLY       || |0
Free Throw In|01:00|-1|-1||FTM|PCRR      |9|125|GREER, LYNN TERENCE|1|18|16|||OLY       || |0
Missed Two Pointer|01:00|20|7||2FGA|PANB      |9|128|RAKOCEVIC, IGOR|0|18|16|||BAS       ||C|0
Missed Two Pointer|01:00|0|33||2FGAB|PANB      |9|129|RAKOCEVIC, IGOR|0|18|16|||BAS       ||D|0
Three Pointer|01:00|12|679||3FGM|PAQU      |9|133|BOUROUSIS, IOANNIS|3|21|16|||OLY       ||G|0
Missed Two Pointer|01:00|25|43||2FGA|PAFP      |9|135|PLANINIC, ZORAN|0|21|16|||BAS       ||C|0
Two Pointer|01:00|7|28||2FGM|PCBY      |9|137|SPLITTER, TIAGO|2|21|18|||BAS       ||C|0
Three Pointer|00:00|10|674||3FGM|P000126   |10|139|JACKSON, MARC|3|24|18|||OLY       ||G|0
Two Pointer|00:00|-141|576||2FGM|PAFP      |10|142|PLANINIC, ZORAN|2|24|20|||BAS       ||I|0
Missed Two Pointer|00:00|5|35||2FGA|PCRR      |10|143|GREER, LYNN TERENCE|0|24|20|||OLY       ||C|0
Free Throw In|00:00|-1|-1||FTM|P000126   |10|149|JACKSON, MARC|1|25|20|||OLY       || |0
Free Throw In|00:00|-1|-1||FTM|P000126   |10|150|JACKSON, MARC|1|26|20|||OLY       || |0
Missed Three Pointer|00:00|-671|-105||3FGA|PAFP      |10|155|PLANINIC, ZORAN|0|26|20|||BAS       ||F|0
Two Pointer|09:00|-38|30||2FGM|PCRR      |11|167|GREER, LYNN TERENCE|2|28|20|||OLY       ||D|0
Missed Two Pointer|09:00|10|48||2FGA|P000126   |11|170|JACKSON, MARC|0|28|20|||OLY       ||C|0
Two Pointer|08:00|138|143||2FGM|PAFP      |12|177|PLANINIC, ZORAN|2|28|22|||BAS       ||C|0
Missed Two Pointer|08:00|-5|43||2FGA|P000126   |12|179|JACKSON, MARC|0|28|22|||OLY       ||D|0
Missed Three Pointer|08:00|-623|197||3FGA|PCBV      |12|181|MACIJAUSKAS, ARVYDAS|0|28|22|||OLY       ||F|0
Two Pointer|08:00|10|48||2FGM|PAQU      |12|183|BOUROUSIS, IOANNIS|2|30|22|||OLY       ||C|0
Free Throw In|08:00|-1|-1||FTM|PAQU      |12|187|BOUROUSIS, IOANNIS|1|31|22|||OLY       || |0
Two Pointer|08:00|5|28||2FGM|PAFP      |12|190|PLANINIC, ZORAN|2|31|24|||BAS       ||C|0
Missed Two Pointer|07:00|-15|525||2FGA|P000126   |13|192|JACKSON, MARC|0|31|24|||OLY       ||I|0
Two Pointer|07:00|-7|33||2FGM|PTFV      |13|196|WOODS, QYNTEL|2|33|24|||OLY       ||D|0
Free Throw In|07:00|-1|-1||FTM|PAJK      |13|199|VIDAL, SERGI|1|33|25|||BAS       || |0
Three Pointer|07:00|-628|312||3FGM|PTFV      |13|202|WOODS, QYNTEL|3|36|25|||OLY       ||F|0
Two Pointer|07:00|0|5||2FGM|PJTT      |13|204|MCDONALD, WILL|2|36|27|||BAS       ||D|0
Two Pointer|06:00|7|61||2FGM|P000126   |14|207|JACKSON, MARC|2|38|27|||OLY       ||C|0
Free Throw In|06:00|-1|-1||FTM|P000126   |14|221|JACKSON, MARC|1|39|27|||OLY       || |0
Free Throw In|06:00|-1|-1||FTM|P000126   |14|222|JACKSON, MARC|1|40|27|||OLY       || |0
Missed Two Pointer|06:00|30|53||2FGAB|PJTT      |14|225|MCDONALD, WILL|0|40|27|||BAS       ||C|0
Two Pointer|05:00|-12|48||2FGM|PCRR      |15|236|GREER, LYNN TERENCE|2|42|27|||OLY       ||D|0
Missed Three Pointer|05:00|-594|335||3FGA|PCBX      |15|238|PRIGIONI, PABLO|0|42|27|||BAS       ||F|0
Missed Three Pointer|05:00|-664|156||3FGA|PJZJ      |15|240|TELETOVIC, MIRZA|0|42|27|||BAS       ||F|0
Two Pointer|05:00|-2|135||2FGM|P000126   |15|242|JACKSON, MARC|2|44|27|||OLY       ||D|0
Missed Two Pointer|05:00|2|46||2FGA|PAFP      |15|243|PLANINIC, ZORAN|0|44|27|||BAS       ||D|0
Missed Two Pointer|04:00|-102|107||2FGA|PANB      |16|248|RAKOCEVIC, IGOR|0|44|27|||BAS       ||D|0
Missed Two Pointer|04:00|7|41||2FGA|PJZJ      |16|250|TELETOVIC, MIRZA|0|44|27|||BAS       ||C|0
Two Pointer|04:00|12|2||2FGM|PJZJ      |16|252|TELETOVIC, MIRZA|2|44|29|||BAS       ||C|0
Free Throw In|04:00|-1|-1||FTM|PCRR      |16|255|GREER, LYNN TERENCE|1|45|29|||OLY       || |0
Free Throw In|04:00|-1|-1||FTM|PCRR      |16|256|GREER, LYNN TERENCE|1|46|29|||OLY       || |0
Two Pointer|04:00|-56|82||2FGM|PCBY      |16|257|SPLITTER, TIAGO|2|46|31|||BAS       ||D|0
Missed Two Pointer|03:00|-23|356||2FGA|PCBV      |17|260|MACIJAUSKAS, ARVYDAS|0|46|31|||OLY       ||D|0
Missed Three Pointer|03:00|-251|633||3FGA|PAFP      |17|262|PLANINIC, ZORAN|0|46|31|||BAS       ||J|0
Missed Two Pointer|03:00|-15|448||2FGA|PCBY      |17|265|SPLITTER, TIAGO|0|46|31|||BAS       ||I|0
Three Pointer|03:00|338|571||3FGM|PANB      |17|270|RAKOCEVIC, IGOR|3|46|34|||BAS       ||G|0
Two Pointer|02:00|-25|458||2FGM|P000126   |18|273|JACKSON, MARC|2|48|34|||OLY       ||I|0
Three Pointer|02:00|576|402||3FGM|PCBX      |18|274|PRIGIONI, PABLO|3|48|37|||BAS       ||A|0
Three Pointer|02:00|-266|669||3FGM|PCRR      |18|276|GREER, LYNN TERENCE|3|51|37|||OLY       ||J|0
Missed Two Pointer|02:00|0|92||2FGAB|PAFP      |18|277|PLANINIC, ZORAN|0|51|37|||BAS       ||D|0
Missed Three Pointer|01:00|658|64||3FGA|PCBX      |19|286|PRIGIONI, PABLO|0|51|37|||BAS       ||A|0
Missed Three Pointer|01:00|292|643||3FGA|PJDR      |19|288|TEODOSIC, MILOS|0|51|37|||OLY       ||G|0
Missed Three Pointer|01:00|356|258||3FGA|PCBX      |19|291|PRIGIONI, PABLO|0|51|37|||BAS       ||B|0
Two Pointer|00:00|10|125||2FGM|PJDR      |20|294|TEODOSIC, MILOS|2|53|37|||OLY       ||C|0
Free Throw In|00:00|-1|-1||FTM|PCBV      |20|301|MACIJAUSKAS, ARVYDAS|1|54|37|||OLY       || |0
Free Throw In|00:00|-1|-1||FTM|PCBV      |20|302|MACIJAUSKAS, ARVYDAS|1|55|37|||OLY       || |0
Missed Two Pointer|00:00|-38|51||2FGA|PCRR      |20|305|GREER, LYNN TERENCE|0|55|37|||OLY       ||D|0
Missed Two Pointer|00:00|-5|48||2FGA|PAFP      |20|307|PLANINIC, ZORAN|0|55|37|||BAS       ||D|0
Missed Two Pointer|00:00|2|79||2FGA|PCRR      |20|318|GREER, LYNN TERENCE|0|55|37|||OLY       ||D|0
Three Pointer|09:00|-51|702||3FGM|P000126   |21|334|JACKSON, MARC|3|58|37|||OLY       ||J|0
Missed Three Pointer|09:00|-292|638||3FGA|PCBX      |21|336|PRIGIONI, PABLO|0|58|37|||BAS       ||J|0
Two Pointer|09:00|-25|35||2FGM|PJZJ      |21|338|TELETOVIC, MIRZA|2|58|39|||BAS       ||D|0
Missed Two Pointer|08:00|292|464||2FGA|P000126   |22|340|JACKSON, MARC|0|58|39|||OLY       ||H|0
Missed Three Pointer|08:00|-420|535||3FGA|PCRR      |22|345|GREER, LYNN TERENCE|0|58|39|||OLY       ||J|0
Three Pointer|08:00|-246|646||3FGM|PAFP      |22|347|PLANINIC, ZORAN|3|58|42|||BAS       ||J|0
Two Pointer|08:00|-351|320||2FGM|PTFV      |22|349|WOODS, QYNTEL|2|60|42|||OLY       ||E|0
Three Pointer|08:00|-7|682||3FGM|PJZJ      |22|352|TELETOVIC, MIRZA|3|60|45|||BAS       ||J|0
Two Pointer|08:00|-30|38||2FGM|PJTT      |22|358|MCDONALD, WILL|2|60|47|||BAS       ||D|0
Free Throw In|07:00|-1|-1||FTM|PJTT      |23|361|MCDONALD, WILL|1|60|48|||BAS       || |0
Two Pointer|07:00|-28|33||2FGM|PAFP      |23|365|PLANINIC, ZORAN|2|60|50|||BAS       ||D|0
Missed Two Pointer|06:00|-53|107||2FGA|P000126   |24|367|JACKSON, MARC|0|60|50|||OLY       ||D|0
Two Pointer|06:00|-33|51||2FGM|PJTT      |24|369|MCDONALD, WILL|2|60|52|||BAS       ||D|0
Two Pointer|05:00|261|428||2FGM|P000126   |25|376|JACKSON, MARC|2|62|52|||OLY       ||H|0
Free Throw In|05:00|-1|-1||FTM|P000126   |25|379|JACKSON, MARC|1|63|52|||OLY       || |0
Three Pointer|05:00|-264|620||3FGM|PAFP      |25|380|PLANINIC, ZORAN|3|63|55|||BAS       ||J|0
Missed Three Pointer|05:00|-666|146||3FGA|PAQU      |25|382|BOUROUSIS, IOANNIS|0|63|55|||OLY       ||F|0
Free Throw In|05:00|-1|-1||FTM|PJZJ      |25|386|TELETOVIC, MIRZA|1|63|56|||BAS       || |0
Free Throw In|05:00|-1|-1||FTM|PJZJ      |25|387|TELETOVIC, MIRZA|1|63|57|||BAS       || |0
Missed Two Pointer|05:00|-276|464||2FGA|PTFV      |25|392|WOODS, QYNTEL|0|63|57|||OLY       ||I|0
Free Throw In|05:00|-1|-1||FTM|PCBX      |25|396|PRIGIONI, PABLO|1|63|58|||BAS       || |0
Free Throw In|05:00|-1|-1||FTM|PCBX      |25|397|PRIGIONI, PABLO|1|63|59|||BAS       || |0
Missed Three Pointer|04:00|107|664||3FGA|PCRR      |26|402|GREER, LYNN TERENCE|0|63|59|||OLY       ||G|0
Three Pointer|04:00|317|594||3FGM|PAFP      |26|404|PLANINIC, ZORAN|3|63|62|||BAS       ||G|0
