Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Sergio Llull;30;27.5;3.6;8.2;437;1.8;4.7;379;1.8;3.5;514;1.5;1.9;821;0.2;1.5;1.7;5.8;0.8;0.1;0.8;1.8;10.4;Real Madrid;15
Felipe Reyes;30;19.1;3.7;7.4;502;0.2;0.6;294;3.6;6.9;519;3.1;3.8;814;2.5;2.6;5.1;1.0;0.5;0.3;0.9;2.5;10.7;Real Madrid;15
Jaycee Carroll;30;17.7;3.4;6.6;523;1.7;3.5;481;1.8;3.1;570;1.0;1.2;886;0.5;1.6;2.0;0.7;0.5;0.0;0.6;1.3;9.6;Real Madrid;15
K.C. Rivers;30;17.0;2.0;4.6;432;1.0;2.4;411;1.0;2.2;455;0.3;0.3;1000;0.4;1.9;2.3;1.1;0.6;0.0;0.4;1.6;5.3;Real Madrid;15
Gustavo Ayon;29;18.7;3.6;5.8;623;0.0;0.0;0;3.6;5.8;623;0.9;1.2;794;1.7;2.9;4.5;1.9;1.1;0.6;1.2;2.3;8.1;Real Madrid;15
Andres Nocioni;29;17.7;3.1;6.7;461;1.2;3.1;374;1.9;3.5;539;1.3;1.7;796;0.7;3.1;3.9;0.5;0.2;0.3;0.9;2.5;8.7;Real Madrid;15
Sergio Rodriguez;28;21.6;3.9;8.8;437;1.5;4.0;381;2.3;4.8;485;1.8;2.2;836;0.2;1.2;1.4;5.1;1.0;0.0;1.3;1.6;11.1;Real Madrid;15
Ioannis Bourousis;28;11.9;1.9;3.8;505;0.1;0.4;200;1.8;3.4;537;1.1;1.6;727;1.0;2.4;3.3;0.9;0.5;0.4;0.9;1.7;5.0;Real Madrid;15
Jonas Maciulis;27;14.0;1.3;3.4;370;0.6;1.7;333;0.7;1.7;404;0.8;1.1;724;0.8;1.6;2.4;1.0;0.6;0.1;0.7;1.5;3.9;Real Madrid;15
Marcus Slaughter;27;12.2;1.2;1.9;640;0.0;0.0;0;1.2;1.9;640;0.6;1.2;485;0.6;1.6;2.1;0.6;1.0;0.2;0.3;2.3;3.0;Real Madrid;15
Rudy Fernandez;25;27.4;4.0;9.7;416;2.0;5.5;355;2.1;4.2;495;2.6;3.0;892;0.8;2.6;3.4;3.3;1.5;0.1;1.3;1.6;12.7;Real Madrid;15
Facundo Campazzo;11;8.6;0.9;1.9;476;0.4;1.0;364;0.5;0.9;600;0.6;0.9;700;0.0;0.5;0.5;2.0;0.5;0.1;0.7;1.7;2.8;Real Madrid;15
Salah Mejri;9;9.7;1.7;2.8;600;0.0;0.1;0;1.7;2.7;625;1.1;2.3;476;1.0;1.3;2.3;0.1;0.4;0.8;0.9;1.4;4.4;Real Madrid;15
Andrey Vorontsevich;30;25.7;3.1;6.9;447;1.2;3.3;370;1.8;3.5;519;1.0;1.3;769;1.6;4.1;5.7;2.2;0.6;0.9;0.9;2.0;8.4;CSKA Moscow;15
Sasha Kaun;30;20.1;3.7;5.4;691;0.0;0.0;0;3.7;5.4;691;2.5;3.7;673;1.7;2.8;4.5;0.5;0.4;0.9;1.0;1.9;9.9;CSKA Moscow;15
Kyle Hines;30;17.5;2.6;4.3;612;0.0;0.1;0;2.6;4.2;622;1.5;2.2;682;1.9;2.4;4.3;0.5;0.6;0.8;0.7;2.2;6.8;CSKA Moscow;15
Nando De Colo;28;24.4;4.8;9.7;493;1.1;2.4;471;3.6;7.3;500;3.7;4.0;920;0.5;2.7;3.2;3.1;1.3;0.0;1.8;2.2;14.4;CSKA Moscow;15
Aaron Jackson;28;21.7;2.8;5.1;542;0.7;1.8;408;2.0;3.3;613;1.0;1.3;771;0.6;1.8;2.4;3.1;0.9;0.0;1.0;1.4;7.2;CSKA Moscow;15
Demetris Nichols;27;12.3;1.7;3.0;556;0.9;1.5;575;0.8;1.5;537;0.4;0.4;833;0.5;1.5;2.0;0.3;0.6;0.4;0.7;1.7;4.6;CSKA Moscow;15
Sonny Weems;26;26.9;4.9;11.6;425;1.8;4.8;371;3.2;6.8;463;1.5;1.8;792;0.5;3.4;4.0;3.5;1.0;0.2;2.2;2.5;13.1;CSKA Moscow;15
Milos Teodosic;24;28.2;4.7;10.9;431;2.9;7.2;405;1.8;3.7;483;2.4;2.8;866;0.3;2.6;2.8;7.0;0.8;0.0;3.7;2.8;14.8;CSKA Moscow;15
Vitaly Fridzon;23;18.3;2.5;6.0;417;1.3;3.1;423;1.2;3.0;412;1.5;1.7;872;0.5;1.8;2.3;1.4;0.7;0.1;1.0;2.6;7.8;CSKA Moscow;15
Pavel Korobkov;19;9.0;1.1;1.4;741;0.2;0.2;1000;0.8;1.2;696;0.6;0.7;786;0.5;0.8;1.3;0.3;0.2;0.5;0.6;1.7;2.9;CSKA Moscow;15
Manuchar Markoishvili;18;10.7;1.2;2.6;457;0.5;1.4;360;0.7;1.2;571;0.7;0.8;867;0.4;0.8;1.2;0.8;0.4;0.1;0.3;2.1;3.6;CSKA Moscow;15
Andrei Kirilenko;11;19.3;2.6;5.1;518;0.5;1.2;462;2.1;3.9;535;2.7;4.0;682;1.2;4.1;5.3;1.2;1.1;1.2;0.8;2.1;8.5;CSKA Moscow;15
Victor Khryapa;11;8.0;0.4;1.5;250;0.1;0.6;143;0.3;0.8;333;0.5;0.5;833;0.4;1.5;1.8;1.2;0.3;0.5;0.8;0.8;1.3;CSKA Moscow;15
Ivan Strebkov;8;5.0;0.6;1.8;357;0.5;1.5;333;0.1;0.3;500;0.3;0.3;1000;0.1;0.0;0.1;0.3;0.1;0.0;0.4;1.4;2.0;CSKA Moscow;15
Aleksey Zozulin;6;5.3;0.7;0.8;800;0.5;0.7;750;0.2;0.2;1000;0.2;0.3;500;0.5;0.7;1.2;0.2;0.0;0.2;0.0;0.7;2.0;CSKA Moscow;15
Anton Astapkovich;3;5.3;0.7;2.0;333;0.3;1.7;200;0.3;0.3;1000;0.0;0.0;0;0.0;0.7;0.7;1.3;0.0;0.0;0.3;0.3;1.7;CSKA Moscow;15
Vangelis Mantzaris;29;22.4;1.8;4.1;433;1.1;2.9;365;0.7;1.2;600;0.5;0.8;609;0.4;1.8;2.2;2.5;0.6;0.0;1.0;2.7;5.1;Olympiakos;15
Bryant Dunston;29;19.4;2.6;4.8;543;0.0;0.0;0;2.6;4.7;547;1.9;3.1;618;1.7;2.7;4.4;0.6;0.8;1.1;0.9;3.0;7.1;Olympiakos;15
Othello Hunter;29;19.0;3.7;6.0;615;0.0;0.0;0;3.7;6.0;615;0.9;1.4;625;1.6;3.2;4.8;0.6;0.4;0.4;1.1;2.6;8.2;Olympiakos;15
Oliver Lafayette;29;18.3;2.3;5.9;386;1.5;3.8;404;0.8;2.1;355;0.7;1.1;606;0.2;1.9;2.1;2.6;0.5;0.0;0.8;1.8;6.8;Olympiakos;15
Kostas Sloukas;29;18.0;1.9;5.2;362;0.6;1.8;346;1.3;3.4;370;2.3;2.6;868;0.3;1.7;1.9;3.1;0.6;0.1;1.3;1.6;6.7;Olympiakos;15
Tremmell Darden;27;15.7;1.6;4.1;387;0.3;1.3;265;1.3;2.9;442;0.7;0.9;783;0.6;1.2;1.8;0.5;0.5;0.4;0.7;1.4;4.2;Olympiakos;15
Vassilis Spanoulis;26;28.1;4.2;10.7;396;1.9;5.8;333;2.3;4.9;469;4.0;5.3;759;0.2;1.6;1.8;5.5;0.8;0.1;3.1;2.2;14.4;Olympiakos;15
Matt Lojeski;25;24.2;3.7;7.5;489;1.5;3.5;432;2.2;4.0;540;0.6;1.0;625;0.5;3.3;3.8;1.6;1.0;0.3;1.0;1.7;9.5;Olympiakos;15
Brent Petway;24;18.3;1.9;4.5;421;1.0;3.0;329;0.9;1.4;618;0.8;1.0;783;0.8;2.8;3.7;1.0;0.4;0.8;0.5;2.3;5.5;Olympiakos;15
Georgios Printezis;20;25.3;4.5;9.2;486;0.9;3.0;300;3.6;6.2;577;2.4;3.5;696;1.1;3.8;4.9;1.0;0.2;0.1;1.1;1.6;12.2;Olympiakos;15
Dimitrios Agravanis;20;12.5;1.7;4.0;425;0.4;1.7;235;1.3;2.3;565;0.3;0.6;417;0.9;1.8;2.7;0.4;0.3;0.4;0.3;2.8;4.1;Olympiakos;15
Dimitrios Katsivelis;12;6.3;0.4;0.9;455;0.2;0.5;333;0.3;0.4;600;0.0;0.3;0;0.1;0.7;0.8;0.3;0.2;0.1;0.3;0.9;1.0;Olympiakos;15
Ioannis Papapetrou;11;10.4;1.5;3.0;485;0.5;1.4;400;0.9;1.6;556;0.2;0.4;500;0.2;1.1;1.3;0.4;0.4;0.0;0.5;1.8;3.6;Olympiakos;15
Vassilis Kavvadas;11;5.4;0.4;1.3;286;0.0;0.0;0;0.4;1.3;286;0.3;0.7;375;0.6;0.7;1.4;0.2;0.1;0.1;0.6;1.5;1.0;Olympiakos;15
Michalis Tsairelis;1;3.0;1.0;1.0;1000;0.0;0.0;0;1.0;1.0;1000;0.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;Olympiakos;15
Andreas Christodoulou;1;1.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Olympiakos;15
Andrew Goudelock;29;29.8;6.7;13.0;511;2.4;5.3;461;4.2;7.7;545;1.2;1.7;750;0.3;1.9;2.2;2.1;0.7;0.1;1.5;1.8;17.0;Fenerbahce Ulker;15
