Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Kyle Hines;36;19.6;2.9;5.0;580;0.0;0.0;0;2.9;5.0;580;1.5;2.3;631;1.8;1.8;3.6;1.4;0.7;0.7;1.0;2.6;7.3;CSKA Moscow;19
Othello Hunter;36;17.9;3.3;5.5;596;0.0;0.0;0;3.3;5.5;596;1.1;1.5;727;1.9;2.4;4.3;0.9;0.5;0.4;0.8;2.3;7.7;CSKA Moscow;19
Alec Peters;36;16.3;1.8;4.2;420;1.1;2.5;433;0.7;1.7;400;0.7;0.8;893;0.7;2.0;2.7;0.7;0.5;0.1;0.6;2.4;5.3;CSKA Moscow;19
Will Clyburn;35;27.0;4.6;9.8;474;1.0;2.8;343;3.7;6.9;527;3.3;4.5;745;1.7;5.1;6.8;1.5;1.0;0.2;1.4;1.9;13.6;CSKA Moscow;19
Sergio Rodriguez;35;21.9;3.6;8.6;421;1.9;4.9;392;1.7;3.7;458;1.0;1.2;878;0.3;1.3;1.5;4.5;0.7;0.1;2.2;2.1;10.2;CSKA Moscow;19
Daniel Hackett;35;17.3;1.8;4.1;434;0.6;1.5;392;1.2;2.6;457;1.9;2.3;825;0.3;1.5;1.8;1.7;0.6;0.0;1.0;3.0;6.0;CSKA Moscow;19
Nando De Colo;34;24.2;4.7;9.4;500;1.7;4.0;431;3.0;5.4;552;3.6;3.8;946;0.5;2.0;2.5;3.4;0.9;0.0;2.1;1.8;14.7;CSKA Moscow;19
Nikita Kurbanov;34;17.8;1.9;3.2;596;0.7;1.4;511;1.2;1.8;661;1.2;1.4;833;1.0;2.5;3.5;0.8;0.5;0.2;0.8;2.0;5.7;CSKA Moscow;19
Cory Higgins;32;25.4;4.9;9.9;492;1.6;3.3;490;3.3;6.7;493;3.5;3.9;897;0.6;1.6;2.2;1.8;0.4;0.3;1.3;2.5;14.9;CSKA Moscow;19
Joel Bolomboy;28;9.3;1.0;1.9;538;0.2;0.5;462;0.8;1.4;564;0.4;0.7;600;1.0;1.0;1.9;0.4;0.1;0.3;0.2;1.5;2.6;CSKA Moscow;19
Semen Antonov;21;7.1;0.5;1.6;324;0.1;0.7;133;0.4;0.9;474;0.2;0.4;556;0.6;0.5;1.0;0.1;0.1;0.1;0.0;1.2;1.4;CSKA Moscow;19
Andrey Vorontsevich;19;10.1;0.6;2.4;261;0.5;1.7;303;0.1;0.7;154;0.4;0.4;1000;0.5;1.1;1.6;0.7;0.3;0.2;0.3;1.1;2.2;CSKA Moscow;19
Ivan Ukhov;13;5.5;0.8;1.2;625;0.1;0.4;200;0.7;0.8;818;0.1;0.1;1000;0.1;0.7;0.8;0.6;0.2;0.0;0.4;0.7;1.7;CSKA Moscow;19
Mikhail Kulagin;9;5.8;0.6;1.9;294;0.4;1.3;333;0.1;0.6;200;0.2;0.2;1000;0.0;0.0;0.0;0.7;0.0;0.0;0.6;1.0;1.8;CSKA Moscow;19
Andrei Lopatin;1;5.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;CSKA Moscow;19
Alexander Khomenko;1;2.0;1.0;2.0;500;0.0;1.0;0;1.0;1.0;1000;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;CSKA Moscow;19
Adrien Moerman;37;29.1;4.8;9.3;516;1.5;3.7;401;3.3;5.6;592;0.9;1.1;872;1.3;4.8;6.1;1.5;1.1;0.3;1.1;1.9;12.0;Anadolu Efes;19
Vasilije Micic;37;28.2;4.5;9.5;474;1.8;4.8;371;2.7;4.7;580;1.6;1.9;819;0.2;1.9;2.2;5.5;1.0;0.1;2.8;2.7;12.4;Anadolu Efes;19
Krunoslav Simon;37;24.8;3.2;6.5;483;1.5;3.8;403;1.6;2.8;592;1.6;1.9;843;0.6;3.2;3.8;2.8;0.9;0.2;1.3;2.0;9.4;Anadolu Efes;19
James Anderson;37;14.8;1.6;3.8;432;0.9;2.2;427;0.7;1.5;439;0.6;0.8;828;0.4;1.6;2.0;0.7;0.2;0.1;0.4;1.3;4.8;Anadolu Efes;19
Tibor Pleiss;37;14.2;3.4;5.5;623;0.3;0.8;333;3.2;4.7;672;1.0;1.1;878;1.1;2.6;3.7;0.4;0.4;0.5;0.8;1.6;8.1;Anadolu Efes;19
Dogus Balbay;37;10.5;0.8;1.6;500;0.4;0.6;609;0.4;0.9;429;0.0;0.0;1000;0.5;0.9;1.4;1.3;0.4;0.2;0.4;1.8;2.0;Anadolu Efes;19
Bryant Dunston;36;26.1;3.4;5.3;640;0.1;0.2;333;3.3;5.1;650;2.1;3.0;701;1.5;3.4;4.9;1.3;0.8;1.2;0.8;3.0;8.9;Anadolu Efes;19
Shane Larkin;35;22.0;3.9;7.9;498;1.9;4.2;449;2.1;3.7;554;2.8;3.2;866;0.3;1.9;2.2;3.1;0.9;0.1;1.8;1.6;12.5;Anadolu Efes;19
Rodrigue Beaubois;35;20.5;3.5;7.9;442;1.6;4.0;400;1.9;3.9;486;0.9;1.0;912;0.2;1.1;1.3;2.3;0.3;0.3;1.1;1.6;9.5;Anadolu Efes;19
Brock Motum;31;11.6;2.5;5.0;506;0.7;1.6;440;1.8;3.4;538;0.8;1.0;781;0.7;1.1;1.8;0.4;0.1;0.1;0.4;0.7;6.5;Anadolu Efes;19
