Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Ali Muhammed;34;25.4;3.8;9.2;414;2.3;5.9;388;1.5;3.3;460;1.4;1.6;906;0.6;2.2;2.7;3.1;1.0;0.0;2.0;2.5;11.4;Fenerbahce;17
Jan Vesely;34;24.4;3.8;6.8;563;0.0;0.1;0;3.8;6.7;570;2.0;3.6;557;1.6;2.9;4.5;1.4;1.0;0.6;1.4;2.8;9.6;Fenerbahce;17
James Nunnally;34;17.9;2.1;4.7;440;0.9;2.1;451;1.1;2.6;432;0.6;0.7;870;0.4;1.5;2.0;1.7;0.4;0.2;1.0;1.9;5.6;Fenerbahce;17
Nikola Kalinic;33;24.0;2.8;5.9;482;0.8;2.2;347;2.1;3.7;561;1.1;1.3;837;0.6;2.5;3.1;1.5;0.8;0.3;1.4;2.2;7.5;Fenerbahce;17
Luigi Datome;33;23.6;3.1;7.0;442;1.5;3.1;466;1.6;3.9;422;1.5;1.6;944;0.9;2.8;3.7;1.1;0.5;0.1;1.1;2.6;9.2;Fenerbahce;17
Ekpe Udoh;31;32.0;4.8;8.3;584;0.0;0.0;0;4.8;8.3;586;2.5;3.8;644;2.5;5.3;7.8;2.2;1.0;2.2;1.2;2.1;12.1;Fenerbahce;17
Pero Antic;31;13.5;1.2;3.6;333;0.9;2.6;338;0.3;1.0;323;0.9;1.3;744;0.5;2.0;2.4;0.6;0.4;0.1;0.4;1.8;4.2;Fenerbahce;17
Kostas Sloukas;29;26.1;3.1;6.9;445;1.0;2.4;429;2.0;4.5;454;2.1;2.4;870;0.3;1.8;2.1;4.5;0.6;0.2;2.5;2.3;9.2;Fenerbahce;17
Bogdan Bogdanovic;22;28.0;4.9;9.8;500;2.1;4.9;430;2.8;5.0;569;2.7;3.1;855;0.4;3.4;3.8;3.6;1.1;0.3;2.4;2.5;14.6;Fenerbahce;17
Melih Mahmutoglu;20;10.4;1.3;3.1;426;1.1;2.4;438;0.3;0.7;385;0.3;0.3;1000;0.1;0.4;0.5;0.6;0.3;0.0;0.2;1.1;4.0;Fenerbahce;17
