Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Anthony Bennett;10;6.4;0.5;1.9;263;0.2;1.1;182;0.3;0.8;375;0.0;0.0;0;0.0;0.9;0.9;0.2;0.3;0.1;0.3;0.3;1.2;Fenerbahce;17
Ahmet Duverioglu;9;6.7;1.4;1.8;813;0.0;0.0;0;1.4;1.8;813;0.4;0.7;667;0.8;0.6;1.3;0.1;0.1;0.4;0.3;1.0;3.3;Fenerbahce;17
Berk Ugurlu;7;4.3;0.0;1.0;0;0.0;0.4;0;0.0;0.6;0;0.3;0.3;1000;0.1;0.0;0.1;0.3;0.1;0.0;0.4;0.6;0.3;Fenerbahce;17
Baris Hersek;3;4.0;0.7;1.7;400;0.0;0.7;0;0.7;1.0;667;0.0;0.0;0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;1.0;1.3;Fenerbahce;17
Yordan Minchev;2;8.0;0.0;1.5;0;0.0;0.5;0;0.0;1.0;0;0.0;0.0;0;0.0;1.0;1.0;0.0;0.0;0.0;1.5;0.5;0.0;Fenerbahce;17
Egehan Arna;1;1.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Fenerbahce;17
Kyle Hines;35;20.5;3.0;4.7;650;0.0;0.0;0;3.0;4.7;650;2.4;3.5;702;2.1;2.2;4.3;0.6;0.7;0.5;1.4;2.9;8.5;CSKA Moscow;17
Andrey Vorontsevich;35;19.9;2.7;5.6;490;1.5;3.1;477;1.3;2.5;506;0.4;0.7;520;0.6;2.3;2.9;0.9;0.5;0.5;0.5;2.1;7.3;CSKA Moscow;17
Nikita Kurbanov;35;19.2;1.7;3.9;435;0.5;1.4;333;1.3;2.6;489;2.2;2.4;894;0.9;2.8;3.8;1.1;0.6;0.5;0.9;2.4;6.1;CSKA Moscow;17
Vitaly Fridzon;35;12.9;2.0;3.9;511;0.7;1.7;417;1.3;2.2;584;1.2;1.4;860;0.4;0.8;1.2;0.8;0.6;0.3;0.8;2.0;5.9;CSKA Moscow;17
Aaron Jackson;34;21.7;2.8;5.4;519;0.9;1.9;477;1.9;3.5;542;1.1;1.4;735;0.3;1.1;1.4;3.6;0.7;0.1;1.6;1.6;7.6;CSKA Moscow;17
James Augustine;34;16.4;2.6;3.9;664;0.0;0.1;333;2.6;3.9;672;0.8;1.3;578;1.7;2.8;4.5;0.4;0.8;0.5;0.6;2.0;6.0;CSKA Moscow;17
Cory Higgins;32;20.4;3.1;6.7;467;0.8;1.9;403;2.3;4.8;493;2.5;2.8;879;0.4;1.8;2.2;1.5;0.8;0.1;1.5;2.1;9.5;CSKA Moscow;17
Victor Khryapa;32;13.6;1.4;3.7;381;0.2;1.2;184;1.2;2.5;475;0.7;0.9;821;0.6;3.1;3.6;1.8;0.8;0.3;0.8;1.6;3.8;CSKA Moscow;17
Milos Teodosic;29;27.6;4.9;11.1;444;2.7;7.0;381;2.3;4.1;550;3.6;4.0;897;0.2;1.9;2.1;6.8;0.6;0.0;3.0;1.8;16.1;CSKA Moscow;17
Nando De Colo;28;27.0;6.3;12.2;516;1.5;3.6;426;4.8;8.6;554;5.0;5.2;959;0.1;2.8;2.9;3.9;1.0;0.1;3.3;2.2;19.1;CSKA Moscow;17
Semen Antonov;28;8.8;0.8;1.7;468;0.5;0.9;538;0.3;0.8;381;0.1;0.1;1000;0.2;1.0;1.1;0.3;0.3;0.3;0.3;1.8;2.1;CSKA Moscow;17
Dmitry Kulagin;17;10.4;1.5;3.9;373;0.5;1.8;300;0.9;2.2;432;0.5;0.6;800;0.2;1.3;1.5;1.2;0.3;0.1;0.9;1.4;3.9;CSKA Moscow;17
Joel Freeland;15;5.3;0.6;1.1;529;0.0;0.0;0;0.6;1.1;529;0.3;0.9;385;0.3;0.9;1.2;0.1;0.2;0.1;0.0;1.3;1.5;CSKA Moscow;17
Mikhail Kulagin;7;5.3;1.1;2.6;444;0.7;1.7;417;0.4;0.9;500;0.6;0.7;800;0.1;0.1;0.3;0.0;0.3;0.1;0.7;1.3;3.6;CSKA Moscow;17
Jeff Ayres;4;9.3;1.3;2.5;500;0.0;0.0;0;1.3;2.5;500;3.5;4.0;875;2.3;2.5;4.8;0.0;0.0;0.8;0.3;1.5;6.0;CSKA Moscow;17
Vangelis Mantzaris;37;23.7;1.9;5.6;348;1.5;4.1;364;0.5;1.5;304;0.4;0.6;696;0.4;2.4;2.8;2.4;0.7;0.0;1.2;2.7;5.8;Olympiacos;17
Kostas Papanikolaou;37;23.3;2.8;6.6;422;1.0;3.2;316;1.8;3.4;520;1.5;1.9;826;1.5;3.3;4.8;1.5;1.2;0.4;1.2;2.4;8.1;Olympiacos;17
Khem Birch;37;18.1;2.8;4.5;624;0.0;0.0;0;2.8;4.5;624;1.7;2.6;643;2.2;3.4;5.6;0.3;0.5;1.0;1.0;2.0;7.3;Olympiacos;17
Erick Green;36;20.5;3.6;8.2;442;1.3;3.3;400;2.3;4.8;471;1.4;1.7;817;0.3;1.6;1.9;0.9;0.7;0.1;0.8;1.4;9.9;Olympiacos;17
Ioannis Papapetrou;36;15.9;1.7;4.3;396;0.7;2.2;333;1.0;2.1;461;0.3;0.4;688;0.4;2.1;2.6;0.5;0.5;0.3;0.6;1.6;4.4;Olympiacos;17
Nikola Milutinov;36;12.7;1.7;3.0;579;0.0;0.0;0;1.7;2.9;585;1.0;1.4;692;1.7;1.5;3.3;0.6;0.3;0.8;1.0;2.2;4.4;Olympiacos;17
Vassilis Spanoulis;33;26.8;4.0;10.0;396;1.6;5.1;315;2.4;4.9;479;3.1;4.0;759;0.2;1.5;1.7;6.1;0.6;0.0;4.0;2.3;12.6;Olympiacos;17
Georgios Printezis;32;25.4;4.9;10.4;468;0.8;2.1;403;4.0;8.3;485;2.2;3.1;700;1.3;3.8;5.1;1.0;0.7;0.2;0.7;1.1;12.8;Olympiacos;17
Patric Young;30;9.6;1.0;2.0;492;0.0;0.0;0;1.0;1.9;500;0.8;1.3;615;0.8;1.6;2.4;0.1;0.3;0.4;0.6;0.9;2.7;Olympiacos;17
Matt Lojeski;26;21.4;3.4;6.9;494;1.4;3.4;420;2.0;3.5;565;1.7;2.0;827;0.8;2.3;3.1;1.6;0.5;0.3;1.0;1.3;9.9;Olympiacos;17
Dimitrios Agravanis;25;11.2;1.2;3.5;341;0.4;1.9;229;0.8;1.6;475;0.8;1.0;800;0.9;1.5;2.4;0.2;0.4;0.2;0.3;1.7;3.6;Olympiacos;17
Dominic Waters;21;10.7;1.6;3.3;493;0.3;0.9;316;1.3;2.4;560;0.6;0.6;923;0.1;0.6;0.7;1.5;0.2;0.0;0.9;2.2;4.1;Olympiacos;17
Daniel Hackett;11;14.5;1.5;4.4;354;0.4;1.4;267;1.2;3.0;394;1.5;2.0;773;0.1;1.5;1.5;1.6;0.5;0.0;0.2;2.0;5.0;Olympiacos;17
Ioannis Athinaiou;9;4.7;0.1;0.8;143;0.0;0.3;0;0.1;0.4;250;0.1;0.2;500;0.1;0.2;0.3;0.6;0.0;0.0;0.7;0.9;0.3;Olympiacos;17
Vassilis Toliopoulos;4;0.8;0.3;1.0;250;0.3;0.8;333;0.0;0.3;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.8;Olympiacos;17
Gustavo Ayon;36;20.6;4.4;6.4;699;0.0;0.0;0;4.4;6.4;699;0.9;1.8;485;1.8;3.4;5.2;2.3;0.9;0.6;1.6;2.6;9.8;Real Madrid;17
Jaycee Carroll;36;17.0;3.2;6.6;481;1.7;3.9;432;1.5;2.7;551;1.1;1.3;911;0.3;1.2;1.5;0.8;0.2;0.1;0.7;2.1;9.1;Real Madrid;17
Luka Doncic;35;19.9;2.4;5.6;434;1.1;3.0;371;1.3;2.6;505;1.9;2.2;844;0.9;3.5;4.5;4.2;0.9;0.2;1.8;1.3;7.8;Real Madrid;17
Othello Hunter;35;16.7;3.2;4.9;647;0.0;0.1;0;3.2;4.9;655;1.2;1.7;683;1.7;2.9;4.5;0.6;0.5;0.3;0.9;2.0;7.6;Real Madrid;17
Anthony Randolph;34;21.2;3.7;7.5;500;0.9;2.3;367;2.9;5.1;560;1.9;2.4;778;1.3;3.8;5.1;1.1;0.4;1.1;1.2;1.8;10.2;Real Madrid;17
Sergio Llull;33;27.8;5.4;12.9;416;2.2;6.7;330;3.2;6.2;510;3.5;4.2;847;0.3;1.5;1.8;5.9;0.7;0.1;2.3;1.9;16.5;Real Madrid;17
Rudy Fernandez;32;23.4;2.3;6.6;343;1.3;4.2;323;0.9;2.4;377;0.7;0.9;750;0.8;2.1;2.8;3.2;1.2;0.1;1.2;1.8;6.5;Real Madrid;17
Felipe Reyes;31;12.3;1.7;3.5;477;0.1;0.4;333;1.5;3.1;495;1.8;2.2;821;1.0;1.8;2.8;0.7;0.3;0.3;0.8;2.0;5.3;Real Madrid;17
Jeffery Taylor;30;15.5;1.7;3.3;500;0.7;1.7;392;1.0;1.6;612;0.6;0.9;667;0.8;1.0;1.8;0.5;0.4;0.1;0.4;2.2;4.6;Real Madrid;17
Jonas Maciulis;29;16.7;2.2;4.1;525;1.2;2.3;500;1.0;1.8;558;0.6;0.9;720;0.8;1.5;2.3;0.8;0.7;0.1;0.3;1.5;6.1;Real Madrid;17
Dontaye Draper;29;13.4;0.9;2.4;386;0.4;1.4;286;0.5;1.0;536;0.5;0.6;824;0.2;0.8;1.0;1.4;0.8;0.0;0.7;1.8;2.8;Real Madrid;17
Trey Thompkins;26;13.7;2.2;4.5;475;1.1;2.3;475;1.0;2.2;474;0.7;0.8;810;0.5;1.8;2.4;0.2;0.3;0.2;0.6;2.2;6.1;Real Madrid;17
Andres Nocioni;15;6.6;0.9;2.8;310;0.5;1.7;269;0.4;1.1;375;0.2;0.3;600;0.1;0.7;0.8;0.3;0.1;0.0;0.5;0.9;2.4;Real Madrid;17
Derrick Brown;35;29.3;4.8;9.7;491;0.5;1.7;293;4.3;8.1;532;2.3;2.9;767;1.7;3.9;5.5;2.2;1.0;0.5;1.6;1.9;12.3;Anadolu Efes;17
Bryant Dunston;35;28.9;4.0;7.3;551;0.0;0.0;0;4.0;7.2;553;2.7;3.9;679;2.9;3.3;6.2;1.1;0.6;1.1;0.9;2.7;10.7;Anadolu Efes;17
Thomas Heurtel;35;26.3;4.8;10.5;457;1.0;3.0;337;3.8;7.5;504;2.1;2.4;867;0.2;1.5;1.7;5.6;0.8;0.0;2.5;2.2;12.7;Anadolu Efes;17
Jayson Granger;35;25.5;3.5;8.6;412;1.1;3.2;327;2.5;5.4;463;1.6;2.1;753;0.5;2.2;2.7;3.9;0.9;0.1;1.6;2.2;9.7;Anadolu Efes;17
Tyler Honeycutt;35;24.5;3.1;7.8;401;0.9;3.1;303;2.2;4.7;467;1.9;2.9;680;2.0;5.3;7.3;2.0;1.1;0.9;1.8;1.8;9.2;Anadolu Efes;17
Cedi Osman;35;18.5;2.5;6.1;409;1.0;3.0;340;1.5;3.1;477;1.1;1.3;787;0.8;1.9;2.8;0.7;0.6;0.1;0.5;1.8;7.1;Anadolu Efes;17
Deshaun Thomas;35;14.3;2.6;6.5;407;1.2;3.7;328;1.4;2.8;510;0.8;1.0;806;0.6;1.1;1.7;0.3;0.2;0.1;0.4;1.1;7.3;Anadolu Efes;17
Dogus Balbay;28;9.8;0.8;2.0;404;0.3;0.8;304;0.6;1.2;471;0.0;0.1;333;0.8;0.6;1.5;1.0;0.6;0.1;0.3;1.8;1.9;Anadolu Efes;17
Brandon Paul;23;17.3;2.5;6.4;388;1.7;4.1;415;0.8;2.3;340;2.0;2.8;703;0.1;0.9;1.0;0.6;1.0;0.3;0.7;2.5;8.6;Anadolu Efes;17
Alen Omic;17;8.2;1.3;2.4;550;0.0;0.0;0;1.3;2.4;550;0.4;0.9;375;1.0;0.5;1.5;0.4;0.2;0.0;0.5;1.5;2.9;Anadolu Efes;17
Alex Kirk;16;10.0;1.4;2.6;537;0.0;0.1;0;1.4;2.5;550;0.6;0.9;667;1.3;1.0;2.3;0.3;0.1;0.9;0.6;1.9;3.4;Anadolu Efes;17
Can Maxim Mutaf;11;6.5;0.6;1.9;333;0.6;1.5;412;0.0;0.4;0;0.0;0.0;0;0.5;0.5;1.0;0.4;0.4;0.0;0.3;1.3;1.9;Anadolu Efes;17
Bryce Cotton;10;18.3;2.9;6.8;426;1.2;3.2;375;1.7;3.6;472;1.0;1.1;909;0.2;1.4;1.6;1.4;0.5;0.0;0.9;2.1;8.0;Anadolu Efes;17
Furkan Korkmaz;2;7.0;0.5;2.5;200;0.0;0.5;0;0.5;2.0;250;0.0;0.0;0;0.0;0.5;0.5;0.5;1.5;0.0;0.0;0.5;1.0;Anadolu Efes;17
Brad Wanamaker;34;33.5;5.3;11.8;448;1.6;4.3;386;3.6;7.6;482;4.5;5.2;864;0.5;2.6;3.1;4.6;1.5;0.1;3.0;2.8;16.7;Darussafaka Dogus;17
Will Clyburn;34;28.2;4.9;11.4;429;0.7;2.4;289;4.2;9.0;467;2.5;3.6;685;1.5;3.6;5.1;1.3;0.9;0.3;1.4;1.9;13.0;Darussafaka Dogus;17
James Anderson;34;22.5;3.4;8.4;407;1.4;4.0;346;2.0;4.4;463;1.0;1.4;673;0.8;2.8;3.6;1.3;0.6;0.4;1.0;1.7;9.2;Darussafaka Dogus;17
Adrien Moerman;33;21.7;3.1;7.9;396;1.2;3.6;333;1.9;4.2;450;0.6;0.8;769;1.1;4.0;5.1;0.8;0.9;0.2;0.7;2.3;8.1;Darussafaka Dogus;17
Dairis Bertans;32;16.1;2.0;4.3;463;1.0;2.1;500;0.9;2.2;429;1.4;1.7;836;0.3;0.4;0.7;1.3;0.2;0.1;0.8;1.5;6.4;Darussafaka Dogus;17
Birkan Batuk;32;12.5;0.9;2.5;370;0.5;1.8;298;0.4;0.8;542;0.3;0.5;625;0.7;0.9;1.7;0.4;0.4;0.1;0.3;2.3;2.7;Darussafaka Dogus;17
Scottie Wilbekin;31;25.2;3.7;8.7;430;2.2;5.5;404;1.5;3.2;475;1.9;2.2;870;0.6;1.2;1.8;3.2;1.4;0.0;1.8;2.3;11.6;Darussafaka Dogus;17
Furkan Aldemir;30;9.7;0.6;1.6;375;0.0;0.0;0;0.6;1.6;375;0.4;0.9;481;1.1;1.4;2.5;0.2;0.1;0.4;0.3;1.1;1.6;Darussafaka Dogus;17
Luke Harangody;29;12.9;1.5;2.8;538;0.6;1.3;459;0.9;1.5;605;0.2;0.3;600;0.8;1.6;2.4;0.4;0.1;0.2;0.2;1.6;3.8;Darussafaka Dogus;17
Ante Zizic;20;21.9;3.6;5.6;649;0.0;0.0;0;3.6;5.6;649;1.8;2.8;643;3.1;3.6;6.7;0.4;0.2;0.8;1.3;2.0;9.0;Darussafaka Dogus;17
Marcus Slaughter;13;15.2;1.2;2.0;577;0.0;0.0;0;1.2;2.0;577;0.9;1.6;571;1.0;1.6;2.6;0.5;0.5;0.4;0.9;3.1;3.2;Darussafaka Dogus;17
Mehmet Yagmur;12;2.4;0.1;0.5;167;0.1;0.4;200;0.0;0.1;0;0.0;0.0;0;0.0;0.1;0.1;0.3;0.1;0.0;0.3;0.6;0.3;Darussafaka Dogus;17
Semih Erden;10;14.7;1.6;3.3;485;0.0;0.1;0;1.6;3.2;500;0.8;2.8;286;0.7;2.4;3.1;0.4;0.1;0.6;0.9;2.7;4.0;Darussafaka Dogus;17
Oguz Savas;8;6.4;1.1;1.9;600;0.0;0.0;0;1.1;1.9;600;0.1;0.1;1000;0.4;1.1;1.5;0.5;0.0;0.1;0.3;1.5;2.4;Darussafaka Dogus;17
Ender Arslan;4;5.8;0.3;1.5;167;0.0;1.3;0;0.3;0.3;1000;1.0;1.3;800;0.0;0.3;0.3;0.5;0.0;0.0;0.8;0.5;1.5;Darussafaka Dogus;17
Okben Ulubay;2;1.5;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Darussafaka Dogus;17
Metin Turen;1;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Darussafaka Dogus;17
Shane Larkin;33;28.9;4.2;10.5;406;1.5;4.3;343;2.8;6.1;450;3.1;3.9;797;0.5;2.2;2.7;5.7;1.3;0.2;2.8;2.4;13.1;Baskonia;17
Adam Hanga;33;28.0;3.8;8.6;449;1.2;3.6;336;2.6;5.0;530;1.6;2.5;667;0.9;3.5;4.4;2.4;1.3;0.7;1.4;2.3;10.5;Baskonia;17
Johannes Voigtmann;33;23.5;3.8;7.1;541;0.7;2.2;315;3.1;4.8;644;1.7;2.4;731;2.3;4.7;7.0;1.7;0.6;0.3;0.9;1.8;10.1;Baskonia;17
Ilimane Diop;33;13.8;1.5;2.7;573;0.0;0.0;0;1.5;2.7;573;1.0;1.3;744;0.7;2.0;2.7;0.5;0.2;0.5;0.7;3.0;4.1;Baskonia;17
Jaka Blazic;33;13.6;1.8;4.4;397;0.7;1.9;387;1.0;2.5;405;0.4;0.8;560;0.6;1.5;2.1;0.5;0.5;0.0;0.6;1.4;4.7;Baskonia;17
Kim Tillie;32;19.3;2.6;4.8;549;0.7;1.7;407;1.9;3.1;626;1.0;1.1;912;1.4;2.4;3.8;1.1;0.7;0.2;0.7;2.1;6.9;Baskonia;17
Rafa Luz;32;7.8;0.9;1.7;537;0.3;0.6;500;0.6;1.1;556;0.1;0.2;667;0.2;0.6;0.8;1.5;0.4;0.0;0.8;1.3;2.2;Baskonia;17
Rodrigue Beaubois;30;20.3;4.3;9.4;457;1.8;4.7;380;2.5;4.7;536;1.3;1.5;870;0.2;1.3;1.4;1.7;0.4;0.5;1.6;2.2;11.7;Baskonia;17
Chase Budinger;29;18.9;2.7;5.5;491;0.7;2.0;328;2.0;3.5;584;0.8;0.9;852;1.3;2.5;3.8;1.2;0.6;0.1;0.9;1.7;6.8;Baskonia;17
Tornike Shengelia;24;20.8;3.8;7.4;511;0.5;1.0;542;3.3;6.4;506;2.6;3.4;778;1.3;2.9;4.2;1.4;0.8;0.3;2.0;2.3;10.8;Baskonia;17
Andrea Bargnani;15;16.1;3.3;7.1;458;0.5;1.5;304;2.8;5.6;500;1.8;2.4;750;0.4;1.4;1.8;0.4;0.1;0.5;1.4;2.3;8.8;Baskonia;17
Nicolas Laprovittola;14;9.2;0.9;3.5;265;0.5;2.2;226;0.4;1.3;333;0.4;0.4;833;0.1;0.7;0.9;2.2;0.3;0.0;1.3;1.4;2.7;Baskonia;17
Tadas Sedekerskis;13;5.0;0.5;0.8;600;0.0;0.1;0;0.5;0.7;667;0.4;0.6;625;0.2;0.4;0.6;0.2;0.1;0.0;0.3;0.3;1.3;Baskonia;17
Josh Akognon;5;11.6;1.6;4.2;381;0.6;2.8;214;1.0;1.4;714;0.0;0.0;0;0.2;0.4;0.6;1.2;0.4;0.0;0.6;2.2;3.8;Baskonia;17
Pablo Prigioni;3;8.7;0.0;0.7;0;0.0;0.0;0;0.0;0.7;0;0.0;0.0;0;0.3;1.3;1.7;2.0;0.7;0.0;1.0;1.0;0.0;Baskonia;17
Trevor Cooney;1;5.0;0.0;1.0;0;0.0;1.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;Baskonia;17
Chris Singleton;33;28.2;3.8;7.8;496;1.5;3.3;436;2.4;4.4;541;2.9;3.8;748;1.9;4.0;5.9;1.2;1.2;1.0;1.4;3.2;12.0;Panathinaikos Superfoods;17
K.C. Rivers;33;27.7;4.0;9.0;449;2.2;5.1;420;1.9;3.8;488;1.0;1.2;780;0.4;2.0;2.5;0.8;0.8;0.1;0.8;2.5;11.2;Panathinaikos Superfoods;17
Nick Calathes;33;27.2;4.0;9.9;405;0.8;3.5;246;3.2;6.4;491;0.9;1.8;500;0.9;3.1;4.0;5.5;1.5;0.2;2.1;2.2;9.8;Panathinaikos Superfoods;17
James Feldeine;33;19.9;2.5;6.1;406;1.3;3.4;378;1.2;2.8;440;0.4;0.7;609;0.2;0.9;1.1;2.0;0.9;0.2;0.8;1.4;6.7;Panathinaikos Superfoods;17
Ioannis Bourousis;33;18.2;2.3;5.8;399;0.5;1.7;291;1.8;4.2;442;2.7;3.4;788;1.7;3.1;4.8;1.0;0.5;0.5;1.8;2.4;7.8;Panathinaikos Superfoods;17
Demetris Nichols;32;15.3;1.4;3.5;411;0.5;1.5;354;0.9;2.0;453;0.4;0.5;875;0.5;1.8;2.3;0.3;0.3;0.3;0.6;1.6;3.8;Panathinaikos Superfoods;17
Nikos Pappas;29;17.2;1.8;4.2;426;0.4;1.7;260;1.3;2.5;542;1.4;1.9;764;0.3;1.2;1.6;1.3;0.6;0.1;1.0;1.8;5.5;Panathinaikos Superfoods;17
Mike James;25;22.7;5.0;10.2;490;1.4;4.0;340;3.6;6.2;587;1.8;2.6;688;0.6;1.6;2.2;3.0;0.9;0.1;1.3;1.5;13.1;Panathinaikos Superfoods;17
Antonis Fotsis;24;12.3;0.8;1.9;391;0.4;1.3;323;0.3;0.6;533;0.2;0.2;800;0.6;1.8;2.4;0.2;0.1;0.1;0.3;0.9;2.1;Panathinaikos Superfoods;17
Kenny Gabriel;23;15.6;1.9;4.0;462;0.9;2.1;408;1.0;1.9;523;0.6;0.8;778;0.9;2.1;3.0;0.3;0.5;0.3;0.4;2.0;5.2;Panathinaikos Superfoods;17
James Gist;15;22.8;3.5;6.6;535;0.2;1.2;167;3.3;5.4;617;1.3;2.0;633;1.7;2.6;4.3;0.8;1.1;0.5;1.4;2.7;8.5;Panathinaikos Superfoods;17
Alessandro Gentile;9;13.1;1.4;4.2;342;0.1;0.6;200;1.3;3.7;364;0.2;1.0;222;1.0;1.2;2.2;0.6;0.3;0.2;0.8;1.3;3.2;Panathinaikos Superfoods;17
Vassilis Charalampopoulos;7;4.1;0.3;0.9;333;0.0;0.1;0;0.3;0.7;400;0.0;0.0;0;0.1;0.1;0.3;0.0;0.0;0.0;0.1;0.3;0.6;Panathinaikos Superfoods;17
Eleftherios Bochoridis;7;4.1;0.6;1.3;444;0.4;0.6;750;0.1;0.7;200;0.1;0.3;500;0.0;0.1;0.1;0.0;0.0;0.0;0.3;1.1;1.7;Panathinaikos Superfoods;17
Marko Simonovic;30;26.7;4.3;9.3;466;1.9;4.9;390;2.4;4.4;549;2.0;2.5;824;0.7;2.8;3.6;0.7;0.8;0.1;0.8;1.6;12.6;Crvena Zvezda mts;17
Charles Jenkins;30;26.1;3.5;8.0;444;1.0;2.4;425;2.5;5.5;452;1.3;1.5;848;0.4;1.6;1.9;2.7;2.1;0.1;1.1;2.3;9.4;Crvena Zvezda mts;17
Branko Lazic;30;23.6;1.6;3.5;467;0.7;1.9;368;0.9;1.6;583;0.4;0.7;571;0.7;1.5;2.2;0.3;1.4;0.1;0.5;3.1;4.4;Crvena Zvezda mts;17
Ognjen Kuzmic;30;20.7;3.7;6.8;549;0.0;0.0;0;3.7;6.8;549;1.9;2.7;707;2.7;4.3;7.0;1.0;1.0;0.6;1.5;1.9;9.4;Crvena Zvezda mts;17
Milko Bjelica;30;15.6;2.5;6.5;385;0.4;1.9;193;2.1;4.6;464;2.1;2.6;795;0.7;2.2;3.0;1.1;0.5;0.3;0.9;1.7;7.4;Crvena Zvezda mts;17
Marko Guduric;29;18.8;2.3;6.0;391;1.0;3.2;304;1.4;2.8;488;2.1;2.4;859;0.6;1.6;2.1;2.1;0.6;0.1;1.9;2.6;7.8;Crvena Zvezda mts;17
Luka Mitrovic;28;15.7;1.8;3.9;450;0.1;0.6;167;1.6;3.3;505;0.5;1.0;536;0.8;1.5;2.3;1.4;0.5;0.1;1.3;1.1;4.1;Crvena Zvezda mts;17
Nate Wolters;27;15.1;2.7;6.3;435;0.7;1.9;380;2.0;4.4;458;0.9;1.2;781;0.3;1.9;2.1;2.2;0.7;0.0;1.2;1.6;7.1;Crvena Zvezda mts;17
Nemanja Dangubic;24;19.3;2.0;5.1;382;0.7;2.3;296;1.3;2.9;449;0.7;0.8;842;0.4;1.6;2.0;0.7;0.6;0.1;1.1;2.5;5.3;Crvena Zvezda mts;17
Stefan Jovic;23;23.9;3.0;7.0;426;0.7;2.4;291;2.3;4.7;495;0.8;1.3;613;0.3;1.7;2.1;5.6;1.3;0.0;2.1;2.3;7.5;Crvena Zvezda mts;17
Deon Thompson;13;10.5;1.8;3.2;561;0.0;0.0;0;1.8;3.2;561;0.8;1.5;500;0.6;0.8;1.5;0.5;0.3;0.3;0.2;1.2;4.3;Crvena Zvezda mts;17
Ognjen Dobric;13;5.3;0.7;1.7;409;0.2;0.9;167;0.5;0.8;700;0.1;0.2;333;0.1;0.4;0.5;0.2;0.3;0.0;0.4;0.5;1.6;Crvena Zvezda mts;17
Borisa Simanic;3;5.7;0.3;1.7;200;0.0;0.7;0;0.3;1.0;333;0.0;0.0;0;0.3;0.7;1.0;0.3;0.0;0.0;0.0;1.0;0.7;Crvena Zvezda mts;17
Nikola Rebic;2;7.5;0.5;2.0;250;0.0;0.0;0;0.5;2.0;250;0.0;0.0;0;0.0;0.5;0.5;1.0;0.0;0.0;0.5;1.0;1.0;Crvena Zvezda mts;17
