Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Nikola Kalinic;29;18.9;1.7;3.9;434;0.3;1.1;242;1.4;2.8;513;0.9;1.3;711;1.1;2.2;3.3;1.2;0.4;0.2;0.9;2.4;4.6;Fenerbahce Istanbul;16
Bogdan Bogdanovic;28;27.6;3.9;9.6;409;1.8;4.8;370;2.1;4.8;448;2.0;2.5;797;0.6;2.6;3.3;3.0;1.1;0.4;1.5;2.2;11.6;Fenerbahce Istanbul;16
Ali Muhammed;28;24.7;3.7;9.2;405;2.2;5.8;379;1.5;3.4;448;1.2;1.4;895;0.6;2.6;3.3;3.6;1.0;0.1;1.9;2.1;10.8;Fenerbahce Istanbul;16
Ekpe Udoh;27;27.8;4.9;8.8;555;0.0;0.1;0;4.9;8.7;559;2.8;3.7;768;2.0;3.1;5.1;1.3;0.7;2.3;1.5;2.2;12.6;Fenerbahce Istanbul;16
Jan Vesely;23;27.4;5.0;8.0;625;0.1;0.1;667;4.9;7.9;624;1.9;4.1;453;2.5;4.3;6.8;1.6;0.8;1.0;1.7;3.2;12.0;Fenerbahce Istanbul;16
Pero Antic;23;21.0;2.3;5.8;388;1.3;3.6;373;0.9;2.2;412;2.2;2.8;769;1.0;3.3;4.3;0.7;0.2;0.0;0.8;2.5;8.0;Fenerbahce Istanbul;16
Kostas Sloukas;21;20.0;2.1;4.7;449;0.5;1.4;345;1.6;3.3;493;2.0;2.4;860;0.2;1.5;1.7;3.0;0.3;0.0;1.7;1.6;6.7;Fenerbahce Istanbul;16
Ricky Hickman;20;11.9;1.5;3.6;423;0.5;1.5;310;1.1;2.1;500;1.2;1.5;793;0.1;1.2;1.3;1.3;0.4;0.0;0.6;1.4;4.6;Fenerbahce Istanbul;16
Melih Mahmutoglu;18;12.2;1.4;3.4;410;1.2;2.9;404;0.2;0.5;444;0.1;0.1;500;0.1;0.6;0.7;0.4;0.2;0.0;0.4;1.7;4.0;Fenerbahce Istanbul;16
Baris Hersek;18;6.8;0.3;0.9;294;0.1;0.4;143;0.2;0.6;400;0.0;0.0;0;0.2;0.4;0.6;0.1;0.2;0.1;0.3;1.5;0.6;Fenerbahce Istanbul;16
Berk Ugurlu;14;7.6;1.1;1.9;577;0.1;0.4;400;0.9;1.5;619;0.3;0.5;571;0.0;0.4;0.4;0.9;0.3;0.1;0.4;1.1;2.6;Fenerbahce Istanbul;16
Omer Yurtseven;8;4.6;0.8;1.8;429;0.1;0.3;500;0.6;1.5;417;0.0;0.0;0;0.1;0.8;0.9;0.0;0.0;0.0;0.0;1.0;1.6;Fenerbahce Istanbul;16
Egehan Arna;7;5.6;0.4;1.9;231;0.3;0.7;400;0.1;1.1;125;0.1;0.3;500;0.1;0.3;0.4;0.1;0.3;0.0;0.0;0.6;1.3;Fenerbahce Istanbul;16
Ercan Bayrak;3;2.0;0.3;0.7;500;0.0;0.3;0;0.3;0.3;1000;0.3;0.7;500;0.3;0.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;Fenerbahce Istanbul;16
Malcolm Delaney;31;33.3;4.6;10.8;427;2.3;5.6;402;2.4;5.2;453;4.8;5.6;851;0.3;3.1;3.4;5.5;0.9;0.0;2.6;2.9;16.3;Lokomotiv Kuban Krasnodar;16
Victor Claver;31;27.0;3.5;7.0;500;1.1;2.7;400;2.4;4.3;564;1.3;1.6;780;1.7;4.1;5.9;1.6;0.8;0.5;1.0;1.7;9.4;Lokomotiv Kuban Krasnodar;16
Ryan Broekhoff;31;25.3;2.8;5.7;489;1.9;4.0;472;0.9;1.7;528;1.1;1.2;868;1.2;2.1;3.4;1.6;1.0;0.1;1.1;2.2;8.5;Lokomotiv Kuban Krasnodar;16
Chris Singleton;31;21.7;3.1;7.4;415;0.8;2.5;316;2.3;4.8;467;1.5;2.0;730;1.9;2.6;4.5;1.0;1.2;0.6;1.2;2.6;8.4;Lokomotiv Kuban Krasnodar;16
Dontaye Draper;30;22.3;2.3;5.8;393;1.2;3.4;353;1.1;2.4;451;0.7;0.9;786;0.3;1.5;1.8;2.2;1.1;0.1;1.4;2.1;6.5;Lokomotiv Kuban Krasnodar;16
Andrey Zubkov;30;10.8;1.6;3.1;521;0.5;1.4;357;1.1;1.7;654;0.5;0.7;762;0.6;1.3;1.9;0.5;0.1;0.0;0.7;1.5;4.3;Lokomotiv Kuban Krasnodar;16
Evgeny Voronov;29;14.8;1.9;3.9;491;0.3;1.2;278;1.6;2.6;592;0.6;0.7;810;0.4;1.0;1.4;0.9;0.6;0.2;0.8;2.4;4.7;Lokomotiv Kuban Krasnodar;16
Sergey Bykov;26;14.8;1.2;3.2;390;0.3;1.3;273;0.9;1.9;469;0.8;1.2;667;0.3;1.0;1.4;1.7;0.7;0.1;1.4;2.2;3.6;Lokomotiv Kuban Krasnodar;16
Anthony Randolph;23;25.2;5.4;12.5;431;0.8;3.3;253;4.6;9.3;493;2.9;3.7;767;1.6;4.4;6.0;1.2;1.3;0.9;1.8;2.2;14.5;Lokomotiv Kuban Krasnodar;16
Matt Janning;14;22.0;3.1;6.9;443;1.7;4.4;393;1.4;2.6;528;0.7;0.7;1000;0.6;1.1;1.8;1.4;0.4;0.1;1.3;2.3;8.6;Lokomotiv Kuban Krasnodar;16
Kyrylo Fesenko;10;15.1;2.7;3.9;692;0.0;0.0;0;2.7;3.9;692;0.7;1.6;438;1.7;2.6;4.3;1.1;0.1;0.3;2.0;2.3;6.1;Lokomotiv Kuban Krasnodar;16
Maxim Kolyushkin;10;2.2;0.1;0.7;143;0.1;0.3;333;0.0;0.4;0;0.0;0.0;0;0.2;0.4;0.6;0.3;0.3;0.0;0.3;0.3;0.3;Lokomotiv Kuban Krasnodar;16
Aleksey Zozulin;4;5.3;0.5;1.3;400;0.3;0.5;500;0.3;0.8;333;0.0;0.0;0;0.3;0.3;0.5;0.0;0.3;0.0;1.3;1.5;1.3;Lokomotiv Kuban Krasnodar;16
Nikita Balashov;3;3.3;0.0;0.3;0;0.0;0.3;0;0.0;0.0;0;0.0;0.0;0;0.3;0.0;0.3;0.7;0.0;0.0;0.7;0.7;0.0;Lokomotiv Kuban Krasnodar;16
Igor Kanygin;1;4.0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Lokomotiv Kuban Krasnodar;16
Darius Adams;29;25.2;4.7;11.8;395;2.4;7.1;338;2.2;4.7;481;1.5;1.8;827;0.1;2.0;2.2;4.0;1.3;0.1;2.5;1.7;13.2;Laboral Kutxa Vitoria Gasteiz;16
Ioannis Bourousis;29;25.1;4.7;9.4;502;1.1;2.8;383;3.7;6.6;552;4.0;4.9;811;1.7;7.0;8.7;2.2;0.8;0.8;1.9;2.4;14.5;Laboral Kutxa Vitoria Gasteiz;16
Kim Tillie;29;22.4;2.3;5.1;456;0.3;1.0;267;2.0;4.0;504;1.1;1.6;717;1.6;2.3;3.8;0.9;1.0;0.2;1.2;2.7;6.0;Laboral Kutxa Vitoria Gasteiz;16
Mike James;29;21.2;3.7;8.8;424;1.2;3.3;368;2.5;5.5;456;1.3;1.5;864;0.5;2.1;2.6;2.7;0.6;0.1;1.1;1.3;10.0;Laboral Kutxa Vitoria Gasteiz;16
Jaka Blazic;29;19.1;2.7;6.1;433;0.9;2.4;352;1.8;3.7;486;1.6;2.0;793;1.2;2.0;3.2;0.6;0.6;0.0;1.2;2.1;7.8;Laboral Kutxa Vitoria Gasteiz;16
Adam Hanga;27;29.0;2.8;6.2;452;0.6;2.3;279;2.2;4.0;551;2.0;2.8;707;1.0;4.1;5.1;1.7;1.4;1.2;1.1;2.2;8.2;Laboral Kutxa Vitoria Gasteiz;16
Ilimane Diop;27;9.1;0.9;1.7;489;0.0;0.0;0;0.9;1.7;489;0.9;1.0;857;0.9;1.2;2.1;0.1;0.2;0.6;0.6;2.5;2.6;Laboral Kutxa Vitoria Gasteiz;16
Darko Planinic;25;9.1;1.2;2.1;547;0.0;0.0;0;1.2;2.1;547;0.8;1.1;741;1.0;1.1;2.1;0.2;0.2;0.0;1.2;1.8;3.1;Laboral Kutxa Vitoria Gasteiz;16
Fabien Causeur;21;28.2;3.6;8.0;444;1.5;3.9;395;2.0;4.2;489;1.6;2.0;810;0.4;2.7;3.1;2.0;1.1;0.3;1.7;1.7;10.3;Laboral Kutxa Vitoria Gasteiz;16
Alberto Corbacho;21;10.6;1.2;3.1;400;0.8;2.6;315;0.4;0.5;818;0.1;0.1;1000;0.3;0.8;1.1;0.4;0.1;0.0;0.3;1.0;3.4;Laboral Kutxa Vitoria Gasteiz;16
Davis Bertans;15;20.7;2.4;4.7;514;1.8;3.8;474;0.6;0.9;692;1.3;1.4;905;0.3;1.6;1.9;0.9;0.4;0.4;0.8;2.8;7.9;Laboral Kutxa Vitoria Gasteiz;16
Tornike Shengelia;9;19.4;3.3;6.1;545;0.8;1.6;500;2.6;4.6;561;1.7;2.4;682;1.0;2.8;3.8;1.2;0.8;0.6;2.0;1.7;9.1;Laboral Kutxa Vitoria Gasteiz;16
Kristjan Kangur;6;12.8;0.7;1.5;444;0.2;0.5;333;0.5;1.0;500;0.5;1.0;500;0.5;1.3;1.8;0.8;0.0;0.0;0.8;1.5;2.0;Laboral Kutxa Vitoria Gasteiz;16
Mamadou Diop;4;2.5;0.3;1.3;200;0.3;0.8;333;0.0;0.5;0;0.3;0.5;500;0.3;0.3;0.5;0.0;0.0;0.0;0.3;0.5;1.0;Laboral Kutxa Vitoria Gasteiz;16
Tomas Satoransky;29;24.5;3.4;6.8;495;0.9;2.4;366;2.5;4.4;567;1.4;1.8;755;0.4;2.4;2.8;4.2;0.9;0.3;1.6;1.9;9.0;FC Barcelona Lassa;16
Stratos Perperoglou;29;22.0;2.9;7.0;417;1.2;3.3;379;1.7;3.8;450;1.2;1.8;706;0.3;2.7;3.1;1.1;0.6;0.2;0.8;2.0;8.3;FC Barcelona Lassa;16
Ante Tomic;29;20.3;4.0;6.6;599;0.0;0.0;0;4.0;6.6;599;2.4;3.4;707;1.8;3.7;5.4;1.9;0.4;0.2;1.3;2.6;10.3;FC Barcelona Lassa;16
Brad Oleson;29;14.5;1.1;3.4;316;0.6;2.2;266;0.5;1.2;412;0.5;0.6;824;0.3;0.8;1.1;1.3;0.2;0.0;0.4;1.1;3.2;FC Barcelona Lassa;16
Justin Doellman;28;24.1;3.6;7.4;483;1.0;2.2;435;2.6;5.2;503;1.5;1.8;878;0.8;3.3;4.0;0.9;1.2;0.1;1.1;1.9;9.6;FC Barcelona Lassa;16
Pau Ribas;27;18.5;2.0;4.6;447;0.9;2.2;424;1.1;2.4;469;1.1;1.2;939;0.3;1.6;1.9;2.7;0.7;0.0;0.9;1.8;6.1;FC Barcelona Lassa;16
Juan Carlos Navarro;26;20.3;2.9;7.7;373;1.5;4.7;325;1.3;3.0;449;1.7;1.9;900;0.1;0.8;0.9;2.2;0.5;0.0;1.3;1.3;9.0;FC Barcelona Lassa;16
Samardo Samuels;26;13.3;2.1;4.1;505;0.0;0.2;0;2.1;3.9;529;1.8;2.9;632;1.0;1.8;2.8;0.5;0.2;0.4;1.1;1.3;6.0;FC Barcelona Lassa;16
Alex Abrines;25;19.2;3.0;6.5;469;1.6;3.8;417;1.4;2.6;545;1.6;1.9;833;0.6;1.6;2.2;0.8;0.6;0.1;0.5;1.6;9.3;FC Barcelona Lassa;16
Carlos Arroyo;22;15.8;2.0;5.4;373;1.2;2.9;413;0.8;2.5;327;0.9;1.0;826;0.4;1.3;1.6;2.4;0.5;0.0;1.3;2.2;6.0;FC Barcelona Lassa;16
Aleksandar Vezenkov;22;8.9;1.0;2.1;457;0.5;1.2;444;0.4;0.9;474;0.2;0.2;1000;0.3;0.9;1.2;0.3;0.2;0.0;0.3;0.9;2.7;FC Barcelona Lassa;16
Shane Lawal;17;14.9;2.1;3.1;673;0.0;0.0;0;2.1;3.1;673;1.1;1.9;594;2.0;2.1;4.1;0.6;0.5;0.7;0.9;2.5;5.2;FC Barcelona Lassa;16
Joey Dorsey;9;17.0;2.2;3.0;741;0.0;0.0;0;2.2;3.0;741;0.9;2.9;308;2.6;4.4;7.0;0.8;1.2;0.7;1.3;3.0;5.3;FC Barcelona Lassa;16
Marcus Eriksson;3;7.7;0.3;1.3;250;0.0;0.7;0;0.3;0.7;500;0.0;0.0;0;0.7;0.0;0.7;0.3;0.3;0.0;0.3;1.7;0.7;FC Barcelona Lassa;16
Moussa Diagne;2;7.5;0.5;0.5;1000;0.0;0.0;0;0.5;0.5;1000;0.0;1.0;0;0.0;1.0;1.0;0.0;0.0;1.0;0.5;1.5;1.0;FC Barcelona Lassa;16
Gustavo Ayon;27;26.1;4.8;7.7;622;0.0;0.0;0;4.8;7.7;622;1.9;3.1;619;3.0;4.9;7.9;2.3;1.8;1.3;1.7;3.0;11.6;Real Madrid;16
Sergio Rodriguez;27;23.9;3.7;8.3;446;1.9;4.7;409;1.8;3.6;495;1.6;2.1;741;0.4;1.9;2.2;6.2;0.7;0.1;2.1;2.1;10.9;Real Madrid;16
Jaycee Carroll;27;17.6;3.0;7.0;432;1.5;4.0;367;1.6;3.0;519;0.9;1.0;885;0.4;1.1;1.5;0.9;0.3;0.1;0.7;1.8;8.4;Real Madrid;16
Felipe Reyes;26;18.9;3.4;6.7;509;0.5;1.1;414;3.0;5.6;527;3.5;4.3;829;2.5;3.5;5.9;0.9;0.5;0.2;1.5;2.8;10.8;Real Madrid;16
Jonas Maciulis;25;17.8;1.6;4.4;355;0.6;2.4;262;0.9;2.0;469;1.0;1.2;828;0.5;1.4;1.8;0.9;0.6;0.0;0.5;1.7;4.7;Real Madrid;16
Jeffery Taylor;25;15.2;1.7;3.6;473;0.4;1.2;323;1.3;2.4;550;0.4;0.7;611;0.6;1.5;2.1;0.5;0.2;0.1;0.6;2.2;4.3;Real Madrid;16
Sergio Llull;24;27.8;3.9;10.3;378;2.3;6.5;350;1.6;3.7;427;2.8;3.5;807;0.3;1.5;1.8;4.6;0.7;0.2;1.4;2.6;12.8;Real Madrid;16
Andres Nocioni;24;13.9;1.8;4.8;383;1.0;3.0;338;0.8;1.8;455;1.1;1.5;771;0.3;2.4;2.7;0.2;0.1;0.5;0.6;1.6;5.8;Real Madrid;16
K.C. Rivers;17;17.5;2.6;5.9;450;1.0;3.2;315;1.6;2.7;609;0.4;0.5;778;0.3;1.2;1.5;0.8;0.8;0.1;0.2;1.5;6.7;Real Madrid;16
Trey Thompkins;15;15.2;2.1;5.5;390;0.9;2.7;350;1.2;2.8;429;0.7;0.7;1000;0.6;2.4;3.0;1.1;0.1;0.3;0.6;2.1;5.9;Real Madrid;16
Rudy Fernandez;14;22.6;2.5;6.7;372;1.2;4.0;304;1.3;2.7;474;1.4;1.9;731;0.7;1.6;2.4;1.9;0.4;0.1;1.6;1.9;7.6;Real Madrid;16
Willy Hernangomez;14;11.1;1.9;3.0;643;0.0;0.0;0;1.9;3.0;643;0.4;0.8;545;1.1;2.2;3.4;0.3;0.2;0.6;0.7;1.5;4.3;Real Madrid;16
Luka Doncic;12;11.1;0.9;2.3;407;0.4;1.3;313;0.5;0.9;545;1.3;1.4;882;0.3;2.1;2.3;2.0;0.2;0.3;1.2;0.6;3.5;Real Madrid;16
Augusto Lima;8;9.6;1.6;1.9;867;0.0;0.0;0;1.6;1.9;867;0.1;0.8;167;0.8;1.3;2.0;0.1;0.1;0.0;0.8;1.9;3.4;Real Madrid;16
Maurice Ndour;6;8.0;0.8;1.5;556;0.0;0.3;0;0.8;1.2;714;0.0;0.0;0;0.5;0.7;1.2;0.2;0.5;0.2;0.5;1.3;1.7;Real Madrid;16
Dino Radoncic;1;3.0;0.0;1.0;0;0.0;0.0;0;0.0;1.0;0;1.0;2.0;500;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;Real Madrid;16
Maik Zirbes;27;25.2;4.6;7.7;604;0.0;0.0;0;4.6;7.6;607;3.1;4.6;677;2.7;3.5;6.1;0.7;0.9;0.6;2.1;2.9;12.4;Crvena Zvezda Telekom Belgrade;16
Stefan Jovic;27;23.1;2.6;6.4;408;0.8;2.2;356;1.9;4.3;435;1.0;1.2;788;0.5;2.5;3.0;5.7;1.2;0.1;2.1;2.7;7.0;Crvena Zvezda Telekom Belgrade;16
Marko Simonovic;27;19.9;2.6;5.6;457;1.7;4.0;421;0.9;1.6;545;0.7;0.9;783;0.6;1.3;1.9;0.3;0.5;0.1;0.5;1.5;7.4;Crvena Zvezda Telekom Belgrade;16
Branko Lazic;26;19.5;1.4;3.3;430;0.6;1.5;410;0.8;1.8;447;0.8;0.9;875;0.5;0.8;1.3;1.0;0.9;0.0;1.1;3.0;4.3;Crvena Zvezda Telekom Belgrade;16
Vladimir Stimac;25;14.6;2.6;4.8;550;0.0;0.0;0;2.6;4.8;550;1.6;2.8;594;1.9;3.0;5.0;0.5;0.3;0.2;0.6;1.7;6.9;Crvena Zvezda Telekom Belgrade;16
Quincy Miller;24;29.1;5.0;10.5;478;1.5;4.6;327;3.5;5.9;596;2.6;3.4;778;1.0;4.7;5.7;0.9;0.9;1.5;1.9;2.6;14.1;Crvena Zvezda Telekom Belgrade;16
Marko Guduric;24;15.6;2.1;5.0;420;1.0;2.6;371;1.1;2.4;474;2.0;2.4;810;0.2;1.3;1.5;1.4;0.6;0.0;1.6;2.2;7.1;Crvena Zvezda Telekom Belgrade;16
Nemanja Dangubic;19;15.9;2.0;3.6;551;0.7;1.6;452;1.3;2.0;632;0.5;0.7;692;0.4;1.6;1.9;0.8;0.3;0.1;1.5;2.5;5.2;Crvena Zvezda Telekom Belgrade;16
Vasilije Micic;17;17.5;1.8;5.2;341;0.8;2.1;361;1.0;3.1;327;1.2;1.7;724;0.2;1.5;1.8;3.6;0.2;0.2;1.9;2.4;5.5;Crvena Zvezda Telekom Belgrade;16
Tarence Kinsey;16;23.5;3.6;8.6;413;0.3;1.9;129;3.3;6.7;495;2.3;2.6;878;0.5;1.7;2.2;1.9;1.1;0.1;1.5;2.1;9.6;Crvena Zvezda Telekom Belgrade;16
Nikola Rebic;15;7.9;0.7;2.3;314;0.3;1.5;227;0.4;0.9;462;0.2;0.5;375;0.3;0.8;1.1;0.9;0.3;0.1;0.6;1.1;2.0;Crvena Zvezda Telekom Belgrade;16
Marko Tejic;11;5.6;0.3;1.4;200;0.0;0.5;0;0.3;0.9;300;0.2;0.5;333;0.4;0.7;1.1;0.5;0.2;0.1;0.2;1.4;0.7;Crvena Zvezda Telekom Belgrade;16
Ryan Thompson;10;19.5;1.9;5.1;373;0.4;2.1;190;1.5;3.0;500;0.6;0.9;667;0.7;0.9;1.6;0.9;0.5;0.1;1.2;1.8;4.8;Crvena Zvezda Telekom Belgrade;16
Borisa Simanic;7;7.6;0.7;1.4;500;0.3;1.0;286;0.4;0.4;1000;0.3;0.3;1000;0.1;0.9;1.0;0.0;0.1;0.3;0.3;0.3;2.0;Crvena Zvezda Telekom Belgrade;16
Gal Mekel;4;20.3;1.5;6.5;231;0.3;0.8;333;1.3;5.8;217;0.5;0.5;1000;0.5;1.0;1.5;2.8;0.3;0.3;1.8;1.8;3.8;Crvena Zvezda Telekom Belgrade;16
Luka Mitrovic;4;10.5;1.8;3.5;500;0.5;0.5;1000;1.3;3.0;417;0.5;1.0;500;0.5;2.0;2.5;0.3;0.0;0.5;1.0;1.5;4.5;Crvena Zvezda Telekom Belgrade;16
Marcus Williams;3;15.0;1.7;6.7;250;0.7;3.7;182;1.0;3.0;333;1.0;1.3;750;0.3;1.7;2.0;5.3;0.0;0.0;2.0;1.0;5.0;Crvena Zvezda Telekom Belgrade;16
Sofoklis Schortsanitis;2;15.5;2.0;4.0;500;0.0;0.0;0;2.0;4.0;500;0.5;1.0;500;0.0;0.5;0.5;0.0;0.0;0.5;2.0;3.5;4.5;Crvena Zvezda Telekom Belgrade;16
Stefan Nastic;2;4.5;1.0;3.5;286;0.0;0.0;0;1.0;3.5;286;0.0;0.0;0;0.5;1.0;1.5;0.0;0.0;0.0;0.5;0.5;2.0;Crvena Zvezda Telekom Belgrade;16
Nick Calathes;27;30.2;3.6;8.5;417;1.0;2.9;329;2.6;5.6;464;0.9;1.6;568;0.7;3.4;4.1;6.4;2.0;0.2;2.3;3.0;9.0;Panathinaikos Athens;16
Miroslav Raduljica;27;20.4;4.6;8.1;568;0.0;0.0;0;4.6;8.1;568;3.4;4.1;821;1.7;2.8;4.4;1.3;0.7;0.1;2.3;2.9;12.7;Panathinaikos Athens;16
James Gist;26;26.5;4.3;8.0;536;0.8;2.2;345;3.5;5.8;609;1.5;2.7;565;1.4;3.2;4.6;1.5;1.0;0.6;1.7;2.6;10.9;Panathinaikos Athens;16
James Feldeine;26;26.1;2.9;7.8;369;1.4;4.5;314;1.5;3.3;447;1.2;1.6;756;0.3;1.9;2.2;2.1;0.9;0.2;1.7;1.7;8.4;Panathinaikos Athens;16
Dimitris Diamantidis;26;21.3;2.2;4.7;459;1.2;3.3;376;0.9;1.4;649;1.7;2.0;827;0.3;2.0;2.3;4.2;0.8;0.2;2.1;2.1;7.2;Panathinaikos Athens;16
Antonis Fotsis;26;16.3;1.7;3.8;455;1.0;2.6;403;0.7;1.2;563;0.3;0.5;750;0.9;2.2;3.1;0.7;0.3;0.1;0.3;1.2;4.8;Panathinaikos Athens;16
Sasha Pavlovic;25;17.2;2.1;5.2;397;0.5;1.9;250;1.6;3.3;482;1.0;1.5;632;0.7;1.9;2.6;1.1;0.6;0.3;0.9;2.6;5.6;Panathinaikos Athens;16
Ognjen Kuzmic;25;13.8;2.0;4.1;480;0.0;0.0;0;2.0;4.1;480;1.2;1.8;682;2.0;2.2;4.2;0.3;0.4;0.3;0.8;2.2;5.1;Panathinaikos Athens;16
Vladimir Jankovic;22;15.7;2.1;4.0;528;0.7;1.8;400;1.4;2.2;633;0.7;1.2;556;0.5;1.9;2.5;1.4;0.5;0.1;0.7;1.9;5.7;Panathinaikos Athens;16
Elliot Williams;10;26.3;4.2;10.6;396;0.5;2.3;217;3.7;8.3;446;4.2;4.8;875;0.5;2.3;2.8;1.0;0.6;0.0;1.9;2.8;13.1;Panathinaikos Athens;16
MarQuez Haynes;10;12.4;1.6;3.3;485;0.9;2.2;409;0.7;1.1;636;1.1;1.5;733;0.2;0.9;1.1;0.6;0.3;0.0;0.6;0.8;5.2;Panathinaikos Athens;16
Vince Hunter;8;7.9;1.5;2.5;600;0.0;0.1;0;1.5;2.4;632;1.0;1.6;615;1.0;0.9;1.9;0.0;0.0;0.4;0.4;2.1;4.0;Panathinaikos Athens;16
Vasilis Charalampopoulos;6;9.5;0.5;1.3;375;0.2;0.7;250;0.3;0.7;500;0.3;0.5;667;0.3;1.7;2.0;1.0;0.2;0.2;0.2;0.3;1.5;Panathinaikos Athens;16
Georgios Papagiannis;6;5.0;0.7;2.2;308;0.0;0.0;0;0.7;2.2;308;0.2;0.3;500;0.5;1.2;1.7;0.0;0.0;0.3;0.0;0.8;1.5;Panathinaikos Athens;16
Nikos Pappas;5;8.2;0.8;1.8;444;0.0;1.0;0;0.8;0.8;1000;1.4;2.0;700;0.0;0.4;0.4;0.4;0.0;0.0;0.4;1.0;3.0;Panathinaikos Athens;16
Michael Lountzis;2;5.0;0.5;0.5;1000;0.0;0.0;0;0.5;0.5;1000;0.0;0.0;0;1.0;1.5;2.5;1.5;0.5;0.0;0.5;1.0;1.0;Panathinaikos Athens;16
Eleftherios Bochoridis;2;2.5;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;1.0;1.0;1000;0.0;0.0;0.0;0.5;0.0;0.0;0.0;1.0;1.0;Panathinaikos Athens;16
Tyrese Rice;24;29.3;4.3;11.1;382;1.5;4.9;308;2.8;6.3;440;2.4;2.9;814;0.4;1.7;2.1;6.1;1.2;0.1;3.0;2.3;12.4;Khimki Moscow Region;16
