Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Milos Teodosic;29;26.8;4.8;10.2;468;2.7;6.2;428;2.1;4.0;530;3.9;4.4;884;0.3;2.4;2.7;5.7;0.9;0.0;3.0;2.2;16.1;CSKA Moscow;16
Kyle Hines;29;26.3;4.2;6.2;674;0.0;0.0;0;4.2;6.2;674;2.5;3.8;658;1.9;2.8;4.7;1.0;0.6;0.8;1.1;2.5;10.9;CSKA Moscow;16
Cory Higgins;29;21.0;2.9;5.8;506;1.2;2.2;540;1.8;3.6;486;2.2;2.7;821;0.3;1.9;2.2;1.4;0.6;0.2;1.4;2.6;9.2;CSKA Moscow;16
Nikita Kurbanov;29;20.2;2.3;4.6;508;0.7;1.6;413;1.7;3.0;558;1.4;1.6;889;1.7;3.3;5.0;1.2;0.7;0.3;0.6;2.3;6.7;CSKA Moscow;16
Andrey Vorontsevich;28;24.3;3.0;6.4;464;1.8;3.9;445;1.2;2.5;493;0.9;1.3;686;1.2;3.0;4.2;1.4;0.8;0.6;0.8;2.5;8.5;CSKA Moscow;16
Nando De Colo;27;27.7;6.3;12.0;526;1.7;3.7;460;4.6;8.3;556;5.1;5.7;908;0.3;3.3;3.6;5.0;1.1;0.1;2.8;2.0;19.4;CSKA Moscow;16
Vitaly Fridzon;27;14.0;2.1;4.4;475;1.1;2.6;429;1.0;1.8;542;1.1;1.3;833;0.4;1.3;1.7;0.9;0.6;0.0;0.6;2.2;6.4;CSKA Moscow;16
Aaron Jackson;24;15.4;1.7;3.8;456;0.5;1.6;289;1.3;2.2;577;0.7;1.0;667;0.3;1.0;1.3;2.3;0.4;0.0;1.0;1.8;4.5;CSKA Moscow;16
Demetris Nichols;23;12.1;1.5;3.2;479;0.7;1.8;366;0.9;1.4;625;0.3;0.5;667;0.3;1.1;1.4;0.7;0.5;0.5;0.6;1.6;4.0;CSKA Moscow;16
Dmitry Kulagin;18;5.4;0.7;1.6;448;0.2;0.7;250;0.6;0.9;588;0.0;0.1;0;0.1;0.7;0.7;0.5;0.1;0.0;0.4;0.8;1.6;CSKA Moscow;16
Pavel Korobkov;15;8.2;1.2;2.1;581;0.0;0.4;0;1.2;1.7;720;0.4;0.6;667;0.5;1.0;1.5;0.4;0.2;0.1;0.4;2.1;2.8;CSKA Moscow;16
Joel Freeland;12;15.8;2.9;4.9;593;0.0;0.0;0;2.9;4.9;593;1.0;2.0;500;1.5;2.9;4.4;0.3;0.3;0.4;1.1;2.0;6.8;CSKA Moscow;16
Victor Khryapa;10;16.3;2.5;4.4;568;0.6;1.9;316;1.9;2.5;760;0.4;0.9;444;0.7;3.0;3.7;1.8;0.4;0.8;0.8;2.1;6.0;CSKA Moscow;16
Ivan Lazarev;9;4.4;0.7;1.1;600;0.0;0.0;0;0.7;1.1;600;0.1;0.4;250;0.7;0.1;0.8;0.0;0.0;0.1;0.4;2.0;1.4;CSKA Moscow;16
Slava Kravtsov;7;6.9;1.3;1.6;818;0.0;0.0;0;1.3;1.6;818;0.9;1.9;462;0.1;1.4;1.6;0.3;0.0;0.4;0.3;0.9;3.4;CSKA Moscow;16
Mikhail Kulagin;1;6.0;1.0;4.0;250;1.0;4.0;250;0.0;0.0;0;2.0;4.0;500;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;5.0;CSKA Moscow;16
Luigi Datome;29;27.0;4.4;8.5;516;1.4;3.1;462;2.9;5.3;548;2.2;2.6;867;1.3;3.1;4.4;1.9;0.4;0.3;1.7;2.4;12.4;Fenerbahce Istanbul;16
